	Steps	Time [s]	[A] Probe1_Carrier_center [°C]	[B] Probe2_Carrier_corner1 [°C]	[C] Probe3_GuideRail_top [°C]	[D] Probe4_GuideRail_middle [°C]	[E] Probe5_GuideRail_bottom [°C]	[F] Probe6_MotorBase_front [°C]	[G] Probe7_MotorBase_side [°C]	[H] Probe8_MotorBase_corner [°C]	[I] Probe11_Structure_front_1 [°C]	[J] Probe12_Structure_front_2 [°C]	[K] Probe13_Structure_front_3 [°C]	[L] Probe14_Structure_front_4 [°C]	[M] Probe15_Structure_lateral_1 [°C]	[N] Probe16_Structure_lateral_2 [°C]	[O] Probe18_Structure_lateral_4 [°C]	[P] Probe19_Structure_lateral_5 [°C]	[Q] Probe20_Structure_top_1 [°C]	[R] Probe21_Structure_top_2 [°C]	[S] Probe22_Structure_top_3 [°C]	[T] Probe23_Structure_top_4 [°C]	[U] Probe24_Structure_back_1 [°C]	[V] Probe25_Structure_back_2 [°C]	[W] Probe26_Structure_back_3 [°C]	[X] Probe27_Structure_back_4 [°C]	[Y] Probe28_Structure_back_5 [°C]	[Z] Probe29_Structure_back_6 [°C]	[AA] Probe9_Temperature_BearingTop [°C]	[AB] Probe10_Temperature_BearingBottom [°C]	[AC] Probe17_Temperature_Structure_lateral_3 [°C]	
1	1	1,	20,131	20,391	20,207	20,194	20,207	20,213	20,211	20,212	20,084	20,002	20,133	20,154	20,138	20,135	20,135	20,13	20,268	20,134	20,26	20,085	20,	20,067	20,077	20,072	20,082	20,132	20,01	20,032	20,134	
2	1	2,	20,211	20,624	20,316	20,297	20,316	20,326	20,326	20,329	20,143	20,005	20,212	20,308	20,217	20,214	20,215	20,208	20,421	20,212	20,41	20,125	20,	20,106	20,122	20,113	20,14	20,221	20,026	20,072	20,212	
3	1	3,	20,269	20,79	20,4	20,376	20,401	20,408	20,41	20,413	20,186	20,009	20,266	20,449	20,279	20,271	20,275	20,266	20,532	20,268	20,517	20,161	20,	20,14	20,16	20,15	20,196	20,341	20,046	20,115	20,27	
4	1	4,	20,315	20,922	20,474	20,446	20,475	20,475	20,479	20,484	20,221	20,014	20,308	20,609	20,333	20,319	20,326	20,314	20,625	20,314	20,603	20,196	20,	20,173	20,196	20,184	20,251	20,478	20,07	20,161	20,316	
5	1	5,	20,354	21,036	20,542	20,511	20,543	20,534	20,54	20,547	20,251	20,021	20,344	20,804	20,385	20,362	20,373	20,356	20,706	20,353	20,678	20,232	20,	20,205	20,231	20,219	20,306	20,64	20,096	20,208	20,357	
6	1	6,	20,389	21,137	20,606	20,573	20,608	20,587	20,597	20,606	20,277	20,028	20,376	21,034	20,439	20,402	20,417	20,396	20,782	20,389	20,745	20,268	20,	20,238	20,266	20,254	20,361	20,828	20,125	20,256	20,395	
7	1	7,	20,422	21,229	20,668	20,632	20,671	20,637	20,65	20,662	20,301	20,035	20,404	21,291	20,498	20,442	20,461	20,434	20,852	20,423	20,808	20,303	20,	20,27	20,3	20,288	20,415	21,036	20,155	20,306	20,432	
8	1	8,	20,452	21,314	20,728	20,69	20,732	20,683	20,7	20,716	20,323	20,043	20,43	21,565	20,562	20,48	20,504	20,472	20,919	20,455	20,868	20,337	20,001	20,302	20,334	20,324	20,469	21,257	20,187	20,355	20,467	
9	1	9,	20,481	21,394	20,786	20,746	20,792	20,727	20,749	20,767	20,344	20,052	20,454	21,848	20,634	20,519	20,547	20,509	20,983	20,486	20,925	20,37	20,001	20,334	20,368	20,361	20,522	21,488	20,22	20,405	20,501	
10	1	10,	20,508	21,47	20,843	20,802	20,851	20,769	20,796	20,818	20,364	20,06	20,477	22,134	20,715	20,558	20,589	20,547	21,045	20,515	20,98	20,402	20,001	20,365	20,401	20,398	20,574	21,724	20,254	20,456	20,535	
