	Steps	Time [s]	[A] Probe1_Heat Flux_Carrier_center  (Total) [W/m²]	[B] Probe2_Heat Flux_Carrier_corner1  (Total) [W/m²]	[C] Probe3_Heat Flux_GuideRail_top  (Total) [W/m²]	[D] Probe4_Heat Flux_GuideRail_middle  (Total) [W/m²]	[E] Probe5_Heat Flux_GuideRail_bottom  (Total) [W/m²]	[F] Probe6_Heat Flux_MotorBase_front  (Total) [W/m²]	[G] Probe7_Heat Flux_MotorBase_side  (Total) [W/m²]	[H] Probe8_Heat Flux_MotorBase_corner  (Total) [W/m²]	[I] Probe9_Heat Flux_BearingTop  (Total) [W/m²]	[J] Probe10_Heat Flux_BearingBottom  (Total) [W/m²]	[K] Probe11_Heat Flux_Structure_front_1  (Total) [W/m²]	[L] Probe12_Heat Flux_Structure_front_2  (Total) [W/m²]	[M] Probe13_Heat Flux_Structure_front_3  (Total) [W/m²]	[N] Probe14_Heat Flux_Structure_front_4  (Total) [W/m²]	[O] Probe15_Heat Flux_Structure_lateral_1  (Total) [W/m²]	[P] Probe16_Heat Flux_Structure_lateral_2  (Total) [W/m²]	[Q] Probe17_Heat Flux_Structure_lateral_3  (Total) [W/m²]	[R] Probe18_Heat Flux_Structure_lateral_4  (Total) [W/m²]	[S] Probe19_Heat Flux_Structure_lateral_5  (Total) [W/m²]	[T] Probe20_Heat Flux_Structure_top_1  (Total) [W/m²]	[U] Probe21_Heat Flux_Structure_top_2  (Total) [W/m²]	[V] Probe22_Heat Flux_Structure_top_3  (Total) [W/m²]	[W] Probe23_Heat Flux_Structure_top_4  (Total) [W/m²]	[X] Probe24_Heat Flux_Structure_back_1  (Total) [W/m²]	[Y] Probe25_Heat Flux_Structure_back_2  (Total) [W/m²]	[Z] Probe26_Heat Flux_Structure_back_3  (Total) [W/m²]	[AA] Probe27_Heat Flux_Structure_back_4  (Total) [W/m²]	[AB] Probe28_Heat Flux_Structure_back_5  (Total) [W/m²]	[AC] Probe29_Heat Flux_Structure_back_6  (Total) [W/m²]	
1	1	1,	107,09	194,64	280,98	1152,	283,18	1057,4	1055,7	1058,3	115,99	191,28	64,252	4,5456	129,45	132,93	118,53	118,13	118,38	118,48	121,55	183,45	118,54	162,1	110,6	5,2554e-002	163,94	173,56	168,8	206,87	200,08	
2	1	2,	149,92	265,75	326,81	1341,7	327,56	1325,9	1322,6	1326,7	198,43	286,99	95,74	7,9766	170,57	183,63	160,08	159,64	159,77	159,9	164,59	239,53	159,86	220,45	146,63	9,1409e-002	187,68	199,33	193,22	232,19	250,11	
3	1	3,	169,71	296,48	337,68	1387,6	337,97	1409,9	1408,8	1413,4	250,36	329,6	112,74	10,391	185,9	207,95	178,36	177,6	177,83	177,9	183,29	259,51	176,24	245,45	157,77	0,20409	192,62	204,65	198,18	238,97	268,55	
4	1	4,	180,02	311,7	341,02	1401,6	341,3	1443,9	1444,4	1449,	284,58	351,4	122,99	12,216	192,47	236,42	187,93	186,74	187,04	187,12	192,54	267,92	183,68	257,85	159,77	0,36226	193,81	205,89	199,31	245,05	296,25	
5	1	5,	185,92	320,15	342,21	1406,5	342,53	1461,1	1462,5	1466,9	307,55	364,03	129,89	13,767	195,67	279,02	193,52	191,79	192,12	192,32	197,44	272,06	187,44	264,63	158,47	0,53767	194,1	206,18	199,57	252,04	341,11	
6	1	6,	189,55	325,27	342,65	1408,3	343,	1471,3	1473,3	1477,1	322,76	372,14	134,98	15,165	197,38	335,28	197,22	194,68	195,02	195,44	200,1	274,37	189,48	268,56	156,09	0,71369	194,18	206,23	199,62	259,56	404,57	
7	1	7,	191,9	328,58	342,81	1408,9	343,16	1478,1	1480,5	1483,6	332,34	377,83	138,99	16,456	198,36	399,95	200,15	196,38	196,69	197,44	201,55	275,77	190,62	270,95	153,48	0,88244	194,2	206,23	199,63	267,15	479,92	
8	1	8,	193,48	330,83	342,84	1408,9	343,16	1483,	1485,7	1488,	337,69	382,1	142,29	17,663	198,95	467,37	203,13	197,4	197,64	198,81	202,31	276,66	191,25	272,44	150,94	1,0413	194,22	206,23	199,66	274,52	558,97	
9	1	9,	194,58	332,39	342,81	1408,8	343,08	1486,6	1489,6	1491,1	339,79	385,5	145,12	18,8	199,3	533,4	206,84	198,04	198,17	199,83	202,69	277,26	191,59	273,4	148,59	1,1901	194,25	206,24	199,73	281,51	635,94	
10	1	10,	195,35	333,52	342,74	1408,5	342,95	1489,4	1492,7	1493,3	339,35	388,3	147,58	19,878	199,51	595,51	211,91	198,48	198,46	200,65	202,87	277,66	191,75	274,04	146,44	1,3298	194,29	206,26	199,89	288,04	707,65	
11	1	11,	195,9	334,33	342,65	1408,2	342,79	1491,5	1495,3	1495,	336,89	390,65	149,77	20,904	199,64	652,43	218,83	198,82	198,6	201,37	202,95	277,92	191,81	274,47	144,53	1,462	194,36	206,29	200,22	294,11	772,78	
12	1	12,	196,3	334,93	342,54	1407,8	342,6	1493,2	1497,4	1496,2	332,81	392,66	151,74	21,884	199,69	703,71	227,94	199,1	198,65	202,02	202,99	278,1	191,8	274,76	142,87	1,5879	194,44	206,34	200,81	299,72	831,03	
13	1	13,	196,59	335,36	342,42	1407,4	342,4	1494,5	1499,1	1497,1	327,42	394,38	153,52	22,825	199,7	749,37	239,37	199,37	198,66	202,64	203,02	278,2	191,76	274,96	141,5	1,7088	194,54	206,41	201,8	304,9	882,7	
14	1	14,	196,8	335,68	342,29	1407,	342,18	1495,5	1500,6	1497,8	320,95	395,84	155,16	23,73	199,68	789,72	253,07	199,63	198,63	203,24	203,07	278,26	191,69	275,1	140,45	1,8257	194,66	206,49	203,33	309,68	928,33	
15	1	15,	196,95	335,91	342,15	1406,7	341,96	1496,4	1501,9	1498,4	313,6	397,08	156,67	24,604	199,62	825,2	268,82	199,89	198,59	203,82	203,13	278,28	191,6	275,19	139,78	1,9393	194,8	206,59	205,55	314,09	968,54	
