	Steps	Time [s]	[A] Probe1_Carrier_center [°C]	[B] Probe2_Carrier_corner1 [°C]	[C] Probe3_GuideRail_top [°C]	[D] Probe4_GuideRail_middle [°C]	[E] Probe5_GuideRail_bottom [°C]	[F] Probe6_MotorBase_front [°C]	[G] Probe7_MotorBase_side [°C]	[H] Probe8_MotorBase_corner [°C]	[I] Probe11_Structure_front_1 [°C]	[J] Probe12_Structure_front_2 [°C]	[K] Probe13_Structure_front_3 [°C]	[L] Probe14_Structure_front_4 [°C]	[M] Probe15_Structure_lateral_1 [°C]	[N] Probe16_Structure_lateral_2 [°C]	[O] Probe18_Structure_lateral_4 [°C]	[P] Probe19_Structure_lateral_5 [°C]	[Q] Probe20_Structure_top_1 [°C]	[R] Probe21_Structure_top_2 [°C]	[S] Probe22_Structure_top_3 [°C]	[T] Probe23_Structure_top_4 [°C]	[U] Probe24_Structure_back_1 [°C]	[V] Probe25_Structure_back_2 [°C]	[W] Probe26_Structure_back_3 [°C]	[X] Probe27_Structure_back_4 [°C]	[Y] Probe28_Structure_back_5 [°C]	[Z] Probe29_Structure_back_6 [°C]	[AA] Probe9_Temperature_BearingTop [°C]	[AB] Probe10_Temperature_BearingBottom [°C]	[AC] Probe17_Temperature_Structure_lateral_3 [°C]	
1	1	1,	20,	20,	20,	20,042	20,	20,071	20,07	20,07	20,	20,	20,	19,998	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	19,997	20,002	20,003	20,	
2	1	2,	20,	20,	20,	20,064	20,	20,109	20,108	20,108	20,	20,	20,	19,99	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	19,995	20,003	20,005	20,	
3	1	3,	20,	20,	20,	20,081	20,	20,136	20,136	20,136	20,	20,	20,	19,98	19,999	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	19,988	20,005	20,007	20,	
4	1	4,	20,	20,	20,	20,097	20,	20,158	20,158	20,158	20,	20,	20,	19,967	19,998	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	19,979	20,006	20,008	20,	
5	1	5,	20,	20,	20,	20,111	20,	20,178	20,178	20,178	20,	20,	20,	19,949	19,997	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	19,967	20,007	20,01	20,	
6	1	6,	20,	20,	20,	20,124	20,001	20,196	20,196	20,195	20,	20,	20,	19,926	19,996	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	19,952	20,008	20,011	20,	
7	1	7,	20,	20,	20,	20,137	20,001	20,212	20,212	20,212	20,	20,	20,	19,9	19,993	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	19,935	20,009	20,011	20,	
8	1	8,	20,	20,	20,	20,149	20,002	20,228	20,227	20,227	20,	20,	20,	19,872	19,99	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	19,999	20,	19,915	20,009	20,012	20,	
9	1	9,	20,	20,	20,	20,16	20,002	20,242	20,241	20,241	20,	20,	20,	19,843	19,985	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	19,999	20,	19,895	20,01	20,013	20,	
10	1	10,	20,	20,	20,	20,172	20,002	20,256	20,255	20,254	20,	20,	20,	19,813	19,98	20,	20,	20,	20,	20,	20,	20,001	20,	20,	20,	19,998	20,	19,873	20,011	20,014	20,	
11	1	11,	20,	20,	20,	20,183	20,003	20,27	20,267	20,267	20,	20,	20,	19,783	19,974	20,	20,	20,	20,	20,	20,	20,001	20,	20,	20,	19,997	20,	19,852	20,011	20,014	20,	
12	1	12,	20,	20,	20,	20,193	20,004	20,283	20,28	20,279	20,	20,	20,	19,753	19,966	20,	20,	20,	20,	20,	20,	20,001	20,	20,	20,	19,996	20,	19,83	20,012	20,015	20,	
13	1	13,	20,	20,	20,	20,204	20,004	20,296	20,291	20,291	20,	20,	20,	19,724	19,957	20,	20,	20,	20,	20,	20,	20,001	20,	20,	20,	19,995	20,	19,808	20,012	20,016	20,	
14	1	14,	20,	20,	20,	20,214	20,005	20,309	20,303	20,302	20,	20,	20,	19,696	19,948	20,	20,	20,	20,	20,	20,	20,002	20,	20,	20,	19,994	20,	19,787	20,013	20,016	20,	
15	1	15,	20,	20,	20,001	20,223	20,005	20,321	20,314	20,313	20,	20,	20,	19,669	19,937	20,	20,	20,	20,	20,	20,	20,002	20,	20,	20,	19,992	20,	19,766	20,013	20,017	20,	
16	1	16,	20,	20,	20,001	20,233	20,006	20,333	20,324	20,324	20,	20,	20,	19,642	19,926	20,	20,	20,	20,	20,	20,	20,003	20,	20,	20,	19,99	20,	19,745	20,014	20,017	20,	
17	1	17,	20,	20,	20,001	20,242	20,006	20,346	20,335	20,334	20,	20,	20,	19,617	19,914	20,	20,	20,	20,	20,	20,	20,004	20,	20,	20,	19,987	20,	19,725	20,014	20,018	20,	
18	1	18,	20,	20,	20,001	20,251	20,007	20,358	20,345	20,344	20,	20,	20,	19,592	19,901	20,	20,	20,	20,	20,	20,	20,004	20,	20,	20,	19,985	20,	19,705	20,014	20,018	20,	
19	1	19,	20,	20,	20,001	20,26	20,007	20,37	20,355	20,354	20,	20,	20,	19,568	19,888	20,	20,	20,	20,	20,	20,	20,005	20,	20,	20,	19,982	20,	19,685	20,015	20,019	20,	
20	1	20,	20,	20,	20,001	20,268	20,008	20,382	20,365	20,364	20,	20,	20,	19,545	19,874	20,	20,	20,	20,	20,	20,	20,006	20,	20,	20,	19,979	20,	19,667	20,015	20,019	20,	
21	1	21,	20,	20,	20,002	20,276	20,008	20,394	20,374	20,374	20,	20,	20,	19,522	19,86	20,	20,	20,	20,	20,	20,	20,007	20,	20,	20,	19,976	20,	19,648	20,015	20,02	20,	
22	1	22,	20,	20,	20,002	20,285	20,008	20,406	20,384	20,383	20,	20,	20,	19,501	19,845	20,	20,	20,	20,	20,	20,	20,008	20,	20,	20,	19,972	20,	19,63	20,016	20,02	20,	
23	1	23,	20,	20,	20,002	20,293	20,009	20,417	20,393	20,392	20,	20,	20,	19,48	19,83	20,	20,	20,	20,	20,	20,	20,009	20,	20,	20,	19,968	20,	19,613	20,016	20,021	20,	
24	1	24,	20,	20,	20,002	20,3	20,009	20,429	20,402	20,401	20,	20,	20,	19,46	19,815	20,	20,	20,	20,	20,	20,	20,01	20,	20,	20,	19,964	20,	19,596	20,016	20,021	20,	
25	1	25,	20,	20,	20,003	20,308	20,009	20,441	20,411	20,41	20,	20,	20,	19,441	19,8	20,	20,	20,	20,	20,	20,	20,011	20,	20,	20,	19,96	20,	19,579	20,017	20,022	20,	
