	Steps	Time [s]	[A] Probe1_Carrier_center [°C]	[B] Probe2_Carrier_corner1 [°C]	[C] Probe3_GuideRail_top [°C]	[D] Probe4_GuideRail_middle [°C]	[E] Probe5_GuideRail_bottom [°C]	[F] Probe6_MotorBase_front [°C]	[G] Probe7_MotorBase_side [°C]	[H] Probe8_MotorBase_corner [°C]	[I] Probe11_Structure_front_1 [°C]	[J] Probe12_Structure_front_2 [°C]	[K] Probe13_Structure_front_3 [°C]	[L] Probe14_Structure_front_4 [°C]	[M] Probe15_Structure_lateral_1 [°C]	[N] Probe16_Structure_lateral_2 [°C]	[O] Probe18_Structure_lateral_4 [°C]	[P] Probe19_Structure_lateral_5 [°C]	[Q] Probe20_Structure_top_1 [°C]	[R] Probe21_Structure_top_2 [°C]	[S] Probe22_Structure_top_3 [°C]	[T] Probe23_Structure_top_4 [°C]	[U] Probe24_Structure_back_1 [°C]	[V] Probe25_Structure_back_2 [°C]	[W] Probe26_Structure_back_3 [°C]	[X] Probe27_Structure_back_4 [°C]	[Y] Probe28_Structure_back_5 [°C]	[Z] Probe29_Structure_back_6 [°C]	[AA] Probe9_Temperature_BearingTop [°C]	[AB] Probe10_Temperature_BearingBottom [°C]	[AC] Probe17_Temperature_Structure_lateral_3 [°C]	
1	1	1,	20,	20,	20,	20,125	20,	20,213	20,211	20,21	20,	20,	20,	20,017	20,002	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,026	20,005	20,009	20,	
2	1	2,	20,	20,	20,	20,192	20,	20,326	20,325	20,325	20,	20,	20,001	20,093	20,003	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,045	20,01	20,016	20,	
3	1	3,	20,	20,	20,	20,244	20,	20,408	20,407	20,407	20,	20,	20,001	20,181	20,008	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,105	20,014	20,021	20,	
4	1	4,	20,	20,	20,	20,29	20,001	20,475	20,475	20,474	20,	20,	20,001	20,3	20,014	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,001	20,	20,186	20,018	20,025	20,	
5	1	5,	20,	20,	20,	20,332	20,001	20,534	20,534	20,533	20,	20,	20,001	20,462	20,025	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,001	20,	20,294	20,021	20,029	20,	
6	1	6,	20,	20,	20,	20,372	20,002	20,587	20,587	20,586	20,	20,	20,001	20,664	20,04	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,003	20,	20,43	20,024	20,032	20,	
7	1	7,	20,	20,	20,	20,41	20,003	20,637	20,635	20,635	20,	20,	20,001	20,897	20,062	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,004	20,	20,589	20,026	20,034	20,	
8	1	8,	20,	20,	20,	20,446	20,004	20,683	20,681	20,68	20,	20,	20,002	21,149	20,092	20,	20,	20,	20,	20,	20,	20,001	20,	20,	20,	20,007	20,	20,763	20,028	20,037	20,	
9	1	9,	20,	20,	20,	20,481	20,006	20,727	20,723	20,723	20,	20,	20,002	21,414	20,131	20,	20,	20,	20,	20,	20,	20,001	20,	20,	20,	20,011	20,	20,948	20,03	20,039	20,	
10	1	10,	20,	20,	20,	20,515	20,008	20,769	20,764	20,763	20,	20,	20,002	21,683	20,179	20,	20,	20,	20,	20,	20,	20,002	20,	20,	20,	20,016	20,	21,14	20,032	20,041	20,	
11	1	11,	20,	20,	20,001	20,548	20,01	20,81	20,802	20,801	20,	20,	20,003	21,953	20,237	20,	20,	20,	20,	20,	20,	20,002	20,	20,	20,	20,024	20,	21,336	20,034	20,043	20,	
12	1	12,	20,	20,	20,001	20,58	20,013	20,85	20,839	20,838	20,	20,	20,003	22,219	20,305	20,	20,	20,	20,	20,	20,	20,003	20,	20,	20,	20,033	20,	21,532	20,035	20,045	20,	
13	1	13,	20,	20,	20,001	20,611	20,016	20,888	20,874	20,873	20,	20,	20,003	22,48	20,383	20,	20,	20,	20,	20,	20,	20,004	20,	20,	20,	20,044	20,	21,727	20,037	20,047	20,	
14	1	14,	20,	20,	20,001	20,641	20,02	20,926	20,908	20,907	20,	20,	20,003	22,735	20,469	20,	20,	20,	20,	20,	20,	20,006	20,	20,	20,	20,057	20,	21,92	20,038	20,049	20,	
