	Steps	Time [s]	[A] Probe1_Heat Flux_Carrier_center  (Total) [W/m²]	[B] Probe2_Heat Flux_Carrier_corner1  (Total) [W/m²]	[C] Probe3_Heat Flux_GuideRail_top  (Total) [W/m²]	[D] Probe4_Heat Flux_GuideRail_middle  (Total) [W/m²]	[E] Probe5_Heat Flux_GuideRail_bottom  (Total) [W/m²]	[F] Probe6_Heat Flux_MotorBase_front  (Total) [W/m²]	[G] Probe7_Heat Flux_MotorBase_side  (Total) [W/m²]	[H] Probe8_Heat Flux_MotorBase_corner  (Total) [W/m²]	[I] Probe9_Heat Flux_BearingTop  (Total) [W/m²]	[J] Probe10_Heat Flux_BearingBottom  (Total) [W/m²]	[K] Probe11_Heat Flux_Structure_front_1  (Total) [W/m²]	[L] Probe12_Heat Flux_Structure_front_2  (Total) [W/m²]	[M] Probe13_Heat Flux_Structure_front_3  (Total) [W/m²]	[N] Probe14_Heat Flux_Structure_front_4  (Total) [W/m²]	[O] Probe15_Heat Flux_Structure_lateral_1  (Total) [W/m²]	[P] Probe16_Heat Flux_Structure_lateral_2  (Total) [W/m²]	[Q] Probe17_Heat Flux_Structure_lateral_3  (Total) [W/m²]	[R] Probe18_Heat Flux_Structure_lateral_4  (Total) [W/m²]	[S] Probe19_Heat Flux_Structure_lateral_5  (Total) [W/m²]	[T] Probe20_Heat Flux_Structure_top_1  (Total) [W/m²]	[U] Probe21_Heat Flux_Structure_top_2  (Total) [W/m²]	[V] Probe22_Heat Flux_Structure_top_3  (Total) [W/m²]	[W] Probe23_Heat Flux_Structure_top_4  (Total) [W/m²]	[X] Probe24_Heat Flux_Structure_back_1  (Total) [W/m²]	[Y] Probe25_Heat Flux_Structure_back_2  (Total) [W/m²]	[Z] Probe26_Heat Flux_Structure_back_3  (Total) [W/m²]	[AA] Probe27_Heat Flux_Structure_back_4  (Total) [W/m²]	[AB] Probe28_Heat Flux_Structure_back_5  (Total) [W/m²]	[AC] Probe29_Heat Flux_Structure_back_6  (Total) [W/m²]	
1	1	1,	107,09	194,64	281,	468,95	281,72	352,44	351,24	354,44	48,61	111,31	64,252	4,5456	129,12	174,77	118,78	118,13	118,38	118,48	121,55	183,45	118,54	162,1	110,6	5,2555e-002	163,94	173,56	168,74	206,87	412,37	
2	1	2,	149,92	265,75	326,83	549,	328,6	441,96	440,63	444,99	91,159	181,04	95,74	7,9766	171,	495,27	159,9	159,64	159,77	159,9	164,59	239,53	159,86	220,45	146,63	9,141e-002	187,68	199,33	193,17	232,19	541,45	
3	1	3,	169,71	296,48	337,69	568,87	339,96	469,98	469,68	474,81	124,23	218,13	112,74	10,391	185,91	821,81	181,15	177,6	177,83	177,9	183,29	259,51	176,24	245,45	157,79	0,20409	192,62	204,65	198,1	238,97	1063,8	
4	1	4,	180,02	311,7	341,03	575,24	342,97	481,31	481,64	487,37	149,62	239,55	122,99	12,216	192,27	1229,	197,57	186,74	187,04	187,12	192,54	267,92	183,68	257,85	159,83	0,36227	193,81	205,89	199,24	245,05	1630,6	
5	1	5,	185,92	320,15	342,21	577,64	344,03	487,04	487,64	493,79	168,71	253,12	129,89	13,767	195,39	1757,	220,36	191,79	192,12	192,32	197,44	272,06	187,44	264,63	158,59	0,53768	194,1	206,18	199,45	252,04	2329,5	
6	1	6,	189,55	325,27	342,64	578,65	344,41	490,45	491,13	497,55	182,61	262,41	134,98	15,165	197,17	2376,5	258,17	194,68	195,02	195,44	200,1	274,37	189,48	268,56	156,31	0,71369	194,18	206,23	199,27	259,56	3121,2	
7	1	7,	191,9	328,58	342,79	579,09	344,54	492,72	493,41	499,95	192,21	269,15	138,99	16,456	198,37	3037,5	317,05	196,38	196,69	197,44	201,55	275,77	190,62	270,95	153,84	0,88245	194,2	206,23	198,82	267,15	3933,8	
8	1	8,	193,48	330,82	342,8	579,28	344,56	494,34	495,	501,58	198,3	274,25	142,29	17,663	199,28	3696,5	400,27	197,4	197,64	198,81	202,31	276,66	191,25	272,44	151,48	1,0413	194,22	206,23	198,59	274,52	4713,1	
9	1	9,	194,58	332,39	342,75	579,33	344,56	495,54	496,17	502,73	201,51	278,21	145,12	18,8	200,04	4323,8	508,73	198,04	198,17	199,83	202,69	277,26	191,59	273,4	149,33	1,1901	194,25	206,24	200,09	281,51	5428,1	
10	1	10,	195,35	333,51	342,67	579,3	344,56	496,46	497,07	503,57	202,35	281,32	147,58	19,878	200,7	4902,6	641,51	198,48	198,46	200,65	202,87	277,66	191,75	274,04	147,4	1,3299	194,29	206,26	206,42	288,04	6066,3	
