	Steps	Time [s]	[A] Probe1_Heat Flux_Carrier_center  (Total) [W/m²]	[B] Probe2_Heat Flux_Carrier_corner1  (Total) [W/m²]	[C] Probe3_Heat Flux_GuideRail_top  (Total) [W/m²]	[D] Probe4_Heat Flux_GuideRail_middle  (Total) [W/m²]	[E] Probe5_Heat Flux_GuideRail_bottom  (Total) [W/m²]	[F] Probe6_Heat Flux_MotorBase_front  (Total) [W/m²]	[G] Probe7_Heat Flux_MotorBase_side  (Total) [W/m²]	[H] Probe8_Heat Flux_MotorBase_corner  (Total) [W/m²]	[I] Probe9_Heat Flux_BearingTop  (Total) [W/m²]	[J] Probe10_Heat Flux_BearingBottom  (Total) [W/m²]	[K] Probe11_Heat Flux_Structure_front_1  (Total) [W/m²]	[L] Probe12_Heat Flux_Structure_front_2  (Total) [W/m²]	[M] Probe13_Heat Flux_Structure_front_3  (Total) [W/m²]	[N] Probe14_Heat Flux_Structure_front_4  (Total) [W/m²]	[O] Probe15_Heat Flux_Structure_lateral_1  (Total) [W/m²]	[P] Probe16_Heat Flux_Structure_lateral_2  (Total) [W/m²]	[Q] Probe17_Heat Flux_Structure_lateral_3  (Total) [W/m²]	[R] Probe18_Heat Flux_Structure_lateral_4  (Total) [W/m²]	[S] Probe19_Heat Flux_Structure_lateral_5  (Total) [W/m²]	[T] Probe20_Heat Flux_Structure_top_1  (Total) [W/m²]	[U] Probe21_Heat Flux_Structure_top_2  (Total) [W/m²]	[V] Probe22_Heat Flux_Structure_top_3  (Total) [W/m²]	[W] Probe23_Heat Flux_Structure_top_4  (Total) [W/m²]	[X] Probe24_Heat Flux_Structure_back_1  (Total) [W/m²]	[Y] Probe25_Heat Flux_Structure_back_2  (Total) [W/m²]	[Z] Probe26_Heat Flux_Structure_back_3  (Total) [W/m²]	[AA] Probe27_Heat Flux_Structure_back_4  (Total) [W/m²]	[AB] Probe28_Heat Flux_Structure_back_5  (Total) [W/m²]	[AC] Probe29_Heat Flux_Structure_back_6  (Total) [W/m²]	
1	1	1,	1,4341e-004	2,2835e-004	5,3678e-002	1034,3	4,5609	1057,4	1056,7	1055,8	101,09	123,28	6,5777e-004	1,5549e-007	1,9665	171,21	14,637	2,3503e-004	4,1366e-008	1,0764e-006	5,6295e-008	1,3648e-004	5,3503e-006	8,1978e-006	6,0992e-002	6,8082e-007	4,7896e-008	6,2355e-004	2,9642	1,2219e-007	354,99	
2	1	2,	1,4614e-004	1,2223e-004	4,5582e-002	1198,4	6,5947	1325,9	1322,9	1322,6	160,89	163,7	5,0013e-004	1,4643e-007	6,8924	585,96	18,307	1,5119e-003	7,9613e-008	6,4332e-007	1,2498e-007	1,0457e-004	7,2045e-006	3,8604e-006	6,4383e-002	1,4304e-006	6,2354e-008	1,0009e-003	3,9809	8,7575e-008	475,28	
3	1	3,	1,9186e-004	3,0022e-004	4,8364e-002	1236,3	3,2072	1409,9	1408,7	1407,9	189,16	172,1	6,2764e-004	1,869e-007	6,2633	978,51	49,083	2,3576e-003	8,394e-008	5,5418e-007	2,0525e-008	2,475e-005	1,31e-005	8,4155e-006	0,13757	3,0371e-006	6,3688e-008	2,2037e-003	8,6125	8,0186e-008	1129,8	
4	1	4,	2,8896e-004	6,7863e-004	5,4443e-002	1246,7	2,9073	1443,9	1444,2	1442,5	202,42	172,26	9,1613e-004	1,3031e-007	6,7839	1475,7	84,551	4,5395e-003	1,3977e-007	9,806e-007	3,0366e-008	2,986e-005	2,5811e-005	9,3631e-006	0,29345	5,4111e-006	6,4007e-008	3,6895e-003	12,455	9,9449e-008	1825,7	
5	1	5,	4,2163e-004	1,2791e-003	7,0214e-002	1249,3	2,6474	1461,1	1462,3	1459,6	208,31	170,32	1,2195e-003	1,5792e-007	9,0627	2120,2	136,93	7,6018e-003	2,1668e-007	1,8259e-006	5,5438e-008	4,8751e-005	5,7446e-005	9,0791e-006	0,57559	8,5985e-006	6,4115e-008	5,5164e-003	15,179	1,1697e-007	2677,3	
6	1	6,	5,772e-004	2,1445e-003	9,6273e-002	1249,4	2,4974	1471,3	1473,2	1469,4	210,4	168,06	1,5117e-003	3,457e-007	12,311	2873,2	209,67	1,145e-002	3,0771e-007	2,779e-006	1,1898e-007	6,9875e-005	1,2023e-004	5,665e-006	1,0506	1,2612e-005	6,3291e-008	7,6325e-003	15,108	1,2995e-007	3638,1	
7	1	7,	7,4548e-004	3,2992e-003	0,12901	1248,6	2,4796	1478,1	1480,6	1475,5	210,48	166,07	1,7363e-003	5,6139e-007	15,933	3674,3	304,45	1,6144e-002	4,0092e-007	3,7707e-006	2,1498e-007	9,6435e-005	2,2643e-004	6,3409e-006	1,8051	1,751e-005	6,3488e-008	9,887e-003	10,954	1,4466e-007	4622,3	
8	1	8,	9,1893e-004	4,7531e-003	0,16449	1247,4	2,5928	1483,	1486,	1479,6	209,49	164,53	1,8227e-003	7,711e-007	19,58	4471,4	423,29	2,1605e-002	4,9368e-007	4,7665e-006	3,4224e-007	1,2862e-004	3,8822e-004	2,2274e-005	2,9355	2,3408e-005	6,4374e-008	1,214e-002	12,709	1,5963e-007	5564,6	
9	1	9,	1,0926e-003	6,5017e-003	0,19961	1246,2	2,8376	1486,6	1490,2	1482,5	207,97	163,45	1,7153e-003	9,6589e-007	23,067	5229,2	567,63	2,762e-002	5,8369e-007	5,7321e-006	5,0538e-007	1,6558e-004	6,1687e-004	4,7535e-005	4,5366	3,0476e-005	6,3865e-008	1,43e-002	35,136	1,7446e-007	6428,5	
10	1	10,	1,2637e-003	8,5278e-003	0,23222	1244,9	3,2132	1489,4	1493,5	1484,6	206,21	162,81	1,3932e-003	1,1425e-006	26,311	5927,9	737,4	3,3936e-002	6,6962e-007	6,6386e-006	7,1097e-007	2,0628e-004	9,2179e-004	8,2875e-005	6,691	3,8935e-005	6,4007e-008	1,6322e-002	72,103	1,8767e-007	7199,	
