	Steps	Time [s]	[A] Probe1_Heat Flux_Carrier_center  (Total) [W/m²]	[B] Probe2_Heat Flux_Carrier_corner1  (Total) [W/m²]	[C] Probe3_Heat Flux_GuideRail_top  (Total) [W/m²]	[D] Probe4_Heat Flux_GuideRail_middle  (Total) [W/m²]	[E] Probe5_Heat Flux_GuideRail_bottom  (Total) [W/m²]	[F] Probe6_Heat Flux_MotorBase_front  (Total) [W/m²]	[G] Probe7_Heat Flux_MotorBase_side  (Total) [W/m²]	[H] Probe8_Heat Flux_MotorBase_corner  (Total) [W/m²]	[I] Probe9_Heat Flux_BearingTop  (Total) [W/m²]	[J] Probe10_Heat Flux_BearingBottom  (Total) [W/m²]	[K] Probe11_Heat Flux_Structure_front_1  (Total) [W/m²]	[L] Probe12_Heat Flux_Structure_front_2  (Total) [W/m²]	[M] Probe13_Heat Flux_Structure_front_3  (Total) [W/m²]	[N] Probe14_Heat Flux_Structure_front_4  (Total) [W/m²]	[O] Probe15_Heat Flux_Structure_lateral_1  (Total) [W/m²]	[P] Probe16_Heat Flux_Structure_lateral_2  (Total) [W/m²]	[Q] Probe17_Heat Flux_Structure_lateral_3  (Total) [W/m²]	[R] Probe18_Heat Flux_Structure_lateral_4  (Total) [W/m²]	[S] Probe19_Heat Flux_Structure_lateral_5  (Total) [W/m²]	[T] Probe20_Heat Flux_Structure_top_1  (Total) [W/m²]	[U] Probe21_Heat Flux_Structure_top_2  (Total) [W/m²]	[V] Probe22_Heat Flux_Structure_top_3  (Total) [W/m²]	[W] Probe23_Heat Flux_Structure_top_4  (Total) [W/m²]	[X] Probe24_Heat Flux_Structure_back_1  (Total) [W/m²]	[Y] Probe25_Heat Flux_Structure_back_2  (Total) [W/m²]	[Z] Probe26_Heat Flux_Structure_back_3  (Total) [W/m²]	[AA] Probe27_Heat Flux_Structure_back_4  (Total) [W/m²]	[AB] Probe28_Heat Flux_Structure_back_5  (Total) [W/m²]	[AC] Probe29_Heat Flux_Structure_back_6  (Total) [W/m²]	
1	1	1,	107,09	194,64	281,03	934,08	281,78	1057,4	1057,7	1053,3	86,247	67,732	64,252	4,5456	129,08	197,12	119,01	118,13	118,38	118,48	121,55	183,45	118,54	162,1	110,59	5,2555e-002	163,94	173,56	168,73	206,87	469,71	
2	1	2,	149,92	265,75	326,87	1078,7	329,12	1325,9	1323,3	1318,5	123,47	72,726	95,74	7,9766	171,14	596,95	160,07	159,64	159,77	159,9	164,59	239,53	159,86	220,45	146,64	9,1411e-002	187,68	199,33	193,17	232,19	619,59	
3	1	3,	169,71	296,48	337,73	1112,1	340,43	1409,9	1408,6	1402,4	128,23	69,684	112,74	10,391	185,96	996,88	183,03	177,6	177,83	177,9	183,29	259,51	176,24	245,45	157,84	0,20409	192,62	204,65	198,12	238,97	1264,3	
4	1	4,	180,02	311,7	341,05	1121,7	343,16	1443,8	1443,9	1436,	120,86	69,751	122,99	12,216	192,28	1496,6	203,01	186,74	187,04	187,12	192,54	267,92	183,68	257,85	159,95	0,36227	193,81	205,89	199,3	245,05	1960,5	
5	1	5,	185,92	320,15	342,21	1124,7	344,03	1461,	1462,1	1452,4	110,23	72,106	129,89	13,767	195,42	2144,1	233,57	191,79	192,12	192,32	197,44	272,06	187,44	264,63	158,84	0,53769	194,1	206,18	199,54	252,04	2817,5	
6	1	6,	189,55	325,27	342,62	1125,5	344,29	1471,3	1473,2	1461,7	100,03	75,443	134,98	15,165	197,26	2902,9	284,76	194,68	195,02	195,44	200,1	274,37	189,48	268,56	156,76	0,71371	194,18	206,23	199,31	259,56	3787,5	
7	1	7,	191,9	328,58	342,73	1125,5	344,36	1478,1	1480,8	1467,5	91,698	78,976	138,98	16,456	198,56	3712,1	362,5	196,38	196,69	197,44	201,55	275,77	190,62	270,95	154,58	0,88248	194,2	206,23	198,72	267,15	4782,8	
8	1	8,	193,48	330,82	342,72	1125,3	344,37	1483,	1486,4	1471,4	85,671	82,296	142,29	17,663	199,62	4518,4	469,49	197,4	197,64	198,81	202,31	276,66	191,25	272,44	152,62	1,0413	194,22	206,23	198,46	274,52	5737,	
9	1	9,	194,58	332,39	342,64	1124,9	344,4	1486,6	1490,8	1474,	81,918	85,216	145,11	18,8	200,56	5285,8	606,35	198,04	198,17	199,83	202,69	277,26	191,59	273,4	150,98	1,1901	194,25	206,24	200,81	281,51	6612,8	
10	1	10,	195,35	333,51	342,52	1124,5	344,45	1489,3	1494,3	1476,	80,215	87,671	147,58	19,878	201,42	5993,9	771,93	198,48	198,46	200,65	202,87	277,66	191,75	274,04	149,7	1,3299	194,29	206,26	210,28	288,04	7394,4	
