	Steps	Time [s]	[A] Probe1_Heat Flux_Carrier_center  (Total) [W/m²]	[B] Probe2_Heat Flux_Carrier_corner1  (Total) [W/m²]	[C] Probe3_Heat Flux_GuideRail_top  (Total) [W/m²]	[D] Probe4_Heat Flux_GuideRail_middle  (Total) [W/m²]	[E] Probe5_Heat Flux_GuideRail_bottom  (Total) [W/m²]	[F] Probe6_Heat Flux_MotorBase_front  (Total) [W/m²]	[G] Probe7_Heat Flux_MotorBase_side  (Total) [W/m²]	[H] Probe8_Heat Flux_MotorBase_corner  (Total) [W/m²]	[I] Probe9_Heat Flux_BearingTop  (Total) [W/m²]	[J] Probe10_Heat Flux_BearingBottom  (Total) [W/m²]	[K] Probe11_Heat Flux_Structure_front_1  (Total) [W/m²]	[L] Probe12_Heat Flux_Structure_front_2  (Total) [W/m²]	[M] Probe13_Heat Flux_Structure_front_3  (Total) [W/m²]	[N] Probe14_Heat Flux_Structure_front_4  (Total) [W/m²]	[O] Probe15_Heat Flux_Structure_lateral_1  (Total) [W/m²]	[P] Probe16_Heat Flux_Structure_lateral_2  (Total) [W/m²]	[Q] Probe17_Heat Flux_Structure_lateral_3  (Total) [W/m²]	[R] Probe18_Heat Flux_Structure_lateral_4  (Total) [W/m²]	[S] Probe19_Heat Flux_Structure_lateral_5  (Total) [W/m²]	[T] Probe20_Heat Flux_Structure_top_1  (Total) [W/m²]	[U] Probe21_Heat Flux_Structure_top_2  (Total) [W/m²]	[V] Probe22_Heat Flux_Structure_top_3  (Total) [W/m²]	[W] Probe23_Heat Flux_Structure_top_4  (Total) [W/m²]	[X] Probe24_Heat Flux_Structure_back_1  (Total) [W/m²]	[Y] Probe25_Heat Flux_Structure_back_2  (Total) [W/m²]	[Z] Probe26_Heat Flux_Structure_back_3  (Total) [W/m²]	[AA] Probe27_Heat Flux_Structure_back_4  (Total) [W/m²]	[AB] Probe28_Heat Flux_Structure_back_5  (Total) [W/m²]	[AC] Probe29_Heat Flux_Structure_back_6  (Total) [W/m²]	
1	1	1,	532,64	959,89	1393,8	1676,7	1403,4	1057,3	1051,8	1068,3	175,48	477,46	319,77	22,665	643,25	640,87	589,02	587,42	588,71	589,22	604,3	907,94	589,51	802,18	550,52	0,2608	817,47	865,15	841,47	1030,9	1180,4	
2	1	2,	743,95	1301,4	1614,9	1966,1	1620,5	1325,9	1321,2	1343,1	347,83	798,47	475,61	39,729	846,73	936,35	793,04	792,	792,73	793,29	816,32	1180,	793,17	1086,2	728,55	0,45307	934,56	992,08	961,84	1154,6	1491,8	
3	1	3,	840,5	1442,7	1662,9	2036,9	1667,1	1410,	1409,3	1435,2	493,62	975,93	559,15	51,69	920,42	1208,9	881,25	879,37	880,52	880,73	907,23	1273,	872,62	1204,7	782,71	1,0123	957,88	1017,	985,	1185,6	1952,8	
4	1	4,	889,99	1508,4	1674,2	2058,6	1677,4	1444,	1445,4	1474,8	610,97	1080,	609,13	60,682	951,08	1527,7	926,27	922,98	924,44	924,56	951,34	1309,3	907,83	1261,3	791,63	1,7964	962,51	1021,8	989,1	1212,8	2446,	
5	1	5,	917,74	1541,6	1675,2	2065,9	1678,	1461,1	1463,3	1495,4	701,73	1146,2	642,49	68,294	965,31	1963,	953,4	946,38	948,02	948,52	974,	1325,	924,95	1290,5	784,41	2,6644	962,7	1021,7	988,78	1244,4	3062,3	
6	1	6,	934,32	1559,2	1672,8	2068,1	1675,4	1471,4	1473,5	1507,6	769,02	1191,2	666,87	75,128	972,47	2506,6	974,34	959,14	960,85	962,23	985,64	1332,	933,61	1306,	772,15	3,5337	961,8	1020,6	987,34	1278,4	3774,4	
7	1	7,	944,65	1568,5	1669,2	2068,1	1671,6	1478,2	1480,	1515,4	816,29	1223,5	685,93	81,416	976,25	3109,9	996,91	965,98	967,64	970,35	991,26	1334,7	937,9	1314,2	759,03	4,3653	960,65	1019,1	985,6	1312,6	4515,4	
8	1	8,	951,24	1573,2	1665,1	2067,	1667,4	1483,	1484,4	1520,7	846,75	1247,3	701,56	87,272	978,29	3724,4	1027,8	969,48	970,93	975,35	993,53	1335,3	939,77	1318,1	746,57	5,1462	959,5	1017,7	983,85	1345,5	5230,4	
9	1	9,	955,48	1574,9	1660,8	2065,5	1663,	1486,6	1487,5	1524,4	863,26	1265,2	714,82	92,767	979,35	4316,1	1073,3	971,1	972,17	978,61	993,95	1334,5	940,24	1319,5	735,23	5,8762	958,41	1016,3	982,41	1376,5	5887,4	
10	1	10,	958,18	1574,8	1656,4	2063,6	1658,5	1489,4	1489,7	1527,1	868,21	1278,7	726,32	97,954	979,84	4865,3	1138,3	971,7	972,21	980,9	993,35	1332,9	939,88	1319,5	725,08	6,5604	957,4	1015,1	981,9	1405,1	6472,4	
