	Steps	Time [s]	[A] Probe1_Carrier_center [°C]	[B] Probe2_Carrier_corner1 [°C]	[C] Probe3_GuideRail_top [°C]	[D] Probe4_GuideRail_middle [°C]	[E] Probe5_GuideRail_bottom [°C]	[F] Probe6_MotorBase_front [°C]	[G] Probe7_MotorBase_side [°C]	[H] Probe8_MotorBase_corner [°C]	[I] Probe11_Structure_front_1 [°C]	[J] Probe12_Structure_front_2 [°C]	[K] Probe13_Structure_front_3 [°C]	[L] Probe14_Structure_front_4 [°C]	[M] Probe15_Structure_lateral_1 [°C]	[N] Probe16_Structure_lateral_2 [°C]	[O] Probe18_Structure_lateral_4 [°C]	[P] Probe19_Structure_lateral_5 [°C]	[Q] Probe20_Structure_top_1 [°C]	[R] Probe21_Structure_top_2 [°C]	[S] Probe22_Structure_top_3 [°C]	[T] Probe23_Structure_top_4 [°C]	[U] Probe24_Structure_back_1 [°C]	[V] Probe25_Structure_back_2 [°C]	[W] Probe26_Structure_back_3 [°C]	[X] Probe27_Structure_back_4 [°C]	[Y] Probe28_Structure_back_5 [°C]	[Z] Probe29_Structure_back_6 [°C]	[AA] Probe9_Temperature_BearingTop [°C]	[AB] Probe10_Temperature_BearingBottom [°C]	[AC] Probe17_Temperature_Structure_lateral_3 [°C]	
1	1	1,	39,974	39,921	39,958	40,111	39,958	40,213	40,211	40,21	39,983	40,	39,973	39,952	39,97	39,973	39,973	39,974	39,946	39,973	39,948	39,983	40,	39,987	39,985	39,986	39,983	39,947	40,004	40,004	39,973	
2	1	2,	39,957	39,873	39,936	40,171	39,936	40,326	40,325	40,324	39,971	39,999	39,957	39,843	39,953	39,957	39,957	39,958	39,915	39,957	39,917	39,975	40,	39,979	39,975	39,977	39,972	39,91	40,007	40,004	39,957	
3	1	3,	39,946	39,839	39,919	40,217	39,919	40,408	40,407	40,406	39,963	39,998	39,946	39,725	39,936	39,945	39,944	39,946	39,892	39,946	39,895	39,968	40,	39,972	39,968	39,97	39,961	39,824	40,008	40,002	39,946	
4	1	4,	39,936	39,811	39,904	40,258	39,905	40,475	40,474	40,472	39,955	39,997	39,937	39,57	39,918	39,936	39,934	39,937	39,873	39,937	39,877	39,96	40,	39,965	39,961	39,962	39,949	39,714	40,008	39,998	39,936	
5	1	5,	39,928	39,787	39,89	40,296	39,892	40,534	40,532	40,53	39,949	39,996	39,93	39,365	39,897	39,927	39,925	39,928	39,856	39,929	39,862	39,953	40,	39,959	39,953	39,955	39,938	39,57	40,006	39,993	39,928	
6	1	6,	39,921	39,766	39,877	40,331	39,879	40,587	40,585	40,582	39,944	39,994	39,923	39,112	39,87	39,918	39,915	39,92	39,84	39,921	39,848	39,946	40,	39,952	39,946	39,946	39,927	39,392	40,003	39,986	39,92	
7	1	7,	39,915	39,747	39,864	40,365	39,868	40,637	40,633	40,629	39,939	39,993	39,917	38,822	39,835	39,91	39,906	39,912	39,826	39,914	39,835	39,939	40,	39,946	39,939	39,937	39,916	39,188	40,	39,98	39,912	
8	1	8,	39,908	39,728	39,852	40,397	39,856	40,683	40,677	40,673	39,935	39,991	39,911	38,508	39,792	39,902	39,898	39,904	39,812	39,908	39,822	39,933	40,	39,939	39,933	39,927	39,905	38,965	39,996	39,973	39,905	
9	1	9,	39,902	39,711	39,84	40,427	39,846	40,727	40,718	40,714	39,93	39,99	39,906	38,179	39,737	39,894	39,889	39,897	39,798	39,901	39,81	39,926	40,	39,933	39,926	39,916	39,894	38,728	39,992	39,965	39,898	
10	1	10,	39,897	39,695	39,828	40,457	39,835	40,769	40,757	40,752	39,926	39,988	39,901	37,846	39,672	39,886	39,88	39,889	39,785	39,895	39,799	39,92	40,	39,926	39,919	39,903	39,883	38,484	39,987	39,957	39,891	
