	Steps	Time [s]	[A] Probe1_Carrier_center [°C]	[B] Probe2_Carrier_corner1 [°C]	[C] Probe3_GuideRail_top [°C]	[D] Probe4_GuideRail_middle [°C]	[E] Probe5_GuideRail_bottom [°C]	[F] Probe6_MotorBase_front [°C]	[G] Probe7_MotorBase_side [°C]	[H] Probe8_MotorBase_corner [°C]	[I] Probe11_Structure_front_1 [°C]	[J] Probe12_Structure_front_2 [°C]	[K] Probe13_Structure_front_3 [°C]	[L] Probe14_Structure_front_4 [°C]	[M] Probe15_Structure_lateral_1 [°C]	[N] Probe16_Structure_lateral_2 [°C]	[O] Probe18_Structure_lateral_4 [°C]	[P] Probe19_Structure_lateral_5 [°C]	[Q] Probe20_Structure_top_1 [°C]	[R] Probe21_Structure_top_2 [°C]	[S] Probe22_Structure_top_3 [°C]	[T] Probe23_Structure_top_4 [°C]	[U] Probe24_Structure_back_1 [°C]	[V] Probe25_Structure_back_2 [°C]	[W] Probe26_Structure_back_3 [°C]	[X] Probe27_Structure_back_4 [°C]	[Y] Probe28_Structure_back_5 [°C]	[Z] Probe29_Structure_back_6 [°C]	[AA] Probe9_Temperature_BearingTop [°C]	[AB] Probe10_Temperature_BearingBottom [°C]	[AC] Probe17_Temperature_Structure_lateral_3 [°C]	
1	1	1,	40,	40,	40,	40,125	40,	40,213	40,211	40,21	40,	40,	40,	39,979	39,998	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	39,969	40,005	40,009	40,	
2	1	2,	40,	40,	40,	40,191	40,	40,326	40,325	40,325	40,	40,	39,999	39,887	39,997	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	39,946	40,01	40,016	40,	
3	1	3,	40,	40,	40,	40,243	40,	40,408	40,407	40,407	40,	40,	39,999	39,78	39,991	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	39,873	40,014	40,021	40,	
4	1	4,	40,	40,	40,	40,289	40,001	40,475	40,475	40,474	40,	40,	39,999	39,636	39,983	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	39,999	40,	39,775	40,018	40,025	40,	
5	1	5,	40,	40,	40,	40,331	40,001	40,534	40,534	40,533	40,	40,	39,999	39,44	39,97	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	39,998	40,	39,644	40,021	40,029	40,	
6	1	6,	40,	40,	40,	40,37	40,002	40,587	40,587	40,586	40,	40,	39,999	39,198	39,951	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	39,997	40,	39,481	40,024	40,032	40,	
7	1	7,	40,	40,	40,	40,408	40,003	40,637	40,635	40,635	40,	40,	39,998	38,918	39,925	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	39,995	40,	39,29	40,026	40,034	40,	
8	1	8,	40,	40,	40,	40,444	40,005	40,683	40,681	40,68	40,	40,	39,998	38,615	39,889	40,	40,	40,	40,	40,	40,	40,001	40,	40,	40,	39,992	40,	39,081	40,028	40,037	40,	
9	1	9,	40,	40,	40,	40,479	40,006	40,727	40,723	40,723	40,	40,	39,998	38,297	39,843	40,	40,	40,	40,	40,	40,	40,001	40,	40,	40,	39,987	40,	38,859	40,03	40,039	40,	
10	1	10,	40,	40,	40,	40,512	40,007	40,769	40,764	40,763	40,	40,	39,997	37,975	39,785	40,	40,	40,	40,	40,	40,	40,002	40,	40,	40,	39,98	40,	38,629	40,032	40,041	40,	
11	1	11,	40,	40,	40,001	40,544	40,008	40,81	40,802	40,801	40,	40,	39,997	37,652	39,715	40,	40,	40,	40,	40,	40,	40,002	40,	40,	40,	39,972	40,	38,396	40,034	40,043	40,	
12	1	12,	40,	40,	40,001	40,576	40,009	40,85	40,839	40,838	40,	40,	39,997	37,333	39,634	40,	40,	40,	40,	40,	40,	40,003	40,	40,	40,	39,961	40,	38,162	40,035	40,045	40,	
13	1	13,	40,	40,	40,001	40,606	40,01	40,888	40,874	40,873	40,	40,	39,996	37,021	39,541	40,	40,	40,	40,	40,	40,	40,004	40,	40,	40,	39,947	40,	37,93	40,037	40,047	40,	
14	1	14,	40,	40,	40,001	40,636	40,01	40,926	40,908	40,907	40,	40,	39,996	36,717	39,438	40,	40,	40,	40,	40,	40,	40,006	40,	40,	40,	39,931	40,	37,7	40,038	40,048	40,	
15	1	15,	40,	40,	40,002	40,664	40,01	40,963	40,941	40,94	40,	40,	39,996	36,423	39,325	40,	40,	40,	40,	40,	40,	40,007	40,	40,	40,	39,912	40,	37,474	40,039	40,05	40,	
16	1	16,	40,	40,	40,002	40,692	40,01	41,	40,973	40,972	40,	40,	39,996	36,137	39,203	40,	40,	40,	40,	40,	40,	40,009	40,	40,	40,	39,89	40,	37,253	40,04	40,051	40,	
17	1	17,	40,	40,	40,002	40,719	40,009	41,037	41,004	41,003	40,	40,	39,996	35,862	39,073	40,	40,	40,	40,	40,	40,	40,011	40,	40,	40,	39,865	40,	37,037	40,042	40,053	40,	
18	1	18,	40,	40,	40,003	40,746	40,008	41,073	41,035	41,033	40,	40,	39,995	35,596	38,937	40,	40,	40,	40,	40,	40,	40,013	40,	40,	40,	39,838	40,	36,826	40,043	40,054	40,	
19	1	19,	40,	40,	40,003	40,772	40,006	41,109	41,065	41,063	40,	40,	39,995	35,34	38,794	40,	40,	40,	40,	40,	40,	40,015	40,	40,	40,	39,807	40,	36,621	40,044	40,056	40,	
20	1	20,	40,	40,	40,004	40,797	40,003	41,145	41,094	41,092	40,	40,	39,995	35,092	38,646	40,	40,	40,	40,	40,	40,	40,018	40,	40,	40,	39,774	40,	36,421	40,045	40,057	40,	
21	1	21,	40,	40,	40,005	40,821	40,	41,181	41,122	41,121	40,	40,	39,995	34,854	38,494	40,	40,	40,	40,	40,	40,	40,021	40,	40,	40,	39,738	40,	36,226	40,046	40,059	40,	
22	1	22,	40,	40,	40,005	40,845	39,996	41,217	41,151	41,149	40,	40,	39,995	34,624	38,339	40,	40,	40,	40,	40,	40,	40,023	40,	40,	40,	39,699	40,	36,037	40,047	40,06	40,	
23	1	23,	40,	40,	40,006	40,868	39,992	41,252	41,178	41,176	40,	40,	39,995	34,401	38,18	40,	40,	40,	40,	40,	40,	40,027	40,	40,	40,	39,658	40,	35,853	40,048	40,062	40,	
24	1	24,	40,	40,	40,007	40,891	39,987	41,288	41,205	41,204	40,	40,	39,995	34,187	38,02	40,	40,	40,	40,	40,	40,	40,03	40,	40,	40,	39,615	40,	35,674	40,049	40,063	40,	
25	1	25,	40,	40,	40,007	40,913	39,981	41,323	41,232	41,23	40,	40,	39,995	33,98	37,857	40,	40,	40,	40,	40,	40,	40,033	40,	40,	40,	39,57	40,	35,5	40,05	40,064	40,	
26	1	26,	40,	40,	40,008	40,935	39,975	41,358	41,259	41,257	40,	40,	39,995	33,78	37,694	40,	40,	40,	40,	40,	40,	40,037	40,	40,	40,	39,522	40,	35,331	40,05	40,065	40,	
27	1	27,	40,	40,	40,009	40,956	39,968	41,394	41,285	41,283	40,	40,	39,995	33,586	37,53	40,	40,	40,	40,	40,	40,	40,041	40,	40,	40,	39,473	40,	35,166	40,051	40,067	40,	
28	1	28,	40,	40,	40,01	40,977	39,96	41,429	41,311	41,309	40,	40,	39,995	33,399	37,365	40,	40,	40,	40,	40,	40,	40,045	40,	40,	40,	39,423	40,	35,006	40,052	40,068	40,	
29	1	29,	40,	40,	40,011	40,997	39,952	41,464	41,336	41,335	40,	40,	39,995	33,218	37,2	40,	40,	40,	40,	40,	40,	40,049	40,	40,	40,	39,37	40,	34,85	40,053	40,069	40,	
30	1	30,	40,	40,	40,012	41,017	39,943	41,5	41,362	41,36	40,	40,	39,995	33,042	37,036	40,	40,	40,	40,	40,	40,	40,053	40,	40,	40,	39,317	40,	34,699	40,054	40,07	40,	
31	1	31,	40,	40,	40,012	41,036	39,933	41,535	41,387	41,385	40,	40,	39,995	32,873	36,872	40,	40,	40,	40,	40,	40,	40,057	40,	40,	40,	39,262	40,	34,551	40,055	40,071	40,	
32	1	32,	40,	40,	40,013	41,055	39,923	41,57	41,412	41,41	40,	40,	39,995	32,708	36,709	40,	40,	40,	40,	40,	40,	40,061	40,	40,	40,	39,206	40,	34,408	40,055	40,073	40,	
