	Steps	Time [s]	[A] Probe1_Carrier_center [°C]	[B] Probe2_Carrier_corner1 [°C]	[C] Probe3_GuideRail_top [°C]	[D] Probe4_GuideRail_middle [°C]	[E] Probe5_GuideRail_bottom [°C]	[F] Probe6_MotorBase_front [°C]	[G] Probe7_MotorBase_side [°C]	[H] Probe8_MotorBase_corner [°C]	[I] Probe11_Structure_front_1 [°C]	[J] Probe12_Structure_front_2 [°C]	[K] Probe13_Structure_front_3 [°C]	[L] Probe14_Structure_front_4 [°C]	[M] Probe15_Structure_lateral_1 [°C]	[N] Probe16_Structure_lateral_2 [°C]	[O] Probe18_Structure_lateral_4 [°C]	[P] Probe19_Structure_lateral_5 [°C]	[Q] Probe20_Structure_top_1 [°C]	[R] Probe21_Structure_top_2 [°C]	[S] Probe22_Structure_top_3 [°C]	[T] Probe23_Structure_top_4 [°C]	[U] Probe24_Structure_back_1 [°C]	[V] Probe25_Structure_back_2 [°C]	[W] Probe26_Structure_back_3 [°C]	[X] Probe27_Structure_back_4 [°C]	[Y] Probe28_Structure_back_5 [°C]	[Z] Probe29_Structure_back_6 [°C]	[AA] Probe9_Temperature_BearingTop [°C]	[AB] Probe10_Temperature_BearingBottom [°C]	[AC] Probe17_Temperature_Structure_lateral_3 [°C]	
1	1	1,	30,	30,	30,	30,083	30,	30,142	30,141	30,14	30,	30,	30,	29,998	30,	30,	30,	30,	30,	30,	30,	30,	30,	30,	30,	30,	30,	29,997	30,003	30,006	30,	
2	1	2,	30,	30,	30,	30,128	30,	30,217	30,217	30,216	30,	30,	30,	29,99	30,	30,	30,	30,	30,	30,	30,	30,	30,	30,	30,	30,	30,	29,995	30,007	30,01	30,	
3	1	3,	30,	30,	30,	30,162	30,	30,272	30,271	30,271	30,	30,	30,	29,98	29,999	30,	30,	30,	30,	30,	30,	30,	30,	30,	30,	30,	30,	29,988	30,01	30,014	30,	
4	1	4,	30,	30,	30,	30,193	30,001	30,317	30,316	30,316	30,	30,	30,	29,967	29,998	30,	30,	30,	30,	30,	30,	30,	30,	30,	30,	30,	30,	29,979	30,012	30,017	30,	
5	1	5,	30,	30,	30,	30,221	30,001	30,356	30,356	30,356	30,	30,	30,	29,949	29,997	30,	30,	30,	30,	30,	30,	30,	30,	30,	30,	30,	30,	29,967	30,014	30,019	30,	
6	1	6,	30,	30,	30,	30,247	30,001	30,392	30,391	30,391	30,	30,	30,	29,927	29,996	30,	30,	30,	30,	30,	30,	30,	30,	30,	30,	30,	30,	29,952	30,016	30,021	30,	
7	1	7,	30,	30,	30,	30,273	30,002	30,425	30,424	30,423	30,	30,	30,	29,901	29,993	30,	30,	30,	30,	30,	30,	30,	30,	30,	30,	30,	30,	29,935	30,017	30,023	30,	
8	1	8,	30,	30,	30,	30,297	30,003	30,455	30,454	30,453	30,	30,	30,	29,873	29,99	30,	30,	30,	30,	30,	30,	30,	30,	30,	30,	29,999	30,	29,916	30,019	30,025	30,	
9	1	9,	30,	30,	30,	30,32	30,004	30,485	30,482	30,482	30,	30,	30,	29,844	29,986	30,	30,	30,	30,	30,	30,	30,001	30,	30,	30,	29,999	30,	29,895	30,02	30,026	30,	
10	1	10,	30,	30,	30,	30,342	30,005	30,513	30,509	30,509	30,	30,	30,	29,814	29,98	30,	30,	30,	30,	30,	30,	30,001	30,	30,	30,	29,998	30,	29,874	30,021	30,027	30,	
11	1	11,	30,	30,	30,	30,364	30,006	30,54	30,535	30,534	30,	30,	30,	29,785	29,974	30,	30,	30,	30,	30,	30,	30,002	30,	30,	30,	29,997	30,	29,853	30,022	30,029	30,	
12	1	12,	30,	30,	30,001	30,385	30,007	30,566	30,559	30,558	30,	30,	30,	29,755	29,966	30,	30,	30,	30,	30,	30,	30,002	30,	30,	30,	29,996	30,	29,831	30,023	30,03	30,	
13	1	13,	30,	30,	30,001	30,406	30,008	30,592	30,583	30,582	30,	30,	30,	29,727	29,958	30,	30,	30,	30,	30,	30,	30,003	30,	30,	30,	29,995	30,	29,81	30,024	30,031	30,	
14	1	14,	30,	30,	30,001	30,425	30,01	30,617	30,606	30,605	30,	30,	30,	29,699	29,948	30,	30,	30,	30,	30,	30,	30,004	30,	30,	30,	29,994	30,	29,789	30,025	30,032	30,	
15	1	15,	30,	30,	30,001	30,445	30,011	30,642	30,628	30,627	30,	30,	30,	29,672	29,938	30,	30,	30,	30,	30,	30,	30,005	30,	30,	30,	29,992	30,	29,768	30,026	30,033	30,	
16	1	16,	30,	30,	30,001	30,463	30,012	30,667	30,649	30,648	30,	30,	30,	29,646	29,927	30,	30,	30,	30,	30,	30,	30,006	30,	30,	30,	29,99	30,	29,748	30,027	30,034	30,	
17	1	17,	30,	30,	30,002	30,482	30,014	30,691	30,67	30,669	30,	30,	30,	29,62	29,915	30,	30,	30,	30,	30,	30,	30,007	30,	30,	30,	29,988	30,	29,728	30,028	30,035	30,	
18	1	18,	30,	30,	30,002	30,499	30,015	30,716	30,69	30,689	30,	30,	30,	29,596	29,902	30,	30,	30,	30,	30,	30,	30,009	30,	30,	30,	29,985	30,	29,708	30,029	30,036	30,	
19	1	19,	30,	30,	30,002	30,517	30,016	30,74	30,71	30,709	30,	30,	30,	29,572	29,889	30,	30,	30,	30,	30,	30,	30,01	30,	30,	30,	29,982	30,	29,689	30,029	30,037	30,	
20	1	20,	30,	30,	30,003	30,534	30,018	30,763	30,729	30,728	30,	30,	30,	29,549	29,875	30,	30,	30,	30,	30,	30,	30,012	30,	30,	30,	29,979	30,	29,671	30,03	30,038	30,	
21	1	21,	30,	30,	30,003	30,55	30,019	30,787	30,748	30,747	30,	30,	30,	29,527	29,861	30,	30,	30,	30,	30,	30,	30,014	30,	30,	30,	29,976	30,	29,653	30,031	30,039	30,	
22	1	22,	30,	30,	30,004	30,566	30,02	30,811	30,767	30,766	30,	30,	30,	29,506	29,847	30,	30,	30,	30,	30,	30,	30,016	30,	30,	30,	29,972	30,	29,635	30,031	30,04	30,	
23	1	23,	30,	30,	30,004	30,582	30,021	30,835	30,786	30,784	30,	30,	30,	29,486	29,832	30,	30,	30,	30,	30,	30,	30,018	30,	30,	30,	29,969	30,	29,618	30,032	30,041	30,	
