	Steps	Time [s]	[A] Probe1_Carrier_center [°C]	[B] Probe2_Carrier_corner1 [°C]	[C] Probe3_GuideRail_top [°C]	[D] Probe4_GuideRail_middle [°C]	[E] Probe5_GuideRail_bottom [°C]	[F] Probe6_MotorBase_front [°C]	[G] Probe7_MotorBase_side [°C]	[H] Probe8_MotorBase_corner [°C]	[I] Probe11_Structure_front_1 [°C]	[J] Probe12_Structure_front_2 [°C]	[K] Probe13_Structure_front_3 [°C]	[L] Probe14_Structure_front_4 [°C]	[M] Probe15_Structure_lateral_1 [°C]	[N] Probe16_Structure_lateral_2 [°C]	[O] Probe18_Structure_lateral_4 [°C]	[P] Probe19_Structure_lateral_5 [°C]	[Q] Probe20_Structure_top_1 [°C]	[R] Probe21_Structure_top_2 [°C]	[S] Probe22_Structure_top_3 [°C]	[T] Probe23_Structure_top_4 [°C]	[U] Probe24_Structure_back_1 [°C]	[V] Probe25_Structure_back_2 [°C]	[W] Probe26_Structure_back_3 [°C]	[X] Probe27_Structure_back_4 [°C]	[Y] Probe28_Structure_back_5 [°C]	[Z] Probe29_Structure_back_6 [°C]	[AA] Probe9_Temperature_BearingTop [°C]	[AB] Probe10_Temperature_BearingBottom [°C]	[AC] Probe17_Temperature_Structure_lateral_3 [°C]	
1	1	1,	40,	40,	40,	40,042	40,	40,071	40,07	40,07	40,	40,	40,	39,998	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	39,997	40,002	40,003	40,	
2	1	2,	40,	40,	40,	40,064	40,	40,109	40,108	40,108	40,	40,	40,	39,99	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	39,995	40,003	40,005	40,	
3	1	3,	40,	40,	40,	40,081	40,	40,136	40,136	40,136	40,	40,	40,	39,98	39,999	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	39,988	40,005	40,007	40,	
4	1	4,	40,	40,	40,	40,096	40,	40,158	40,158	40,158	40,	40,	40,	39,967	39,998	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	39,98	40,006	40,008	40,	
5	1	5,	40,	40,	40,	40,11	40,	40,178	40,178	40,178	40,	40,	40,	39,949	39,997	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	39,968	40,007	40,01	40,	
6	1	6,	40,	40,	40,	40,123	40,001	40,196	40,196	40,195	40,	40,	40,	39,927	39,996	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	39,953	40,008	40,011	40,	
7	1	7,	40,	40,	40,	40,136	40,001	40,212	40,212	40,212	40,	40,	40,	39,902	39,993	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	39,935	40,009	40,011	40,	
8	1	8,	40,	40,	40,	40,148	40,001	40,228	40,227	40,227	40,	40,	40,	39,874	39,99	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	39,999	40,	39,916	40,009	40,012	40,	
9	1	9,	40,	40,	40,	40,16	40,002	40,242	40,241	40,241	40,	40,	40,	39,845	39,986	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	39,999	40,	39,896	40,01	40,013	40,	
10	1	10,	40,	40,	40,	40,171	40,002	40,256	40,255	40,254	40,	40,	40,	39,816	39,98	40,	40,	40,	40,	40,	40,	40,001	40,	40,	40,	39,998	40,	39,875	40,011	40,014	40,	
11	1	11,	40,	40,	40,	40,181	40,003	40,27	40,267	40,267	40,	40,	40,	39,787	39,974	40,	40,	40,	40,	40,	40,	40,001	40,	40,	40,	39,997	40,	39,854	40,011	40,014	40,	
12	1	12,	40,	40,	40,	40,192	40,003	40,283	40,28	40,279	40,	40,	40,	39,758	39,967	40,	40,	40,	40,	40,	40,	40,001	40,	40,	40,	39,996	40,	39,833	40,012	40,015	40,	
13	1	13,	40,	40,	40,	40,202	40,004	40,296	40,291	40,291	40,	40,	40,	39,729	39,958	40,	40,	40,	40,	40,	40,	40,001	40,	40,	40,	39,995	40,	39,812	40,012	40,016	40,	
14	1	14,	40,	40,	40,	40,212	40,005	40,309	40,303	40,302	40,	40,	40,	39,702	39,949	40,	40,	40,	40,	40,	40,	40,002	40,	40,	40,	39,994	40,	39,791	40,013	40,016	40,	
15	1	15,	40,	40,	40,001	40,221	40,005	40,321	40,314	40,313	40,	40,	40,	39,675	39,939	40,	40,	40,	40,	40,	40,	40,002	40,	40,	40,	39,992	40,	39,77	40,013	40,017	40,	
16	1	16,	40,	40,	40,001	40,231	40,006	40,333	40,324	40,324	40,	40,	40,	39,649	39,928	40,	40,	40,	40,	40,	40,	40,003	40,	40,	40,	39,99	40,	39,75	40,013	40,017	40,	
17	1	17,	40,	40,	40,001	40,24	40,006	40,346	40,335	40,334	40,	40,	40,	39,624	39,916	40,	40,	40,	40,	40,	40,	40,004	40,	40,	40,	39,988	40,	39,731	40,014	40,018	40,	
18	1	18,	40,	40,	40,001	40,249	40,007	40,358	40,345	40,344	40,	40,	40,	39,6	39,903	40,	40,	40,	40,	40,	40,	40,004	40,	40,	40,	39,985	40,	39,711	40,014	40,018	40,	
19	1	19,	40,	40,	40,001	40,257	40,007	40,37	40,355	40,354	40,	40,	40,	39,576	39,89	40,	40,	40,	40,	40,	40,	40,005	40,	40,	40,	39,982	40,	39,693	40,015	40,019	40,	
20	1	20,	40,	40,	40,001	40,266	40,007	40,382	40,365	40,364	40,	40,	40,	39,554	39,877	40,	40,	40,	40,	40,	40,	40,006	40,	40,	40,	39,979	40,	39,675	40,015	40,019	40,	
21	1	21,	40,	40,	40,002	40,274	40,008	40,394	40,374	40,374	40,	40,	40,	39,532	39,863	40,	40,	40,	40,	40,	40,	40,007	40,	40,	40,	39,976	40,	39,657	40,015	40,02	40,	
22	1	22,	40,	40,	40,002	40,282	40,008	40,406	40,384	40,383	40,	40,	40,	39,511	39,849	40,	40,	40,	40,	40,	40,	40,008	40,	40,	40,	39,973	40,	39,64	40,016	40,02	40,	
23	1	23,	40,	40,	40,002	40,289	40,008	40,417	40,393	40,392	40,	40,	40,	39,491	39,835	40,	40,	40,	40,	40,	40,	40,009	40,	40,	40,	39,969	40,	39,623	40,016	40,021	40,	
24	1	24,	40,	40,	40,002	40,297	40,008	40,429	40,402	40,401	40,	40,	40,	39,472	39,82	40,	40,	40,	40,	40,	40,	40,01	40,	40,	40,	39,965	40,	39,607	40,016	40,021	40,	
25	1	25,	40,	40,	40,002	40,304	40,009	40,441	40,411	40,41	40,	40,	40,	39,453	39,805	40,	40,	40,	40,	40,	40,	40,011	40,	40,	40,	39,961	40,	39,591	40,017	40,021	40,	
26	1	26,	40,	40,	40,003	40,312	40,009	40,453	40,42	40,419	40,	40,	40,	39,435	39,79	40,	40,	40,	40,	40,	40,	40,012	40,	40,	40,	39,957	40,	39,576	40,017	40,022	40,	
27	1	27,	40,	40,	40,003	40,319	40,009	40,465	40,428	40,428	40,	40,	40,	39,417	39,775	40,	40,	40,	40,	40,	40,	40,014	40,	40,	40,	39,952	40,	39,561	40,017	40,022	40,	
28	1	28,	40,	40,	40,003	40,326	40,009	40,476	40,437	40,436	40,	40,	40,	39,4	39,76	40,	40,	40,	40,	40,	40,	40,015	40,	40,	40,	39,948	40,	39,546	40,017	40,023	40,	
29	1	29,	40,	40,	40,004	40,332	40,009	40,488	40,445	40,445	40,	40,	40,	39,383	39,745	40,	40,	40,	40,	40,	40,	40,016	40,	40,	40,	39,943	40,	39,532	40,018	40,023	40,	
30	1	30,	40,	40,	40,004	40,339	40,008	40,5	40,454	40,453	40,	40,	40,	39,368	39,731	40,	40,	40,	40,	40,	40,	40,018	40,	40,	40,	39,938	40,	39,518	40,018	40,024	40,	
31	1	31,	40,	40,	40,004	40,345	40,008	40,512	40,462	40,462	40,	40,	40,	39,352	39,716	40,	40,	40,	40,	40,	40,	40,019	40,	40,	40,	39,933	40,	39,505	40,018	40,024	40,	
32	1	32,	40,	40,	40,004	40,352	40,008	40,523	40,471	40,47	40,	40,	40,	39,337	39,701	40,	40,	40,	40,	40,	40,	40,02	40,	40,	40,	39,928	40,	39,492	40,018	40,024	40,	
33	1	33,	40,	40,	40,005	40,358	40,008	40,535	40,479	40,478	40,	40,	40,	39,323	39,686	40,	40,	40,	40,	40,	40,	40,022	40,	40,	40,	39,923	40,	39,479	40,019	40,025	40,	
34	1	34,	40,	40,	40,005	40,364	40,007	40,547	40,487	40,487	40,	40,	40,	39,309	39,671	40,	40,	40,	40,	40,	40,	40,024	40,	40,	40,	39,917	40,	39,467	40,019	40,025	40,	
35	1	35,	40,	40,	40,005	40,37	40,007	40,558	40,495	40,495	40,	40,	40,	39,295	39,657	40,	40,	40,	40,	40,	40,	40,025	40,	40,	40,	39,912	40,	39,454	40,019	40,025	40,	
36	1	36,	40,	40,	40,006	40,376	40,007	40,57	40,503	40,503	40,	40,	40,	39,282	39,643	40,	40,	40,	40,	40,	40,	40,027	40,	40,	40,	39,907	40,	39,443	40,019	40,026	40,	
37	1	37,	40,	40,	40,006	40,381	40,006	40,582	40,511	40,511	40,	40,	40,	39,269	39,628	40,	40,	40,	40,	40,	40,	40,028	40,	40,	40,	39,901	40,	39,431	40,02	40,026	40,	
38	1	38,	40,	40,	40,007	40,387	40,006	40,593	40,519	40,519	40,	40,	40,	39,256	39,614	40,	40,	40,	40,	40,	40,	40,03	40,	40,	40,	39,896	40,	39,42	40,02	40,027	40,	
39	1	39,	40,	40,	40,007	40,392	40,005	40,605	40,527	40,527	40,	40,	40,	39,244	39,6	40,	40,	40,	40,	40,	40,	40,032	40,	40,	40,	39,89	40,	39,409	40,02	40,027	40,	
40	1	40,	40,	40,	40,007	40,398	40,004	40,617	40,534	40,535	40,	40,	40,	39,232	39,587	40,	40,	40,	40,	40,	40,	40,033	40,	40,	40,	39,884	40,	39,399	40,02	40,027	40,	
41	1	41,	40,	40,001	40,008	40,403	40,004	40,628	40,542	40,543	40,	40,	40,	39,221	39,573	40,	40,	40,	40,	40,	40,	40,035	40,	40,	40,	39,879	40,	39,388	40,021	40,028	40,	
42	1	42,	40,	40,001	40,008	40,408	40,003	40,64	40,55	40,55	40,	40,	40,	39,21	39,56	40,	40,	40,	40,	40,	40,	40,037	40,	40,	40,	39,873	40,	39,378	40,021	40,028	40,	
43	1	43,	40,	40,001	40,008	40,413	40,002	40,652	40,557	40,558	40,	40,	40,001	39,199	39,547	40,	40,	40,	40,	40,	40,	40,038	40,	40,	40,	39,867	40,	39,368	40,021	40,028	40,	
44	1	44,	40,	40,001	40,009	40,418	40,001	40,663	40,565	40,566	40,	40,	40,001	39,189	39,534	40,	40,	40,	40,	40,	40,	40,04	40,	40,	40,	39,862	40,	39,359	40,021	40,029	40,	
45	1	45,	40,	40,001	40,009	40,423	40,001	40,675	40,573	40,574	40,	40,	40,001	39,178	39,521	40,	40,	40,	40,	40,	40,	40,042	40,	40,	40,	39,856	40,	39,349	40,022	40,029	40,	
46	1	46,	40,	40,001	40,01	40,428	40,	40,686	40,58	40,581	40,	40,	40,001	39,168	39,508	40,	40,	40,	40,	40,	40,	40,044	40,	40,	40,	39,85	40,	39,34	40,022	40,029	40,	
47	1	47,	40,	40,001	40,01	40,433	39,999	40,698	40,587	40,589	40,	40,	40,001	39,159	39,496	40,	40,	40,	40,	40,	40,	40,046	40,	40,	40,	39,845	40,	39,331	40,022	40,03	40,	
48	1	48,	40,	40,001	40,01	40,437	39,998	40,71	40,595	40,596	40,	40,	40,001	39,149	39,484	40,	40,	40,	40,	40,	40,	40,047	40,	40,	40,	39,839	40,	39,322	40,022	40,03	40,	
49	1	49,	40,	40,001	40,011	40,442	39,997	40,721	40,602	40,604	40,	40,	40,001	39,14	39,472	40,	40,	40,	40,	40,	40,	40,049	40,	40,	40,	39,833	40,	39,314	40,022	40,03	40,	
50	1	50,	40,	40,001	40,011	40,446	39,996	40,733	40,61	40,612	40,	40,	40,001	39,131	39,46	40,	40,	40,	40,	40,	40,	40,051	40,	40,	40,	39,827	40,	39,305	40,023	40,03	40,	
51	1	51,	40,	40,001	40,012	40,451	39,995	40,744	40,617	40,619	40,	40,	40,001	39,122	39,448	40,	40,	40,	40,	40,	40,	40,053	40,	40,	40,	39,822	40,	39,297	40,023	40,031	40,	
52	1	52,	40,	40,001	40,012	40,455	39,994	40,756	40,624	40,627	40,	40,	40,001	39,114	39,437	40,	40,	40,	40,	40,	40,	40,055	40,	40,	40,	39,816	40,	39,289	40,023	40,031	40,	
53	1	53,	40,	40,002	40,012	40,459	39,993	40,767	40,631	40,634	40,	40,	40,001	39,105	39,426	40,	40,	40,	40,	40,	40,	40,057	40,	40,	40,	39,811	40,	39,281	40,023	40,031	40,	
54	1	54,	40,	40,002	40,013	40,463	39,992	40,778	40,638	40,641	40,	40,	40,002	39,097	39,415	40,	40,	40,	40,	40,	40,	40,059	40,	40,	40,	39,805	40,	39,274	40,023	40,031	40,	
55	1	55,	40,	40,002	40,013	40,467	39,991	40,79	40,646	40,649	40,	40,	40,002	39,089	39,404	40,	40,	40,	40,	40,	40,	40,06	40,	40,	40,	39,799	40,	39,266	40,024	40,032	40,	
56	1	56,	40,	40,002	40,014	40,471	39,99	40,801	40,653	40,656	40,	40,	40,002	39,081	39,393	40,	40,	40,	40,	40,	40,	40,062	40,	40,	40,	39,794	40,	39,259	40,024	40,032	40,	
57	1	57,	40,	40,002	40,014	40,475	39,988	40,813	40,66	40,664	40,	40,	40,002	39,074	39,383	40,	40,	40,	40,	40,	40,	40,064	40,	40,	40,	39,788	40,	39,252	40,024	40,032	40,	
58	1	58,	40,	40,002	40,015	40,479	39,987	40,824	40,667	40,671	40,	40,	40,002	39,066	39,372	40,	40,	40,	40,	40,	40,	40,066	40,	40,	40,	39,783	40,	39,245	40,024	40,032	40,	
59	1	59,	40,	40,002	40,015	40,483	39,986	40,835	40,674	40,678	40,	40,	40,002	39,059	39,362	40,	40,	40,	40,	40,	40,	40,068	40,	40,	40,	39,777	40,	39,238	40,025	40,032	40,	
60	1	60,	40,	40,002	40,015	40,487	39,985	40,847	40,681	40,686	40,	40,	40,002	39,052	39,352	40,	40,	40,	40,	40,	40,	40,07	40,	40,	40,	39,772	40,	39,231	40,025	40,033	40,	
61	1	61,	40,	40,003	40,016	40,49	39,984	40,858	40,688	40,693	40,	40,	40,002	39,045	39,343	40,	40,	40,	40,	40,	40,	40,072	40,	40,	40,	39,766	40,	39,224	40,025	40,033	40,	
62	1	62,	40,	40,003	40,016	40,494	39,982	40,869	40,695	40,7	40,	40,	40,002	39,039	39,333	40,	40,	40,	40,	40,	40,	40,074	40,	40,	40,	39,761	40,	39,218	40,025	40,033	40,	
63	1	63,	40,	40,003	40,017	40,498	39,981	40,881	40,701	40,707	40,	40,	40,003	39,032	39,324	40,	40,	40,	40,	40,	40,	40,076	40,	40,	40,	39,756	40,	39,212	40,025	40,033	40,	
64	1	64,	40,	40,003	40,017	40,501	39,98	40,892	40,708	40,715	40,	40,	40,003	39,026	39,315	40,	40,	40,	40,	40,	40,	40,078	40,	40,	40,	39,75	40,	39,205	40,026	40,033	40,	
65	1	65,	40,	40,003	40,018	40,505	39,979	40,903	40,715	40,722	40,	40,	40,003	39,019	39,305	40,	40,	40,	40,	40,	40,	40,08	40,	40,	40,	39,745	40,	39,199	40,026	40,033	40,	
66	1	66,	40,	40,003	40,018	40,508	39,977	40,914	40,722	40,729	40,	40,	40,003	39,013	39,297	40,	40,	40,	40,	40,	40,	40,082	40,	40,	40,	39,74	40,	39,193	40,026	40,034	40,	
67	1	67,	40,	40,004	40,018	40,511	39,976	40,926	40,729	40,736	40,	40,	40,003	39,007	39,288	40,	40,	40,	40,	40,	40,	40,083	40,	40,	40,	39,734	40,	39,187	40,026	40,034	40,	
68	1	68,	40,	40,004	40,019	40,515	39,975	40,937	40,735	40,743	40,	40,	40,003	39,001	39,279	40,	40,	40,	40,	40,	40,	40,085	40,	40,	40,	39,729	40,	39,182	40,026	40,034	40,	
69	1	69,	40,	40,004	40,019	40,518	39,973	40,948	40,742	40,75	40,	40,	40,003	38,995	39,271	40,	40,	40,	40,	40,	40,	40,087	40,	40,	40,	39,724	40,	39,176	40,027	40,034	40,	
70	1	70,	40,	40,004	40,02	40,521	39,972	40,959	40,749	40,758	40,	40,	40,003	38,99	39,263	40,	40,	40,	40,	40,	40,	40,089	40,	40,	40,	39,719	40,	39,17	40,027	40,034	40,	
71	1	71,	40,	40,004	40,02	40,524	39,971	40,97	40,755	40,765	40,	40,	40,004	38,984	39,254	40,	40,	40,	40,	40,	40,	40,091	40,	40,	40,	39,714	40,	39,165	40,027	40,034	40,	
72	1	72,	40,	40,005	40,021	40,528	39,969	40,981	40,762	40,772	40,	40,	40,004	38,979	39,246	40,	40,	40,	40,	40,	40,001	40,093	40,	40,	40,	39,709	40,	39,16	40,027	40,034	40,	
73	1	73,	40,	40,005	40,021	40,531	39,968	40,992	40,769	40,779	40,	40,	40,004	38,974	39,239	40,	40,	40,	40,	40,	40,001	40,095	40,	40,	40,	39,704	40,	39,155	40,027	40,034	40,	
74	1	74,	40,	40,005	40,022	40,534	39,967	41,003	40,775	40,786	40,	40,	40,004	38,969	39,231	40,	40,	40,	40,	40,	40,001	40,097	40,	40,	39,999	39,699	40,	39,149	40,027	40,034	40,	
75	1	75,	40,	40,005	40,022	40,537	39,965	41,014	40,782	40,793	40,	40,	40,004	38,963	39,223	40,	40,	40,	40,	40,	40,001	40,099	40,	40,	39,999	39,694	40,	39,144	40,028	40,034	40,	
76	1	76,	40,	40,005	40,022	40,54	39,964	41,025	40,788	40,8	40,	40,	40,004	38,958	39,216	40,	40,	40,	40,	40,	40,001	40,101	40,	40,	39,999	39,689	40,	39,139	40,028	40,034	40,	
77	1	77,	40,	40,006	40,023	40,543	39,962	41,036	40,795	40,807	40,	40,	40,005	38,954	39,209	40,	40,	40,	40,	40,	40,001	40,103	40,	40,	39,999	39,684	40,	39,135	40,028	40,034	40,	
78	1	78,	40,	40,006	40,023	40,545	39,961	41,047	40,801	40,814	40,	40,	40,005	38,949	39,201	40,	40,	40,	40,	40,	40,001	40,105	40,	40,	39,999	39,68	40,	39,13	40,028	40,035	40,	
79	1	79,	40,	40,006	40,024	40,548	39,959	41,058	40,808	40,821	40,	40,	40,005	38,944	39,194	40,	40,	40,	40,	40,	40,001	40,107	40,	40,	39,999	39,675	40,	39,125	40,028	40,035	40,	
80	1	80,	40,	40,006	40,024	40,551	39,958	41,069	40,814	40,828	40,	40,	40,005	38,94	39,187	40,	40,	40,	40,	40,	40,001	40,109	40,	40,	39,999	39,67	40,	39,121	40,029	40,035	40,	
81	1	81,	40,	40,007	40,025	40,554	39,957	41,08	40,82	40,835	40,	40,	40,005	38,935	39,181	40,	40,	40,	40,	40,	40,001	40,111	40,	40,	39,999	39,666	40,	39,116	40,029	40,035	40,	
82	1	82,	40,	40,007	40,025	40,557	39,955	41,09	40,827	40,841	40,	40,	40,005	38,931	39,174	40,	40,	40,	40,	40,	40,001	40,113	40,	40,	39,999	39,661	40,	39,112	40,029	40,034	40,	
83	1	83,	40,	40,007	40,025	40,559	39,954	41,101	40,833	40,848	40,	40,	40,005	38,926	39,167	40,	40,	40,	40,	40,	40,001	40,115	40,	40,	39,999	39,656	40,	39,107	40,029	40,034	40,	
