	Steps	Time [s]	[A] Probe1_Heat Flux_Carrier_center  (Total) [W/m²]	[B] Probe2_Heat Flux_Carrier_corner1  (Total) [W/m²]	[C] Probe3_Heat Flux_GuideRail_top  (Total) [W/m²]	[D] Probe4_Heat Flux_GuideRail_middle  (Total) [W/m²]	[E] Probe5_Heat Flux_GuideRail_bottom  (Total) [W/m²]	[F] Probe6_Heat Flux_MotorBase_front  (Total) [W/m²]	[G] Probe7_Heat Flux_MotorBase_side  (Total) [W/m²]	[H] Probe8_Heat Flux_MotorBase_corner  (Total) [W/m²]	[I] Probe9_Heat Flux_BearingTop  (Total) [W/m²]	[J] Probe10_Heat Flux_BearingBottom  (Total) [W/m²]	[K] Probe11_Heat Flux_Structure_front_1  (Total) [W/m²]	[L] Probe12_Heat Flux_Structure_front_2  (Total) [W/m²]	[M] Probe13_Heat Flux_Structure_front_3  (Total) [W/m²]	[N] Probe14_Heat Flux_Structure_front_4  (Total) [W/m²]	[O] Probe15_Heat Flux_Structure_lateral_1  (Total) [W/m²]	[P] Probe16_Heat Flux_Structure_lateral_2  (Total) [W/m²]	[Q] Probe17_Heat Flux_Structure_lateral_3  (Total) [W/m²]	[R] Probe18_Heat Flux_Structure_lateral_4  (Total) [W/m²]	[S] Probe19_Heat Flux_Structure_lateral_5  (Total) [W/m²]	[T] Probe20_Heat Flux_Structure_top_1  (Total) [W/m²]	[U] Probe21_Heat Flux_Structure_top_2  (Total) [W/m²]	[V] Probe22_Heat Flux_Structure_top_3  (Total) [W/m²]	[W] Probe23_Heat Flux_Structure_top_4  (Total) [W/m²]	[X] Probe24_Heat Flux_Structure_back_1  (Total) [W/m²]	[Y] Probe25_Heat Flux_Structure_back_2  (Total) [W/m²]	[Z] Probe26_Heat Flux_Structure_back_3  (Total) [W/m²]	[AA] Probe27_Heat Flux_Structure_back_4  (Total) [W/m²]	[AB] Probe28_Heat Flux_Structure_back_5  (Total) [W/m²]	[AC] Probe29_Heat Flux_Structure_back_6  (Total) [W/m²]	
1	1	1,	1,4356e-004	2,299e-004	5,3815e-002	1036,9	1,0271	1057,4	1056,7	1055,8	101,1	123,38	6,5752e-004	1,5647e-007	0,20281	15,45	1,334	8,697e-006	5,8631e-008	9,8896e-007	5,6602e-008	1,3366e-004	5,3231e-006	8,1827e-006	6,0937e-002	6,795e-007	4,4826e-008	5,4121e-005	0,26062	1,1573e-007	31,996	
2	1	2,	1,4609e-004	1,2311e-004	4,5704e-002	1203,1	1,0232	1325,9	1322,9	1322,6	160,93	163,97	5,1872e-004	1,451e-007	0,62331	53,522	1,67	6,8091e-005	5,5573e-008	6,5135e-007	1,3071e-007	1,0721e-004	7,1429e-006	3,9272e-006	6,3812e-002	1,4262e-006	5,9139e-008	8,6701e-005	0,34506	8,6565e-008	43,111	
3	1	3,	1,916e-004	3,0294e-004	4,8451e-002	1242,5	1,1134	1409,9	1408,7	1407,9	189,25	172,53	6,3537e-004	1,8429e-007	0,56551	89,434	4,4826	9,8921e-005	4,5489e-008	4,9287e-007	2,5727e-008	3,2166e-005	1,3042e-005	8,3095e-006	0,13595	3,031e-006	6,0374e-008	1,956e-004	0,76354	7,492e-008	103,06	
4	1	4,	2,8842e-004	6,8576e-004	5,4678e-002	1254,2	1,2935	1443,9	1444,2	1442,5	202,56	172,85	9,1304e-004	1,2963e-007	0,612	135,17	7,7352	2,2486e-004	3,1278e-008	4,1198e-007	2,0848e-008	1,1433e-005	2,5987e-005	9,1469e-006	0,29053	5,4089e-006	6,0565e-008	3,3132e-004	1,1144	8,2603e-008	167,15	
5	1	5,	4,2058e-004	1,2935e-003	7,1135e-002	1258,	1,4629	1461,1	1462,3	1459,6	208,5	171,05	1,2178e-003	1,5938e-007	0,81883	194,54	12,548	4,4012e-004	2,9944e-008	4,9211e-007	7,3959e-008	2,2615e-005	5,8108e-005	8,718e-006	0,57196	8,6079e-006	6,0617e-008	4,989e-004	1,3649	8,5272e-008	245,79	
6	1	6,	5,753e-004	2,1703e-003	9,855e-002	1259,3	1,5857	1471,3	1473,2	1469,4	210,65	168,92	1,5182e-003	3,446e-007	1,1135	263,96	19,242	7,362e-004	4,2339e-008	6,2364e-007	1,5088e-007	4,3056e-005	1,2167e-004	5,2157e-006	1,048	1,2644e-005	6,0234e-008	6,9341e-004	1,359	8,6912e-008	334,65	
7	1	7,	7,423e-004	3,3423e-003	0,13334	1259,5	1,6631	1478,1	1480,6	1475,5	210,78	167,05	1,7567e-003	5,5883e-007	1,441	337,86	27,981	1,1164e-003	5,6937e-008	7,8465e-007	2,5075e-007	7,1389e-005	2,2908e-004	7,2018e-006	1,8066	1,7582e-005	6,0309e-008	9,0087e-004	0,98174	8,8083e-008	425,79	
8	1	8,	9,1403e-004	4,8204e-003	0,17161	1259,4	1,7088	1483,	1486,	1479,7	209,85	165,61	1,8645e-003	7,6785e-007	1,7693	411,42	38,954	1,5727e-003	7,1733e-008	9,7041e-007	3,8003e-007	1,0661e-004	3,9273e-004	2,3693e-005	2,9453	2,354e-005	6,0695e-008	1,1083e-003	1,186	8,8673e-008	513,19	
9	1	9,	1,0855e-003	6,6017e-003	0,21032	1259,1	1,7366	1486,6	1490,2	1482,6	208,39	164,64	1,791e-003	9,6109e-007	2,0819	481,41	52,298	2,0854e-003	8,7163e-008	1,1683e-006	5,4374e-007	1,4718e-004	6,2407e-004	4,954e-005	4,5599	3,0692e-005	6,056e-008	1,3074e-003	3,2736	9,0916e-008	593,44	
10	1	10,	1,254e-003	8,6701e-003	0,24734	1258,8	1,7574	1489,4	1493,5	1484,6	206,68	164,1	1,5286e-003	1,1351e-006	2,3716	545,98	68,009	2,631e-003	1,0349e-007	1,3617e-006	7,4945e-007	1,9169e-004	9,3271e-004	8,5618e-005	6,7342	3,9272e-005	6,0788e-008	1,494e-003	6,6948	9,3389e-008	665,12	
11	1	11,	1,4179e-003	1,0998e-002	0,28129	1258,4	1,7783	1491,5	1496,2	1486,2	204,9	163,94	1,154e-003	1,2948e-006	2,6361	604,3	85,934	3,1879e-003	1,2276e-007	1,5353e-006	1,0079e-006	2,3896e-004	1,3259e-003	1,3298e-004	9,5342	4,9555e-005	6,1299e-008	1,6667e-003	11,417	9,3407e-008	728,04	
12	1	12,	1,5763e-003	1,3551e-002	0,31141	1258,	1,8037	1493,2	1498,5	1487,3	203,12	164,09	9,7049e-004	1,4359e-006	2,8763	656,24	105,8	3,7392e-003	1,429e-007	1,6742e-006	1,3267e-006	2,8801e-004	1,8085e-003	1,9246e-004	13,005	6,1849e-005	6,0627e-008	1,8259e-003	17,479	9,4511e-008	782,63	
13	1	13,	1,7292e-003	1,6288e-002	0,33737	1257,6	1,8358	1494,5	1500,5	1488,1	201,41	164,51	1,3973e-003	1,5642e-006	3,0938	702,02	127,26	4,2727e-003	1,6493e-007	1,7634e-006	1,7148e-006	3,3806e-004	2,3831e-003	2,6472e-004	17,171	7,6469e-005	6,0209e-008	1,9725e-003	24,886	9,4082e-008	829,66	
14	1	14,	1,8762e-003	1,9166e-002	0,35915	1257,2	1,8756	1495,5	1502,2	1488,8	199,79	165,15	2,2291e-003	1,6814e-006	3,2912	742,08	149,97	4,7799e-003	1,8924e-007	1,7867e-006	2,179e-006	3,8848e-004	3,0503e-003	3,5026e-004	22,04	9,3726e-005	6,012e-008	2,1077e-003	33,605	9,2884e-008	869,96	
15	1	15,	2,0175e-003	2,2146e-002	0,37693	1256,9	1,923	1496,3	1503,7	1489,3	198,27	165,97	3,2124e-003	1,7882e-006	3,4711	776,96	173,55	5,2556e-003	2,1669e-007	1,7301e-006	2,7263e-006	4,3877e-004	3,8096e-003	4,4948e-004	27,602	1,139e-004	6,0646e-008	2,2326e-003	43,567	9,0566e-008	904,39	
16	1	16,	2,1532e-003	2,5192e-002	0,39102	1256,5	1,9773	1497,	1505,	1489,6	196,86	166,93	4,253e-003	1,8839e-006	3,6361	807,21	197,68	5,6969e-003	2,4896e-007	1,5789e-006	3,3618e-006	4,8856e-004	4,6589e-003	5,6283e-004	33,837	1,3726e-004	6,0241e-008	2,348e-003	54,675	8,7846e-008	933,73	
17	1	17,	2,2832e-003	2,8276e-002	0,40175	1256,2	2,0377	1497,5	1506,1	1489,9	195,55	168,	5,314e-003	1,9728e-006	3,7884	833,37	222,06	6,1021e-003	2,8682e-007	1,3335e-006	4,091e-006	5,3757e-004	5,5956e-003	6,9088e-004	40,716	1,64e-004	6,0875e-008	2,4545e-003	66,82	8,5745e-008	958,68	
18	1	18,	2,4078e-003	3,1379e-002	0,40951	1255,9	2,103	1497,9	1507,2	1490,1	194,35	169,17	6,3866e-003	2,0523e-006	3,9304	855,93	246,46	6,471e-003	3,3038e-007	1,0497e-006	4,9151e-006	5,8564e-004	6,6164e-003	8,345e-004	48,201	1,9432e-004	6,0799e-008	2,552e-003	79,878	8,2352e-008	979,86	
19	1	19,	2,5271e-003	3,4496e-002	0,41467	1255,6	2,1723	1498,2	1508,1	1490,2	193,24	170,4	7,482e-003	2,1282e-006	4,064	875,33	270,65	6,8039e-003	3,81e-007	1,0019e-006	5,8377e-006	6,3267e-004	7,7177e-003	9,9497e-004	56,254	2,2835e-004	6,0193e-008	2,64e-003	93,724	8,2572e-008	997,81	
