	Steps	Time [s]	[A] Probe1_Heat Flux_Carrier_center  (Total) [W/m²]	[B] Probe2_Heat Flux_Carrier_corner1  (Total) [W/m²]	[C] Probe3_Heat Flux_GuideRail_top  (Total) [W/m²]	[D] Probe4_Heat Flux_GuideRail_middle  (Total) [W/m²]	[E] Probe5_Heat Flux_GuideRail_bottom  (Total) [W/m²]	[F] Probe6_Heat Flux_MotorBase_front  (Total) [W/m²]	[G] Probe7_Heat Flux_MotorBase_side  (Total) [W/m²]	[H] Probe8_Heat Flux_MotorBase_corner  (Total) [W/m²]	[I] Probe9_Heat Flux_BearingTop  (Total) [W/m²]	[J] Probe10_Heat Flux_BearingBottom  (Total) [W/m²]	[K] Probe11_Heat Flux_Structure_front_1  (Total) [W/m²]	[L] Probe12_Heat Flux_Structure_front_2  (Total) [W/m²]	[M] Probe13_Heat Flux_Structure_front_3  (Total) [W/m²]	[N] Probe14_Heat Flux_Structure_front_4  (Total) [W/m²]	[O] Probe15_Heat Flux_Structure_lateral_1  (Total) [W/m²]	[P] Probe16_Heat Flux_Structure_lateral_2  (Total) [W/m²]	[Q] Probe17_Heat Flux_Structure_lateral_3  (Total) [W/m²]	[R] Probe18_Heat Flux_Structure_lateral_4  (Total) [W/m²]	[S] Probe19_Heat Flux_Structure_lateral_5  (Total) [W/m²]	[T] Probe20_Heat Flux_Structure_top_1  (Total) [W/m²]	[U] Probe21_Heat Flux_Structure_top_2  (Total) [W/m²]	[V] Probe22_Heat Flux_Structure_top_3  (Total) [W/m²]	[W] Probe23_Heat Flux_Structure_top_4  (Total) [W/m²]	[X] Probe24_Heat Flux_Structure_back_1  (Total) [W/m²]	[Y] Probe25_Heat Flux_Structure_back_2  (Total) [W/m²]	[Z] Probe26_Heat Flux_Structure_back_3  (Total) [W/m²]	[AA] Probe27_Heat Flux_Structure_back_4  (Total) [W/m²]	[AB] Probe28_Heat Flux_Structure_back_5  (Total) [W/m²]	[AC] Probe29_Heat Flux_Structure_back_6  (Total) [W/m²]	
1	1	1,	532,64	959,89	1393,9	745,18	1405,3	1057,4	1061,9	1043,4	28,369	262,13	319,77	22,665	643,55	642,61	589,21	587,42	588,71	589,22	604,3	907,94	589,51	802,18	550,51	0,2608	817,47	865,15	841,53	1030,9	1054,2	
2	1	2,	743,95	1301,4	1614,9	847,45	1620,4	1325,9	1324,8	1302,2	28,156	504,79	475,61	39,729	846,49	843,41	793,67	792,	792,73	793,29	816,32	1180,	793,17	1086,2	728,57	0,45307	934,56	992,08	961,9	1154,6	1319,5	
3	1	3,	840,5	1442,7	1662,9	868,87	1665,7	1409,8	1408,3	1380,9	116,57	662,11	559,15	51,69	920,51	921,98	881,86	879,37	880,52	880,73	907,23	1273,	872,62	1204,7	782,78	1,0123	957,88	1017,	985,12	1185,6	1461,8	
4	1	4,	889,99	1508,4	1674,2	875,65	1675,9	1443,8	1443,1	1410,5	208,21	761,85	609,13	60,682	951,37	957,41	926,35	922,98	924,44	924,56	951,34	1309,3	907,83	1261,3	791,81	1,7964	962,51	1021,8	989,31	1212,8	1571,6	
5	1	5,	917,74	1541,6	1675,2	878,63	1676,3	1461,	1461,4	1424,2	288,28	828,48	642,49	68,294	965,72	978,02	950,62	946,38	948,02	948,52	974,	1325,	924,95	1290,5	784,78	2,6644	962,7	1021,7	989,1	1244,4	1674,8	
6	1	6,	934,32	1559,2	1672,8	880,19	1673,7	1471,3	1473,1	1431,5	352,59	875,4	666,87	75,128	972,91	995,31	964,22	959,14	960,85	962,23	985,64	1332,	933,61	1306,	772,82	3,5337	961,8	1020,6	987,88	1278,4	1773,9	
7	1	7,	944,65	1568,5	1669,1	881,04	1670,	1478,1	1481,4	1436,	400,95	909,7	685,93	81,416	976,66	1013,7	971,86	965,98	967,64	970,35	991,26	1334,7	937,9	1314,2	760,14	4,3653	960,65	1019,1	986,45	1312,6	1866,8	
8	1	8,	951,24	1573,2	1665,	881,49	1665,8	1482,9	1487,9	1439,	434,7	935,31	701,56	87,272	978,61	1034,1	976,1	969,48	970,93	975,35	993,53	1335,3	939,77	1318,1	748,25	5,1463	959,5	1017,7	985,04	1345,5	1951,2	
9	1	9,	955,48	1574,9	1660,7	881,66	1661,6	1486,5	1493,1	1441,1	455,65	954,53	714,81	92,767	979,55	1055,7	978,45	971,11	972,17	978,61	993,95	1334,5	940,24	1319,5	737,64	5,8762	958,41	1016,3	983,71	1376,5	2026,1	
10	1	10,	958,17	1574,8	1656,3	881,66	1657,3	1489,3	1497,5	1442,5	465,67	968,84	726,32	97,954	979,9	1077,6	979,79	971,71	972,21	980,9	993,35	1332,9	939,88	1319,5	728,35	6,5605	957,4	1015,1	982,46	1405,1	2091,4	
11	1	11,	959,83	1573,5	1651,9	881,55	1653,1	1491,4	1501,2	1443,5	466,5	979,25	736,47	102,87	979,88	1098,6	980,68	971,77	971,55	982,65	992,25	1330,7	939,02	1318,6	720,3	7,2059	956,49	1013,9	981,31	1431,4	2147,6	
12	1	12,	960,75	1571,3	1647,5	881,38	1648,9	1493,1	1504,5	1444,3	459,69	986,47	745,56	107,56	979,62	1118,	981,42	971,57	970,48	984,08	990,92	1328,2	937,86	1317,	713,38	7,8196	955,68	1012,8	980,28	1455,4	2195,5	
13	1	13,	961,16	1568,6	1643,2	881,18	1644,7	1494,4	1507,4	1444,8	446,61	991,07	753,77	112,03	979,19	1135,3	982,21	971,26	969,16	985,32	989,52	1325,5	936,54	1315,1	707,44	8,4076	954,97	1011,7	979,37	1477,2	2235,8	
14	1	14,	961,19	1565,5	1638,9	880,97	1640,6	1495,4	1510,	1445,1	428,48	993,48	761,26	116,33	978,63	1150,3	983,14	970,92	967,71	986,44	988,15	1322,6	935,11	1313,	702,39	8,9749	954,35	1010,8	978,61	1497,	2269,5	
15	1	15,	960,94	1562,1	1634,6	880,76	1636,6	1496,2	1512,4	1445,3	406,42	994,07	768,12	120,45	977,99	1162,9	984,27	970,59	966,17	987,46	986,85	1319,7	933,64	1310,6	698,12	9,5252	953,83	1009,9	978,	1515,	2297,6	
16	1	16,	960,49	1558,4	1630,4	880,56	1632,6	1496,9	1514,6	1445,4	381,51	993,13	774,46	124,42	977,28	1173,3	985,59	970,28	964,58	988,4	985,64	1316,6	932,15	1308,1	694,59	10,061	953,4	1009,1	977,55	1531,3	2320,6	
17	1	17,	959,89	1554,7	1626,2	880,39	1628,6	1497,4	1516,6	1445,4	354,83	990,91	780,34	128,26	976,51	1181,5	987,07	970,	962,97	989,27	984,54	1313,5	930,66	1305,6	691,72	10,585	953,05	1008,4	977,29	1546,1	2339,4	
18	1	18,	959,17	1550,8	1622,1	880,25	1624,7	1497,8	1518,4	1445,4	327,58	987,63	785,81	131,96	975,7	1187,7	988,68	969,75	961,34	990,07	983,54	1310,4	929,18	1303,	689,49	11,096	952,79	1007,8	977,21	1559,5	2354,5	
19	1	19,	958,37	1546,9	1618,	880,13	1620,8	1498,1	1520,2	1445,3	301,17	983,45	790,92	135,56	974,86	1192,2	990,36	969,53	959,71	990,79	982,62	1307,2	927,73	1300,3	687,87	11,596	952,61	1007,2	977,33	1571,8	2366,5	
20	1	20,	957,49	1542,9	1614,	880,04	1616,9	1498,3	1521,8	1445,2	277,3	978,54	795,72	139,04	973,98	1195,1	992,05	969,31	958,07	991,43	981,79	1304,1	926,3	1297,6	686,84	12,085	952,5	1006,7	977,64	1582,9	2375,8	
21	1	21,	956,57	1538,9	1610,	879,98	1613,1	1498,5	1523,3	1445,	258,05	973,03	800,22	142,41	973,07	1196,6	993,71	969,11	956,44	992,	981,03	1301,	924,89	1294,9	686,39	12,562	952,47	1006,3	978,14	1593,	2382,8	
22	1	22,	955,62	1534,9	1606,1	879,95	1609,4	1498,7	1524,8	1444,8	245,77	967,04	804,47	145,7	972,14	1196,8	995,28	968,91	954,8	992,49	980,33	1297,9	923,52	1292,2	686,51	13,026	952,5	1005,9	978,83	1602,2	2387,8	
23	1	23,	954,63	1530,9	1602,2	879,95	1605,6	1498,8	1526,2	1444,6	242,58	960,66	808,49	148,89	971,18	1196,	996,7	968,71	953,16	992,9	979,68	1294,8	922,17	1289,4	687,2	13,478	952,6	1005,6	979,69	1610,6	2391,1	
24	1	24,	953,63	1526,9	1598,4	879,98	1601,9	1498,9	1527,5	1444,4	249,72	953,99	812,29	151,99	970,21	1194,2	997,94	968,49	951,53	993,24	979,07	1291,7	920,85	1286,7	688,46	13,917	952,76	1005,3	980,7	1618,3	2392,9	
25	1	25,	952,62	1522,9	1594,6	880,03	1598,3	1499,	1528,7	1444,2	267,08	947,09	815,89	155,02	969,22	1191,6	998,97	968,27	949,9	993,51	978,48	1288,6	919,55	1284,	690,28	14,342	952,98	1005,	981,87	1625,3	2393,6	
26	1	26,	951,59	1518,9	1590,8	880,11	1594,6	1499,	1529,9	1444,	293,36	940,04	819,32	157,97	968,21	1188,3	999,74	968,03	948,27	993,7	977,9	1285,6	918,28	1281,2	692,65	14,753	953,24	1004,8	983,15	1631,7	2393,2	
27	1	27,	950,56	1515,	1587,1	880,21	1591,	1499,1	1531,1	1443,8	326,83	932,89	822,57	160,84	967,18	1184,4	1000,3	967,78	946,65	993,82	977,34	1282,6	917,03	1278,5	695,57	15,15	953,56	1004,7	984,55	1637,5	2391,9	
28	1	28,	949,53	1511,1	1583,4	880,33	1587,4	1499,1	1532,2	1443,6	365,8	925,68	825,67	163,65	966,14	1180,	1000,5	967,5	945,02	993,88	976,78	1279,6	915,8	1275,8	699,04	15,533	953,92	1004,6	986,04	1642,9	2389,9	
29	1	29,	948,49	1507,2	1579,8	880,47	1583,9	1499,1	1533,3	1443,3	408,92	918,47	828,63	166,38	965,09	1175,	1000,4	967,2	943,4	993,88	976,21	1276,6	914,59	1273,1	703,04	15,901	954,32	1004,5	987,59	1647,8	2387,3	
30	1	30,	947,46	1503,3	1576,2	880,62	1580,4	1499,1	1534,3	1443,1	455,15	911,29	831,45	169,06	964,02	1169,7	1000,	966,88	941,79	993,81	975,63	1273,7	913,4	1270,4	707,57	16,254	954,76	1004,4	989,19	1652,3	2384,1	
31	1	31,	946,43	1499,4	1572,6	880,8	1576,9	1499,2	1535,3	1442,9	503,74	904,16	834,14	171,67	962,93	1164,1	999,32	966,54	940,17	993,68	975,03	1270,8	912,23	1267,7	712,62	16,593	955,23	1004,4	990,83	1656,4	2380,6	
