	Steps	Time [s]	[A] Probe1_Carrier_center [°C]	[B] Probe2_Carrier_corner1 [°C]	[C] Probe3_GuideRail_top [°C]	[D] Probe4_GuideRail_middle [°C]	[E] Probe5_GuideRail_bottom [°C]	[F] Probe6_MotorBase_front [°C]	[G] Probe7_MotorBase_side [°C]	[H] Probe8_MotorBase_corner [°C]	[I] Probe11_Structure_front_1 [°C]	[J] Probe12_Structure_front_2 [°C]	[K] Probe13_Structure_front_3 [°C]	[L] Probe14_Structure_front_4 [°C]	[M] Probe15_Structure_lateral_1 [°C]	[N] Probe16_Structure_lateral_2 [°C]	[O] Probe18_Structure_lateral_4 [°C]	[P] Probe19_Structure_lateral_5 [°C]	[Q] Probe20_Structure_top_1 [°C]	[R] Probe21_Structure_top_2 [°C]	[S] Probe22_Structure_top_3 [°C]	[T] Probe23_Structure_top_4 [°C]	[U] Probe24_Structure_back_1 [°C]	[V] Probe25_Structure_back_2 [°C]	[W] Probe26_Structure_back_3 [°C]	[X] Probe27_Structure_back_4 [°C]	[Y] Probe28_Structure_back_5 [°C]	[Z] Probe29_Structure_back_6 [°C]	[AA] Probe9_Temperature_BearingTop [°C]	[AB] Probe10_Temperature_BearingBottom [°C]	[AC] Probe17_Temperature_Structure_lateral_3 [°C]	
1	1	1,	20,131	20,391	20,207	20,11	20,207	20,071	20,071	20,072	20,084	20,002	20,134	20,135	20,136	20,135	20,135	20,13	20,268	20,134	20,26	20,085	20,	20,067	20,077	20,072	20,082	20,103	20,007	20,026	20,134	
2	1	2,	20,211	20,624	20,316	20,169	20,316	20,109	20,11	20,112	20,143	20,005	20,211	20,204	20,214	20,214	20,215	20,208	20,421	20,212	20,41	20,125	20,	20,106	20,122	20,113	20,14	20,171	20,019	20,062	20,212	
3	1	3,	20,269	20,79	20,4	20,214	20,4	20,136	20,138	20,142	20,186	20,009	20,265	20,248	20,271	20,271	20,275	20,266	20,532	20,268	20,517	20,161	20,	20,14	20,16	20,149	20,196	20,226	20,036	20,102	20,27	
4	1	4,	20,315	20,922	20,474	20,254	20,474	20,158	20,162	20,168	20,221	20,014	20,308	20,278	20,317	20,319	20,326	20,314	20,625	20,314	20,603	20,196	20,	20,173	20,196	20,184	20,251	20,274	20,058	20,144	20,316	
5	1	5,	20,354	21,036	20,542	20,291	20,542	20,178	20,185	20,192	20,251	20,021	20,343	20,296	20,358	20,362	20,373	20,356	20,706	20,353	20,678	20,232	20,	20,205	20,231	20,217	20,306	20,317	20,082	20,189	20,357	
6	1	6,	20,389	21,137	20,606	20,326	20,607	20,196	20,206	20,215	20,277	20,028	20,374	20,305	20,395	20,402	20,417	20,396	20,782	20,389	20,745	20,267	20,	20,238	20,266	20,251	20,361	20,356	20,109	20,235	20,395	
7	1	7,	20,422	21,229	20,668	20,361	20,669	20,212	20,226	20,239	20,301	20,035	20,403	20,308	20,429	20,442	20,461	20,434	20,852	20,423	20,808	20,302	20,	20,27	20,3	20,284	20,415	20,39	20,138	20,283	20,432	
8	1	8,	20,452	21,314	20,728	20,394	20,73	20,228	20,246	20,262	20,323	20,043	20,428	20,306	20,461	20,48	20,504	20,472	20,919	20,455	20,868	20,336	20,001	20,302	20,334	20,316	20,469	20,422	20,168	20,331	20,467	
9	1	9,	20,481	21,394	20,786	20,427	20,788	20,242	20,267	20,286	20,344	20,052	20,452	20,3	20,491	20,519	20,547	20,509	20,983	20,486	20,925	20,369	20,001	20,334	20,368	20,348	20,522	20,451	20,2	20,379	20,501	
10	1	10,	20,508	21,47	20,843	20,46	20,845	20,256	20,287	20,31	20,364	20,06	20,474	20,293	20,519	20,558	20,589	20,547	21,045	20,515	20,98	20,401	20,001	20,365	20,401	20,38	20,574	20,478	20,233	20,428	20,535	
