	Steps	Time [s]	[A] Probe1_Carrier_center [°C]	[B] Probe2_Carrier_corner1 [°C]	[C] Probe3_GuideRail_top [°C]	[D] Probe4_GuideRail_middle [°C]	[E] Probe5_GuideRail_bottom [°C]	[F] Probe6_MotorBase_front [°C]	[G] Probe7_MotorBase_side [°C]	[H] Probe8_MotorBase_corner [°C]	[I] Probe11_Structure_front_1 [°C]	[J] Probe12_Structure_front_2 [°C]	[K] Probe13_Structure_front_3 [°C]	[L] Probe14_Structure_front_4 [°C]	[M] Probe15_Structure_lateral_1 [°C]	[N] Probe16_Structure_lateral_2 [°C]	[O] Probe18_Structure_lateral_4 [°C]	[P] Probe19_Structure_lateral_5 [°C]	[Q] Probe20_Structure_top_1 [°C]	[R] Probe21_Structure_top_2 [°C]	[S] Probe22_Structure_top_3 [°C]	[T] Probe23_Structure_top_4 [°C]	[U] Probe24_Structure_back_1 [°C]	[V] Probe25_Structure_back_2 [°C]	[W] Probe26_Structure_back_3 [°C]	[X] Probe27_Structure_back_4 [°C]	[Y] Probe28_Structure_back_5 [°C]	[Z] Probe29_Structure_back_6 [°C]	[AA] Probe9_Temperature_BearingTop [°C]	[AB] Probe10_Temperature_BearingBottom [°C]	[AC] Probe17_Temperature_Structure_lateral_3 [°C]	
1	1	1,	20,	20,	20,	20,042	20,	20,071	20,07	20,07	20,	20,	20,	20,017	20,002	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,026	20,002	20,003	20,	
2	1	2,	20,	20,	20,	20,064	20,	20,109	20,108	20,108	20,	20,	20,001	20,093	20,003	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,044	20,003	20,005	20,	
3	1	3,	20,	20,	20,	20,081	20,	20,136	20,136	20,136	20,	20,	20,001	20,18	20,008	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,104	20,005	20,007	20,	
4	1	4,	20,	20,	20,	20,096	20,	20,158	20,158	20,158	20,	20,	20,001	20,298	20,014	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,001	20,	20,184	20,006	20,008	20,	
5	1	5,	20,	20,	20,	20,11	20,	20,178	20,178	20,178	20,	20,	20,001	20,458	20,024	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,001	20,	20,291	20,007	20,01	20,	
6	1	6,	20,	20,	20,	20,123	20,001	20,196	20,196	20,195	20,	20,	20,001	20,656	20,04	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,002	20,	20,425	20,008	20,011	20,	
7	1	7,	20,	20,	20,	20,136	20,001	20,212	20,212	20,212	20,	20,	20,001	20,885	20,061	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,004	20,	20,581	20,009	20,011	20,	
8	1	8,	20,	20,	20,	20,148	20,001	20,228	20,227	20,227	20,	20,	20,002	21,133	20,091	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,007	20,	20,752	20,009	20,012	20,	
9	1	9,	20,	20,	20,	20,16	20,002	20,242	20,241	20,241	20,	20,	20,002	21,393	20,129	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,011	20,	20,934	20,01	20,013	20,	
10	1	10,	20,	20,	20,	20,171	20,003	20,256	20,255	20,254	20,	20,	20,002	21,657	20,176	20,	20,	20,	20,	20,	20,	20,001	20,	20,	20,	20,016	20,	21,122	20,011	20,014	20,	
11	1	11,	20,	20,	20,	20,181	20,004	20,27	20,267	20,267	20,	20,	20,003	21,921	20,233	20,	20,	20,	20,	20,	20,	20,001	20,	20,	20,	20,023	20,	21,312	20,011	20,014	20,	
12	1	12,	20,	20,	20,	20,192	20,005	20,283	20,28	20,279	20,	20,	20,003	22,182	20,299	20,	20,	20,	20,	20,	20,	20,001	20,	20,	20,	20,032	20,	21,504	20,012	20,015	20,	
13	1	13,	20,	20,	20,	20,202	20,007	20,296	20,291	20,291	20,	20,	20,003	22,437	20,375	20,	20,	20,	20,	20,	20,	20,001	20,	20,	20,	20,043	20,	21,694	20,012	20,016	20,	
14	1	14,	20,	20,	20,	20,212	20,009	20,309	20,303	20,302	20,	20,	20,003	22,686	20,46	20,	20,	20,	20,	20,	20,	20,002	20,	20,	20,	20,056	20,	21,882	20,013	20,016	20,	
15	1	15,	20,	20,	20,001	20,221	20,011	20,321	20,314	20,313	20,	20,	20,003	22,927	20,552	20,	20,	20,	20,	20,	20,	20,002	20,	20,	20,	20,072	20,	22,067	20,013	20,017	20,	
16	1	16,	20,	20,	20,001	20,231	20,014	20,333	20,324	20,324	20,	20,	20,004	23,16	20,652	20,	20,	20,	20,	20,	20,	20,003	20,	20,	20,	20,09	20,	22,247	20,013	20,017	20,	
17	1	17,	20,	20,	20,001	20,24	20,018	20,346	20,335	20,334	20,	20,	20,004	23,386	20,758	20,	20,	20,	20,	20,	20,	20,004	20,	20,	20,	20,11	20,	22,424	20,014	20,018	20,	
18	1	18,	20,	20,	20,001	20,249	20,022	20,358	20,345	20,344	20,	20,	20,004	23,603	20,87	20,	20,	20,	20,	20,	20,	20,004	20,	20,	20,	20,133	20,	22,597	20,014	20,018	20,	
19	1	19,	20,	20,	20,001	20,257	20,026	20,37	20,355	20,354	20,	20,	20,004	23,813	20,987	20,	20,	20,	20,	20,	20,	20,005	20,	20,	20,	20,158	20,	22,765	20,015	20,019	20,	
20	1	20,	20,	20,	20,001	20,266	20,031	20,382	20,365	20,364	20,	20,	20,004	24,015	21,108	20,	20,	20,	20,	20,	20,	20,006	20,	20,	20,	20,185	20,	22,928	20,015	20,019	20,	
21	1	21,	20,	20,	20,002	20,274	20,037	20,394	20,374	20,374	20,	20,	20,004	24,211	21,232	20,	20,	20,	20,	20,	20,	20,007	20,	20,	20,	20,215	20,	23,088	20,015	20,02	20,	
22	1	22,	20,	20,	20,002	20,282	20,043	20,406	20,384	20,383	20,	20,	20,004	24,399	21,359	20,	20,	20,	20,	20,	20,	20,008	20,	20,	20,	20,246	20,	23,242	20,016	20,02	20,	
23	1	23,	20,	20,	20,002	20,289	20,049	20,417	20,393	20,392	20,	20,	20,004	24,581	21,489	20,	20,	20,	20,	20,	20,	20,009	20,	20,	20,	20,28	20,	23,393	20,016	20,021	20,	
24	1	24,	20,	20,	20,002	20,297	20,057	20,429	20,402	20,401	20,	20,	20,005	24,756	21,62	20,	20,	20,	20,	20,	20,	20,01	20,	20,	20,	20,315	20,	23,54	20,016	20,021	20,	
25	1	25,	20,	20,	20,002	20,304	20,064	20,441	20,411	20,41	20,	20,	20,005	24,926	21,753	20,	20,	20,	20,	20,	20,	20,011	20,	20,	20,	20,352	20,	23,682	20,017	20,022	20,	
26	1	26,	20,	20,	20,003	20,312	20,073	20,453	20,42	20,419	20,	20,	20,005	25,089	21,887	20,	20,	20,	20,	20,	20,	20,012	20,	20,	20,	20,391	20,	23,82	20,017	20,022	20,	
27	1	27,	20,	20,	20,003	20,319	20,082	20,465	20,428	20,428	20,	20,	20,005	25,248	22,021	20,	20,	20,	20,	20,	20,	20,014	20,	20,	20,	20,431	20,	23,955	20,017	20,022	20,	
28	1	28,	20,	20,	20,003	20,326	20,091	20,476	20,437	20,436	20,	20,	20,005	25,401	22,156	20,	20,	20,	20,	20,	20,	20,015	20,	20,	20,	20,472	20,	24,086	20,017	20,023	20,	
29	1	29,	20,	20,	20,004	20,332	20,101	20,488	20,445	20,445	20,	20,	20,005	25,549	22,291	20,	20,	20,	20,	20,	20,	20,016	20,	20,	20,	20,515	20,	24,213	20,018	20,023	20,	
