	Steps	Time [s]	[A] Probe1_Carrier_center [°C]	[B] Probe2_Carrier_corner1 [°C]	[C] Probe3_GuideRail_top [°C]	[D] Probe4_GuideRail_middle [°C]	[E] Probe5_GuideRail_bottom [°C]	[F] Probe6_MotorBase_front [°C]	[G] Probe7_MotorBase_side [°C]	[H] Probe8_MotorBase_corner [°C]	[I] Probe11_Structure_front_1 [°C]	[J] Probe12_Structure_front_2 [°C]	[K] Probe13_Structure_front_3 [°C]	[L] Probe14_Structure_front_4 [°C]	[M] Probe15_Structure_lateral_1 [°C]	[N] Probe16_Structure_lateral_2 [°C]	[O] Probe18_Structure_lateral_4 [°C]	[P] Probe19_Structure_lateral_5 [°C]	[Q] Probe20_Structure_top_1 [°C]	[R] Probe21_Structure_top_2 [°C]	[S] Probe22_Structure_top_3 [°C]	[T] Probe23_Structure_top_4 [°C]	[U] Probe24_Structure_back_1 [°C]	[V] Probe25_Structure_back_2 [°C]	[W] Probe26_Structure_back_3 [°C]	[X] Probe27_Structure_back_4 [°C]	[Y] Probe28_Structure_back_5 [°C]	[Z] Probe29_Structure_back_6 [°C]	[AA] Probe9_Temperature_BearingTop [°C]	[AB] Probe10_Temperature_BearingBottom [°C]	[AC] Probe17_Temperature_Structure_lateral_3 [°C]	
1	1	1,	40,	40,	40,	40,125	40,	40,213	40,211	40,21	40,	40,	40,	39,998	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	39,997	40,005	40,009	40,	
2	1	2,	40,	40,	40,	40,192	40,	40,326	40,325	40,325	40,	40,	40,	39,99	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	39,995	40,01	40,016	40,	
3	1	3,	40,	40,	40,	40,244	40,	40,408	40,407	40,407	40,	40,	40,	39,98	39,999	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	39,988	40,014	40,021	40,	
4	1	4,	40,	40,	40,	40,29	40,001	40,475	40,475	40,474	40,	40,	40,	39,967	39,998	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	39,979	40,018	40,025	40,	
5	1	5,	40,	40,	40,	40,332	40,001	40,534	40,534	40,533	40,	40,	40,	39,949	39,997	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	39,967	40,021	40,029	40,	
6	1	6,	40,	40,	40,	40,372	40,002	40,587	40,587	40,586	40,	40,	40,	39,926	39,996	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	39,952	40,024	40,032	40,	
7	1	7,	40,	40,	40,	40,41	40,003	40,637	40,635	40,635	40,	40,	40,	39,9	39,993	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	39,935	40,026	40,034	40,	
8	1	8,	40,	40,	40,	40,446	40,005	40,683	40,681	40,68	40,	40,	40,	39,872	39,99	40,	40,	40,	40,	40,	40,	40,001	40,	40,	40,	39,999	40,	39,915	40,028	40,037	40,	
9	1	9,	40,	40,	40,	40,481	40,006	40,727	40,723	40,723	40,	40,	40,	39,843	39,985	40,	40,	40,	40,	40,	40,	40,001	40,	40,	40,	39,999	40,	39,895	40,03	40,039	40,	
10	1	10,	40,	40,	40,	40,515	40,008	40,769	40,764	40,763	40,	40,	40,	39,813	39,98	40,	40,	40,	40,	40,	40,	40,002	40,	40,	40,	39,998	40,	39,873	40,032	40,041	40,	
