	Steps	Time [s]	[A] Probe1_Heat Flux_Carrier_center  (Total) [W/m²]	[B] Probe2_Heat Flux_Carrier_corner1  (Total) [W/m²]	[C] Probe3_Heat Flux_GuideRail_top  (Total) [W/m²]	[D] Probe4_Heat Flux_GuideRail_middle  (Total) [W/m²]	[E] Probe5_Heat Flux_GuideRail_bottom  (Total) [W/m²]	[F] Probe6_Heat Flux_MotorBase_front  (Total) [W/m²]	[G] Probe7_Heat Flux_MotorBase_side  (Total) [W/m²]	[H] Probe8_Heat Flux_MotorBase_corner  (Total) [W/m²]	[I] Probe9_Heat Flux_BearingTop  (Total) [W/m²]	[J] Probe10_Heat Flux_BearingBottom  (Total) [W/m²]	[K] Probe11_Heat Flux_Structure_front_1  (Total) [W/m²]	[L] Probe12_Heat Flux_Structure_front_2  (Total) [W/m²]	[M] Probe13_Heat Flux_Structure_front_3  (Total) [W/m²]	[N] Probe14_Heat Flux_Structure_front_4  (Total) [W/m²]	[O] Probe15_Heat Flux_Structure_lateral_1  (Total) [W/m²]	[P] Probe16_Heat Flux_Structure_lateral_2  (Total) [W/m²]	[Q] Probe17_Heat Flux_Structure_lateral_3  (Total) [W/m²]	[R] Probe18_Heat Flux_Structure_lateral_4  (Total) [W/m²]	[S] Probe19_Heat Flux_Structure_lateral_5  (Total) [W/m²]	[T] Probe20_Heat Flux_Structure_top_1  (Total) [W/m²]	[U] Probe21_Heat Flux_Structure_top_2  (Total) [W/m²]	[V] Probe22_Heat Flux_Structure_top_3  (Total) [W/m²]	[W] Probe23_Heat Flux_Structure_top_4  (Total) [W/m²]	[X] Probe24_Heat Flux_Structure_back_1  (Total) [W/m²]	[Y] Probe25_Heat Flux_Structure_back_2  (Total) [W/m²]	[Z] Probe26_Heat Flux_Structure_back_3  (Total) [W/m²]	[AA] Probe27_Heat Flux_Structure_back_4  (Total) [W/m²]	[AB] Probe28_Heat Flux_Structure_back_5  (Total) [W/m²]	[AC] Probe29_Heat Flux_Structure_back_6  (Total) [W/m²]	
1	1	1,	107,09	194,64	281,01	261,48	283,23	352,46	353,26	349,44	18,911	41,503	64,252	4,5456	129,4	128,1	118,46	118,13	118,38	118,48	121,55	183,45	118,54	162,1	110,6	5,2555e-002	163,94	173,56	168,78	206,87	222,83	
2	1	2,	149,92	265,75	326,85	298,72	328,07	441,96	441,35	436,75	16,311	84,162	95,74	7,9766	170,66	173,82	159,9	159,64	159,77	159,9	164,59	239,53	159,86	220,45	146,64	9,141e-002	187,68	199,33	193,21	232,19	280,96	
3	1	3,	169,71	296,48	337,71	306,73	338,45	469,95	469,49	463,83	4,4315	113,96	112,74	10,391	185,91	204,18	178,02	177,6	177,83	177,9	183,29	259,51	176,24	245,45	157,81	0,20409	192,62	204,65	198,14	238,97	337,77	
4	1	4,	180,02	311,7	341,04	308,95	341,5	481,27	481,16	474,35	16,135	133,59	122,99	12,216	192,45	233,37	187,36	186,74	187,04	187,12	192,54	267,92	183,68	257,85	159,89	0,36227	193,81	205,89	199,25	245,05	393,62	
5	1	5,	185,92	320,15	342,21	309,62	342,53	487,01	487,26	479,34	31,397	147,08	129,89	13,767	195,63	272,25	192,75	191,79	192,12	192,32	197,44	272,06	187,44	264,63	158,71	0,53769	194,1	206,18	199,47	252,04	460,19	
6	1	6,	189,55	325,27	342,63	309,8	342,88	490,43	491,05	482,1	44,208	156,82	134,98	15,165	197,34	323,43	196,27	194,68	195,02	195,44	200,1	274,37	189,48	268,56	156,54	0,7137	194,18	206,23	199,48	259,56	536,12	
7	1	7,	191,9	328,58	342,76	309,8	342,98	492,7	493,7	483,8	54,143	164,13	138,98	16,456	198,34	383,23	199,06	196,38	196,69	197,44	201,55	275,77	190,62	270,95	154,21	0,88247	194,2	206,23	199,43	267,15	615,23	
8	1	8,	193,48	330,82	342,76	309,72	342,97	494,32	495,71	484,92	61,315	169,71	142,29	17,663	198,97	446,33	201,92	197,4	197,64	198,81	202,31	276,66	191,25	272,44	152,04	1,0413	194,22	206,23	199,39	274,52	691,94	
9	1	9,	194,58	332,39	342,69	309,61	342,92	495,52	497,31	485,7	66,015	174,02	145,12	18,8	199,38	508,45	205,49	198,04	198,17	199,83	202,69	277,26	191,59	273,4	150,13	1,1901	194,25	206,24	199,37	281,51	762,76	
10	1	10,	195,35	333,51	342,6	309,48	342,84	496,44	498,63	486,25	68,582	177,33	147,58	19,878	199,65	566,91	210,3	198,48	198,46	200,65	202,87	277,66	191,75	274,04	148,49	1,3299	194,29	206,26	199,43	288,04	826,01	
11	1	11,	195,9	334,33	342,48	309,35	342,76	497,15	499,75	486,64	69,352	179,84	149,77	20,904	199,85	620,31	216,76	198,82	198,6	201,37	202,95	277,92	191,81	274,47	147,11	1,4621	194,36	206,29	199,61	294,11	881,26	
12	1	12,	196,3	334,92	342,35	309,22	342,66	497,71	500,72	486,92	68,64	181,69	151,73	21,884	199,98	668,11	225,13	199,1	198,65	202,02	202,99	278,1	191,8	274,76	145,96	1,588	194,44	206,34	200,01	299,72	928,77	
13	1	13,	196,59	335,36	342,21	309,09	342,57	498,15	501,56	487,11	66,741	183,	153,52	22,825	200,08	710,31	235,48	199,36	198,66	202,64	203,02	278,2	191,76	274,96	145,03	1,7089	194,54	206,41	200,74	304,9	969,16	
14	1	14,	196,8	335,67	342,06	308,97	342,47	498,49	502,31	487,25	63,937	183,85	155,16	23,73	200,14	747,19	247,73	199,63	198,63	203,24	203,07	278,26	191,69	275,1	144,3	1,8258	194,66	206,49	201,93	309,68	1003,2	
15	1	15,	196,95	335,9	341,91	308,87	342,37	498,76	502,99	487,34	60,51	184,32	156,67	24,604	200,18	779,17	261,67	199,89	198,59	203,82	203,13	278,28	191,6	275,19	143,75	1,9395	194,8	206,59	203,7	314,09	1031,6	
16	1	16,	197,06	336,06	341,76	308,77	342,28	498,97	503,6	487,39	56,763	184,48	158,07	25,449	200,2	806,74	277,01	200,17	198,54	204,38	203,21	278,27	191,51	275,24	143,38	2,0504	194,96	206,7	206,18	318,16	1055,2	
17	1	17,	197,13	336,16	341,61	308,68	342,18	499,14	504,16	487,41	53,04	184,37	159,38	26,267	200,2	830,36	293,43	200,45	198,48	204,93	203,32	278,24	191,43	275,27	143,18	2,1589	195,13	206,83	209,49	321,93	1074,5	
18	1	18,	197,17	336,23	341,45	308,61	342,08	499,28	504,68	487,41	49,746	184,03	160,6	27,062	200,19	850,51	310,6	200,74	198,41	205,47	203,46	278,19	191,34	275,28	143,15	2,2652	195,32	206,96	213,68	325,42	1090,2	
19	1	19,	197,2	336,25	341,3	308,55	341,97	499,38	505,16	487,4	47,351	183,52	161,74	27,834	200,17	867,6	328,22	201,04	198,35	205,99	203,61	278,13	191,25	275,27	143,3	2,3693	195,53	207,12	218,81	328,66	1102,9	
20	1	20,	197,21	336,26	341,14	308,51	341,87	499,46	505,6	487,37	46,341	182,85	162,82	28,586	200,14	882,	346,04	201,34	198,28	206,5	203,79	278,06	191,17	275,25	143,62	2,4713	195,75	207,28	224,89	331,68	1112,8	
21	1	21,	197,21	336,23	340,98	308,47	341,77	499,53	506,02	487,33	47,108	182,06	163,84	29,319	200,11	894,07	363,84	201,64	198,21	206,99	203,99	277,98	191,1	275,21	144,13	2,571	195,98	207,45	231,87	334,5	1120,4	
22	1	22,	197,2	336,2	340,83	308,45	341,66	499,58	506,42	487,28	49,822	181,17	164,81	30,033	200,06	904,08	381,42	201,95	198,14	207,46	204,2	277,9	191,02	275,17	144,81	2,6684	196,23	207,64	239,72	337,13	1126,1	
23	1	23,	197,18	336,14	340,67	308,44	341,56	499,62	506,79	487,22	54,396	180,21	165,73	30,731	200,01	912,3	398,66	202,25	198,08	207,92	204,42	277,81	190,96	275,12	145,68	2,7634	196,49	207,83	248,35	339,59	1130,1	
24	1	24,	197,16	336,07	340,52	308,43	341,45	499,65	507,14	487,16	60,57	179,19	166,61	31,413	199,95	918,95	415,43	202,56	198,01	208,36	204,66	277,72	190,9	275,06	146,74	2,8559	196,76	208,04	257,68	341,9	1132,5	
25	1	25,	197,13	336,	340,37	308,44	341,34	499,67	507,48	487,1	68,035	178,13	167,44	32,08	199,89	924,22	431,65	202,86	197,94	208,79	204,9	277,62	190,84	275,	147,99	2,9457	197,04	208,25	267,6	344,08	1133,7	
26	1	26,	197,1	335,91	340,21	308,46	341,22	499,69	507,81	487,04	76,511	177,04	168,23	32,732	199,82	928,29	447,26	203,16	197,87	209,2	205,14	277,52	190,79	274,93	149,43	3,0329	197,33	208,47	278,02	346,13	1133,9	
27	1	27,	197,07	335,82	340,06	308,49	341,11	499,71	508,12	486,97	85,775	175,93	169,	33,371	199,75	931,3	462,2	203,46	197,8	209,6	205,39	277,42	190,74	274,86	151,05	3,1174	197,63	208,7	288,85	348,06	1133,	
28	1	28,	197,04	335,72	339,91	308,52	341,	499,72	508,42	486,9	95,656	174,82	169,72	33,997	199,67	933,38	476,46	203,75	197,73	209,98	205,65	277,31	190,7	274,78	152,86	3,199	197,95	208,94	299,98	349,89	1131,3	
29	1	29,	197,01	335,61	339,76	308,56	340,88	499,73	508,7	486,83	106,03	173,72	170,42	34,61	199,59	934,64	490,	204,04	197,67	210,35	205,9	277,21	190,66	274,71	154,85	3,2778	198,26	209,18	311,33	351,62	1128,9	
30	1	30,	196,97	335,51	339,61	308,61	340,76	499,74	508,98	486,76	116,8	172,62	171,09	35,212	199,51	935,18	502,83	204,32	197,6	210,7	206,15	277,1	190,63	274,63	157,02	3,3539	198,59	209,43	322,84	353,27	1125,9	
31	1	31,	196,94	335,39	339,46	308,67	340,64	499,74	509,25	486,7	127,89	171,55	171,74	35,802	199,42	935,09	514,94	204,6	197,53	211,04	206,4	277,	190,59	274,55	159,35	3,4271	198,92	209,68	334,42	354,84	1122,3	
32	1	32,	196,9	335,28	339,32	308,73	340,52	499,74	509,51	486,63	139,25	170,5	172,36	36,381	199,33	934,43	526,33	204,87	197,46	211,37	206,65	276,89	190,56	274,47	161,85	3,4975	199,26	209,93	346,03	356,33	1118,3	
33	1	33,	196,87	335,16	339,17	308,8	340,4	499,75	509,76	486,56	150,83	169,48	172,96	36,95	199,23	933,27	537,02	205,14	197,39	211,69	206,89	276,78	190,54	274,38	164,51	3,5651	199,61	210,19	357,6	357,75	1113,8	
