	Steps	Time [s]	[A] Probe1_Heat Flux_Carrier_center  (Total) [W/m²]	[B] Probe2_Heat Flux_Carrier_corner1  (Total) [W/m²]	[C] Probe3_Heat Flux_GuideRail_top  (Total) [W/m²]	[D] Probe4_Heat Flux_GuideRail_middle  (Total) [W/m²]	[E] Probe5_Heat Flux_GuideRail_bottom  (Total) [W/m²]	[F] Probe6_Heat Flux_MotorBase_front  (Total) [W/m²]	[G] Probe7_Heat Flux_MotorBase_side  (Total) [W/m²]	[H] Probe8_Heat Flux_MotorBase_corner  (Total) [W/m²]	[I] Probe9_Heat Flux_BearingTop  (Total) [W/m²]	[J] Probe10_Heat Flux_BearingBottom  (Total) [W/m²]	[K] Probe11_Heat Flux_Structure_front_1  (Total) [W/m²]	[L] Probe12_Heat Flux_Structure_front_2  (Total) [W/m²]	[M] Probe13_Heat Flux_Structure_front_3  (Total) [W/m²]	[N] Probe14_Heat Flux_Structure_front_4  (Total) [W/m²]	[O] Probe15_Heat Flux_Structure_lateral_1  (Total) [W/m²]	[P] Probe16_Heat Flux_Structure_lateral_2  (Total) [W/m²]	[Q] Probe17_Heat Flux_Structure_lateral_3  (Total) [W/m²]	[R] Probe18_Heat Flux_Structure_lateral_4  (Total) [W/m²]	[S] Probe19_Heat Flux_Structure_lateral_5  (Total) [W/m²]	[T] Probe20_Heat Flux_Structure_top_1  (Total) [W/m²]	[U] Probe21_Heat Flux_Structure_top_2  (Total) [W/m²]	[V] Probe22_Heat Flux_Structure_top_3  (Total) [W/m²]	[W] Probe23_Heat Flux_Structure_top_4  (Total) [W/m²]	[X] Probe24_Heat Flux_Structure_back_1  (Total) [W/m²]	[Y] Probe25_Heat Flux_Structure_back_2  (Total) [W/m²]	[Z] Probe26_Heat Flux_Structure_back_3  (Total) [W/m²]	[AA] Probe27_Heat Flux_Structure_back_4  (Total) [W/m²]	[AB] Probe28_Heat Flux_Structure_back_5  (Total) [W/m²]	[AC] Probe29_Heat Flux_Structure_back_6  (Total) [W/m²]	
1	1	1,	532,64	959,89	1393,9	1052,9	1405,3	352,41	347,81	364,5	108,23	401,71	319,77	22,665	643,6	646,81	589,29	587,42	588,71	589,22	604,3	907,94	589,51	802,18	550,51	0,2608	817,47	865,15	841,54	1030,9	1030,3	
2	1	2,	743,95	1301,4	1614,9	1240,8	1619,9	441,96	439,5	461,56	240,65	697,25	475,61	39,729	846,39	852,49	793,85	792,	792,73	793,29	816,32	1180,	793,17	1086,2	728,55	0,45307	934,56	992,08	961,91	1154,6	1287,4	
3	1	3,	840,5	1442,7	1662,9	1288,	1665,2	470,04	470,32	496,83	367,65	868,77	559,15	51,69	920,49	924,91	882,25	879,37	880,52	880,73	907,23	1273,	872,62	1204,7	782,73	1,0123	957,88	1017,	985,16	1185,6	1388,8	
4	1	4,	889,99	1508,4	1674,2	1303,6	1675,6	481,38	482,82	513,42	476,33	971,97	609,13	60,682	951,4	960,35	927,	922,98	924,44	924,56	951,34	1309,3	907,83	1261,3	791,69	1,7964	962,51	1021,8	989,37	1212,8	1463,8	
5	1	5,	917,74	1541,6	1675,2	1309,7	1676,2	487,1	488,62	522,65	563,39	1038,7	642,49	68,294	965,76	987,56	951,55	946,38	948,02	948,52	974,	1325,	924,95	1290,5	784,53	2,6644	962,7	1021,7	989,2	1244,4	1531,9	
6	1	6,	934,32	1559,2	1672,8	1312,3	1673,6	490,5	491,54	528,34	629,57	1084,6	666,87	75,128	972,95	1015,9	965,45	959,14	960,85	962,23	985,64	1332,	933,61	1306,	772,37	3,5337	961,8	1020,6	988,03	1278,4	1600,	
7	1	7,	944,65	1568,5	1669,2	1313,1	1669,8	492,76	493,07	532,08	677,07	1117,7	685,93	81,416	976,68	1047,9	973,39	965,98	967,64	970,35	991,26	1334,7	937,9	1314,2	759,4	4,3653	960,65	1019,1	986,68	1312,6	1670,5	
8	1	8,	951,24	1573,2	1665,1	1313,1	1665,6	494,37	493,84	534,66	708,5	1142,2	701,56	87,272	978,59	1083,3	977,99	969,48	970,93	975,35	993,53	1335,3	939,77	1318,1	747,13	5,1462	959,5	1017,7	985,35	1345,5	1742,9	
9	1	9,	955,48	1574,9	1660,8	1312,6	1661,2	495,58	494,18	536,51	726,34	1160,7	714,82	92,767	979,48	1120,7	980,8	971,11	972,17	978,61	993,95	1334,5	940,24	1319,5	736,02	5,8762	958,41	1016,3	984,13	1376,5	1815,7	
10	1	10,	958,18	1574,8	1656,4	1311,7	1656,8	496,51	494,25	537,88	732,81	1174,5	726,32	97,954	979,77	1158,4	982,81	971,71	972,21	980,9	993,35	1332,9	939,88	1319,5	726,14	6,5604	957,4	1015,1	983,03	1405,1	1887,1	
11	1	11,	959,83	1573,5	1652,	1310,7	1652,3	497,23	494,14	538,93	729,8	1184,7	736,47	102,87	979,68	1195,4	984,68	971,77	971,55	982,65	992,25	1330,7	939,02	1318,6	717,4	7,2059	956,49	1013,9	982,09	1431,4	1955,9	
12	1	12,	960,75	1571,4	1647,6	1309,4	1647,9	497,79	493,93	539,76	718,93	1191,9	745,56	107,56	979,33	1230,7	986,86	971,57	970,48	984,08	990,92	1328,2	937,86	1317,	709,67	7,8195	955,68	1012,8	981,32	1455,4	2021,3	
13	1	13,	961,16	1568,6	1643,3	1308,1	1643,5	498,24	493,63	540,43	701,53	1196,7	753,77	112,03	978,82	1263,8	989,65	971,26	969,16	985,32	989,52	1325,5	936,54	1315,1	702,81	8,4075	954,97	1011,7	980,77	1477,2	2082,9	
14	1	14,	961,19	1565,5	1639,	1306,7	1639,1	498,59	493,28	540,98	678,73	1199,5	761,26	116,33	978,18	1294,5	993,25	970,92	967,71	986,44	988,15	1322,6	935,11	1313,	696,72	8,9748	954,35	1010,8	980,46	1497,	2140,6	
15	1	15,	960,95	1562,1	1634,7	1305,3	1634,7	498,88	492,9	541,46	651,51	1200,6	768,12	120,45	977,45	1322,8	997,8	970,59	966,17	987,46	986,85	1319,7	933,64	1310,6	691,27	9,5251	953,83	1009,9	980,45	1515,	2194,5	
16	1	16,	960,5	1558,4	1630,5	1303,9	1630,4	499,1	492,49	541,88	620,69	1200,3	774,46	124,42	976,64	1348,6	1003,3	970,28	964,58	988,4	985,64	1316,6	932,15	1308,1	686,39	10,061	953,4	1009,1	980,78	1531,3	2244,7	
17	1	17,	959,89	1554,7	1626,3	1302,4	1626,1	499,28	492,07	542,24	587,01	1198,7	780,33	128,26	975,77	1372,2	1009,9	970,	962,97	989,27	984,54	1313,5	930,66	1305,6	682,01	10,584	953,05	1008,4	981,48	1546,1	2291,5	
18	1	18,	959,17	1550,8	1622,1	1300,9	1621,9	499,42	491,63	542,58	551,16	1196,	785,8	131,96	974,86	1393,6	1017,5	969,76	961,34	990,07	983,54	1310,4	929,18	1303,	678,06	11,096	952,79	1007,8	982,61	1559,5	2335,2	
19	1	19,	958,37	1546,9	1618,	1299,5	1617,7	499,53	491,19	542,88	513,81	1192,5	790,92	135,56	973,9	1413,2	1026,	969,53	959,71	990,79	982,62	1307,2	927,73	1300,3	674,48	11,596	952,61	1007,2	984,2	1571,8	2376,	
20	1	20,	957,5	1542,9	1613,9	1298,	1613,5	499,62	490,75	543,16	475,62	1188,3	795,71	139,04	972,91	1431,1	1035,5	969,32	958,07	991,43	981,79	1304,1	926,3	1297,6	671,23	12,084	952,5	1006,7	986,27	1582,9	2414,1	
21	1	21,	956,58	1538,9	1609,9	1296,5	1609,4	499,69	490,3	543,41	437,35	1183,4	800,22	142,41	971,88	1447,4	1045,7	969,11	956,44	992,	981,03	1301,	924,89	1294,9	668,28	12,561	952,47	1006,3	988,85	1593,	2449,9	
22	1	22,	955,62	1534,9	1605,9	1295,	1605,4	499,75	489,86	543,65	399,87	1178,	804,47	145,7	970,83	1462,3	1056,7	968,91	954,8	992,49	980,33	1297,9	923,52	1292,2	665,59	13,026	952,5	1005,9	991,97	1602,2	2483,5	
23	1	23,	954,64	1530,9	1601,9	1293,6	1601,3	499,79	489,41	543,88	364,27	1172,2	808,48	148,89	969,75	1476,	1068,4	968,71	953,16	992,9	979,68	1294,8	922,17	1289,4	663,13	13,478	952,6	1005,6	995,63	1610,6	2515,1	
24	1	24,	953,64	1526,9	1598,	1292,1	1597,4	499,83	488,97	544,09	331,95	1166,	812,28	151,99	968,64	1488,7	1080,6	968,5	951,53	993,24	979,07	1291,7	920,85	1286,7	660,88	13,916	952,76	1005,3	999,83	1618,3	2545,	
25	1	25,	952,62	1522,9	1594,1	1290,7	1593,4	499,86	488,53	544,29	304,66	1159,5	815,89	155,02	967,51	1500,3	1093,4	968,27	949,9	993,51	978,48	1288,6	919,55	1284,	658,82	14,341	952,98	1005,	1004,6	1625,3	2573,3	
26	1	26,	951,6	1518,9	1590,2	1289,2	1589,5	499,89	488,09	544,47	284,51	1152,8	819,31	157,97	966,36	1511,1	1106,5	968,04	948,27	993,7	977,9	1285,6	918,28	1281,2	656,93	14,753	953,24	1004,8	1009,9	1631,7	2600,1	
