	Steps	Time [s]	[A] Probe1_Heat Flux_Carrier_center  (Total) [W/m²]	[B] Probe2_Heat Flux_Carrier_corner1  (Total) [W/m²]	[C] Probe3_Heat Flux_GuideRail_top  (Total) [W/m²]	[D] Probe4_Heat Flux_GuideRail_middle  (Total) [W/m²]	[E] Probe5_Heat Flux_GuideRail_bottom  (Total) [W/m²]	[F] Probe6_Heat Flux_MotorBase_front  (Total) [W/m²]	[G] Probe7_Heat Flux_MotorBase_side  (Total) [W/m²]	[H] Probe8_Heat Flux_MotorBase_corner  (Total) [W/m²]	[I] Probe9_Heat Flux_BearingTop  (Total) [W/m²]	[J] Probe10_Heat Flux_BearingBottom  (Total) [W/m²]	[K] Probe11_Heat Flux_Structure_front_1  (Total) [W/m²]	[L] Probe12_Heat Flux_Structure_front_2  (Total) [W/m²]	[M] Probe13_Heat Flux_Structure_front_3  (Total) [W/m²]	[N] Probe14_Heat Flux_Structure_front_4  (Total) [W/m²]	[O] Probe15_Heat Flux_Structure_lateral_1  (Total) [W/m²]	[P] Probe16_Heat Flux_Structure_lateral_2  (Total) [W/m²]	[Q] Probe17_Heat Flux_Structure_lateral_3  (Total) [W/m²]	[R] Probe18_Heat Flux_Structure_lateral_4  (Total) [W/m²]	[S] Probe19_Heat Flux_Structure_lateral_5  (Total) [W/m²]	[T] Probe20_Heat Flux_Structure_top_1  (Total) [W/m²]	[U] Probe21_Heat Flux_Structure_top_2  (Total) [W/m²]	[V] Probe22_Heat Flux_Structure_top_3  (Total) [W/m²]	[W] Probe23_Heat Flux_Structure_top_4  (Total) [W/m²]	[X] Probe24_Heat Flux_Structure_back_1  (Total) [W/m²]	[Y] Probe25_Heat Flux_Structure_back_2  (Total) [W/m²]	[Z] Probe26_Heat Flux_Structure_back_3  (Total) [W/m²]	[AA] Probe27_Heat Flux_Structure_back_4  (Total) [W/m²]	[AB] Probe28_Heat Flux_Structure_back_5  (Total) [W/m²]	[AC] Probe29_Heat Flux_Structure_back_6  (Total) [W/m²]	
1	1	1,	4,7805e-005	7,6117e-005	1,7893e-002	344,75	0,50791	352,45	352,22	351,93	33,696	41,093	2,1929e-004	6,7842e-008	0,18545	15,557	1,3306	2,1432e-005	2,3753e-008	3,3314e-007	2,1023e-008	4,4658e-005	1,7687e-006	2,7345e-006	2,033e-002	2,3279e-007	4,7637e-008	5,6691e-005	0,26947	7,9066e-008	32,272	
2	1	2,	4,8711e-005	4,074e-005	1,5194e-002	399,47	0,60542	441,96	440,97	440,86	53,629	54,568	1,7118e-004	1,0767e-007	0,62389	53,27	1,6643	1,3705e-004	3,0399e-008	2,2094e-007	3,8837e-008	3,5476e-005	2,3864e-006	1,2857e-006	2,1461e-002	4,8929e-007	6,2348e-008	9,0999e-005	0,3619	8,1453e-008	43,207	
3	1	3,	6,3948e-005	1,0007e-004	1,6121e-002	412,09	0,3572	469,96	469,58	469,3	63,054	57,368	2,1023e-004	1,2248e-007	0,56603	88,955	4,4621	2,1398e-004	5,0433e-009	1,7087e-007	2,7251e-008	1,0072e-005	4,3531e-006	2,8061e-006	4,5855e-002	1,027e-006	6,3277e-008	2,0034e-004	0,78296	8,2481e-008	102,71	
4	1	4,	9,6315e-005	2,2621e-004	1,8148e-002	415,55	0,35534	481,29	481,39	480,84	67,474	57,421	3,0211e-004	1,0281e-007	0,61241	134,15	7,6865	4,1237e-004	6,1496e-009	1,729e-007	2,565e-008	4,7529e-006	8,5912e-006	3,1219e-006	9,7817e-002	1,8185e-006	6,2625e-008	3,3542e-004	1,1323	8,6692e-008	165,98	
5	1	5,	1,4054e-004	4,2635e-004	2,3405e-002	416,42	0,3869	487,02	487,44	486,54	69,438	56,773	4,0163e-004	8,4257e-008	0,81857	192,74	12,448	6,9072e-004	1,342e-008	2,5328e-007	1,7246e-008	9,206e-006	1,9136e-005	3,0273e-006	0,19186	2,8812e-006	6,4067e-008	5,015e-004	1,3799	8,8205e-008	243,39	
6	1	6,	1,924e-004	7,1481e-004	3,2091e-002	416,45	0,42653	490,44	491,08	489,8	70,134	56,021	4,9861e-004	1,1226e-007	1,1127	261,2	19,061	1,0405e-003	2,2948e-008	3,5312e-007	2,7863e-008	1,5987e-005	4,0061e-005	1,8882e-006	0,35019	4,2193e-006	6,3525e-008	6,9387e-004	1,3734	8,8382e-008	330,74	
7	1	7,	2,4849e-004	1,0997e-003	4,3005e-002	416,18	0,46511	492,71	493,54	491,84	70,159	55,358	5,7394e-004	1,6895e-007	1,4403	334,03	27,677	1,467e-003	3,2505e-008	4,6204e-007	5,8469e-008	2,5194e-005	7,5456e-005	2,1125e-006	0,60169	5,8529e-006	6,269e-008	8,9883e-004	0,99578	9,0349e-008	420,21	
8	1	8,	3,0631e-004	1,5843e-003	5,4831e-002	415,81	0,50427	494,33	495,34	493,21	69,831	54,843	6,0467e-004	2,3488e-007	1,7696	406,49	38,481	1,9633e-003	4,313e-008	5,7688e-007	1,001e-007	3,6575e-005	1,2938e-004	7,4236e-006	0,97851	7,8196e-006	6,3071e-008	1,1036e-003	1,1553	9,0779e-008	505,87	
9	1	9,	3,6421e-004	2,1672e-003	6,6538e-002	415,39	0,54856	495,53	496,73	494,17	69,324	54,484	5,7366e-004	2,9541e-007	2,0841	475,38	51,603	2,5099e-003	5,3194e-008	6,9251e-007	1,5382e-007	4,9663e-005	2,056e-004	1,5844e-005	1,5122	1,0176e-005	6,2685e-008	1,3e-003	3,1942	9,2325e-008	584,41	
10	1	10,	4,2123e-004	2,8426e-003	7,7408e-002	414,95	0,60174	496,45	497,84	494,86	68,735	54,27	4,7773e-004	3,5388e-007	2,3761	538,9	67,037	3,0838e-003	6,3504e-008	8,0288e-007	2,215e-007	6,4011e-005	3,0723e-004	2,7623e-005	2,2303	1,2996e-005	6,255e-008	1,4838e-003	6,5548	9,3457e-008	654,46	
11	1	11,	4,7686e-004	3,601e-003	8,6997e-002	414,52	0,6656	497,17	498,75	495,36	68,12	54,181	3,4203e-004	4,0732e-007	2,6433	596,24	84,628	3,6639e-003	7,3799e-008	9,0295e-007	3,0691e-007	7,9238e-005	4,3665e-004	4,3103e-005	3,1545	1,6371e-005	6,3144e-008	1,654e-003	11,192	9,4588e-008	715,83	
12	1	12,	5,3084e-004	4,4302e-003	9,5092e-002	414,09	0,74014	497,72	499,51	495,73	67,51	54,199	2,8308e-004	4,5374e-007	2,8857	647,27	104,11	4,2335e-003	8,4189e-008	9,8692e-007	4,1194e-007	9,5028e-005	5,9539e-004	6,2559e-005	4,2996	2,0398e-005	6,348e-008	1,8106e-003	17,141	9,4577e-008	768,99	
13	1	13,	5,8305e-004	5,3163e-003	0,10167	413,67	0,82409	498,16	500,16	496,01	66,921	54,304	4,539e-004	4,9743e-007	3,1048	692,22	125,14	4,7808e-003	9,4793e-008	1,0501e-006	5,3935e-007	1,1112e-004	7,8427e-004	8,6202e-005	5,6735	2,5182e-005	6,3503e-008	1,9548e-003	24,405	9,503e-008	814,7	
14	1	14,	6,3345e-004	6,245e-003	0,10683	413,26	0,91555	498,51	500,72	496,22	66,363	54,482	7,5007e-004	5,3659e-007	3,3028	731,55	147,35	5,298e-003	1,055e-007	1,088e-006	6,9223e-007	1,2731e-004	1,0035e-003	1,1419e-004	7,2782	3,082e-005	6,3539e-008	2,0878e-003	32,948	9,3643e-008	853,81	
15	1	15,	6,8205e-004	7,2026e-003	0,11082	412,87	1,0124	498,78	501,22	496,37	65,838	54,718	1,0893e-003	5,7224e-007	3,4817	765,77	170,41	5,7802e-003	1,1782e-007	1,0957e-006	8,7125e-007	1,4342e-004	1,2527e-003	1,4665e-004	9,1106	3,7405e-005	6,3739e-008	2,2105e-003	42,701	9,3388e-008	887,16	
16	1	16,	7,2884e-004	8,1774e-003	0,11396	412,5	1,1126	499,	501,65	496,48	65,35	55,002	1,4444e-003	6,069e-007	3,6439	795,44	193,98	6,2248e-003	1,309e-007	1,0684e-006	1,0797e-006	1,5933e-004	1,5314e-003	1,8372e-004	11,164	4,5018e-005	6,3518e-008	2,324e-003	53,568	9,3435e-008	915,53	
17	1	17,	7,7387e-004	9,1609e-003	0,11664	412,14	1,2142	499,17	502,04	496,56	64,897	55,323	1,8046e-003	6,3684e-007	3,7912	821,09	217,78	6,6307e-003	1,4489e-007	1,0019e-006	1,3178e-006	1,7495e-004	1,8385e-003	2,2558e-004	13,427	5,373e-005	6,3125e-008	2,4286e-003	65,438	9,1473e-008	939,61	
18	1	18,	8,1717e-004	1,0149e-002	0,11931	411,79	1,3157	499,3	502,39	496,62	64,479	55,674	2,1669e-003	6,6517e-007	3,9255	843,2	241,57	6,9979e-003	1,6091e-007	8,9562e-007	1,5874e-006	1,9023e-004	2,1729e-003	2,7249e-004	15,89	6,3595e-005	6,3143e-008	2,5245e-003	78,191	8,9063e-008	960,02	
19	1	19,	8,5876e-004	1,1141e-002	0,12248	411,46	1,4156	499,41	502,71	496,65	64,094	56,048	2,5345e-003	6,9015e-007	4,0486	862,22	265,14	7,3271e-003	1,7966e-007	7,6206e-007	1,889e-006	2,0512e-004	2,5335e-003	3,2484e-004	18,538	7,4658e-005	6,3639e-008	2,6111e-003	91,703	8,7307e-008	977,28	
