	Steps	Time [s]	[A] Probe1_Heat Flux_Carrier_center  (Total) [W/m²]	[B] Probe2_Heat Flux_Carrier_corner1  (Total) [W/m²]	[C] Probe3_Heat Flux_GuideRail_top  (Total) [W/m²]	[D] Probe4_Heat Flux_GuideRail_middle  (Total) [W/m²]	[E] Probe5_Heat Flux_GuideRail_bottom  (Total) [W/m²]	[F] Probe6_Heat Flux_MotorBase_front  (Total) [W/m²]	[G] Probe7_Heat Flux_MotorBase_side  (Total) [W/m²]	[H] Probe8_Heat Flux_MotorBase_corner  (Total) [W/m²]	[I] Probe9_Heat Flux_BearingTop  (Total) [W/m²]	[J] Probe10_Heat Flux_BearingBottom  (Total) [W/m²]	[K] Probe11_Heat Flux_Structure_front_1  (Total) [W/m²]	[L] Probe12_Heat Flux_Structure_front_2  (Total) [W/m²]	[M] Probe13_Heat Flux_Structure_front_3  (Total) [W/m²]	[N] Probe14_Heat Flux_Structure_front_4  (Total) [W/m²]	[O] Probe15_Heat Flux_Structure_lateral_1  (Total) [W/m²]	[P] Probe16_Heat Flux_Structure_lateral_2  (Total) [W/m²]	[Q] Probe17_Heat Flux_Structure_lateral_3  (Total) [W/m²]	[R] Probe18_Heat Flux_Structure_lateral_4  (Total) [W/m²]	[S] Probe19_Heat Flux_Structure_lateral_5  (Total) [W/m²]	[T] Probe20_Heat Flux_Structure_top_1  (Total) [W/m²]	[U] Probe21_Heat Flux_Structure_top_2  (Total) [W/m²]	[V] Probe22_Heat Flux_Structure_top_3  (Total) [W/m²]	[W] Probe23_Heat Flux_Structure_top_4  (Total) [W/m²]	[X] Probe24_Heat Flux_Structure_back_1  (Total) [W/m²]	[Y] Probe25_Heat Flux_Structure_back_2  (Total) [W/m²]	[Z] Probe26_Heat Flux_Structure_back_3  (Total) [W/m²]	[AA] Probe27_Heat Flux_Structure_back_4  (Total) [W/m²]	[AB] Probe28_Heat Flux_Structure_back_5  (Total) [W/m²]	[AC] Probe29_Heat Flux_Structure_back_6  (Total) [W/m²]	
1	1	1,	1,4341e-004	2,2835e-004	5,3678e-002	1034,3	1,0257	1057,4	1056,7	1055,8	101,09	123,28	6,5789e-004	1,644e-007	0,20582	15,535	1,3306	2,1616e-005	4,545e-008	1,002e-006	5,3756e-008	1,3336e-004	5,361e-006	8,199e-006	6,0991e-002	6,7755e-007	2,3819e-008	5,6688e-005	0,26947	9,4794e-008	32,272	
2	1	2,	1,4615e-004	1,2223e-004	4,5582e-002	1198,4	1,0221	1325,9	1322,9	1322,6	160,89	163,7	5,1706e-004	1,0167e-007	0,61749	53,274	1,6643	1,3598e-004	7,0533e-008	6,3246e-007	1,3261e-007	1,0695e-004	7,2122e-006	3,8609e-006	6,4382e-002	1,4217e-006	3,132e-008	9,0995e-005	0,3619	6,1449e-008	43,207	
3	1	3,	1,9186e-004	3,0022e-004	4,8364e-002	1236,3	1,1127	1409,9	1408,7	1407,9	189,16	172,1	6,3235e-004	1,4284e-007	0,55762	88,953	4,4621	2,1301e-004	3,5069e-008	4,6649e-007	2,8285e-008	3,2076e-005	1,31e-005	8,416e-006	0,13756	3,0281e-006	3,1304e-008	2,0034e-004	0,78296	3,9289e-008	102,71	
4	1	4,	2,8896e-004	6,7863e-004	5,4443e-002	1246,7	1,2876	1443,9	1444,2	1442,5	202,42	172,26	9,0534e-004	8,6242e-008	0,60139	134,15	7,6865	4,1149e-004	1,9665e-008	3,8795e-007	3,5929e-008	1,1336e-005	2,5784e-005	9,3667e-006	0,29345	5,4031e-006	3,1318e-008	3,3541e-004	1,1323	4,5506e-008	165,98	
5	1	5,	4,2164e-004	1,2791e-003	7,0214e-002	1249,3	1,4492	1461,1	1462,3	1459,6	208,31	170,32	1,2032e-003	1,5984e-007	0,80482	192,74	12,448	6,8971e-004	2,5797e-008	4,7293e-007	9,1558e-008	2,2297e-005	5,7385e-005	9,0853e-006	0,57558	8,5927e-006	3,1803e-008	5,0149e-004	1,3799	4,9091e-008	243,39	
6	1	6,	5,7721e-004	2,1445e-003	9,6273e-002	1249,4	1,564	1471,3	1473,2	1469,4	210,4	168,06	1,4944e-003	3,6387e-007	1,0956	261,2	19,061	1,0392e-003	4,0037e-008	6,056e-007	1,6849e-007	4,2419e-005	1,2014e-004	5,672e-006	1,0506	1,2608e-005	3,1541e-008	6,9387e-004	1,3734	4,9795e-008	330,74	
7	1	7,	7,4549e-004	3,2992e-003	0,12901	1248,6	1,6356	1478,1	1480,6	1475,5	210,48	166,07	1,7215e-003	5,8303e-007	1,4189	334,03	27,677	1,4653e-003	5,5013e-008	7,6522e-007	2,6869e-007	7,0303e-005	2,2632e-004	6,3287e-006	1,8051	1,7509e-005	3,1386e-008	8,9883e-004	0,99578	5,0611e-008	420,21	
8	1	8,	9,1893e-004	4,7531e-003	0,16449	1247,4	1,6812	1483,	1486,	1479,6	209,49	164,53	1,8163e-003	7,9303e-007	1,7427	406,49	38,481	1,961e-003	6,967e-008	9,4825e-007	3,9613e-007	1,0493e-004	3,881e-004	2,2258e-005	2,9355	2,341e-005	3,1645e-008	1,1036e-003	1,1553	5,1831e-008	505,87	
9	1	9,	1,0926e-003	6,5017e-003	0,19961	1246,2	1,7183	1486,6	1490,2	1482,5	207,97	163,45	1,7287e-003	9,888e-007	2,0507	475,38	51,603	2,5071e-003	8,5656e-008	1,1421e-006	5,5819e-007	1,4477e-004	6,1673e-004	4,7515e-005	4,5366	3,0479e-005	3,1489e-008	1,3e-003	3,1942	5,3882e-008	584,41	
10	1	10,	1,2637e-003	8,5278e-003	0,23222	1244,9	1,7613	1489,4	1493,5	1484,6	206,21	162,81	1,4525e-003	1,1661e-006	2,3358	538,9	67,037	3,0802e-003	1,0324e-007	1,3316e-006	7,6266e-007	1,884e-004	9,2163e-004	8,2852e-005	6,691	3,8941e-005	3,1657e-008	1,4838e-003	6,5548	5,586e-008	654,46	
