	Steps	Time [s]	[A] Probe1_Carrier_center [°C]	[B] Probe2_Carrier_corner1 [°C]	[C] Probe3_GuideRail_top [°C]	[D] Probe4_GuideRail_middle [°C]	[E] Probe5_GuideRail_bottom [°C]	[F] Probe6_MotorBase_front [°C]	[G] Probe7_MotorBase_side [°C]	[H] Probe8_MotorBase_corner [°C]	[I] Probe11_Structure_front_1 [°C]	[J] Probe12_Structure_front_2 [°C]	[K] Probe13_Structure_front_3 [°C]	[L] Probe14_Structure_front_4 [°C]	[M] Probe15_Structure_lateral_1 [°C]	[N] Probe16_Structure_lateral_2 [°C]	[O] Probe18_Structure_lateral_4 [°C]	[P] Probe19_Structure_lateral_5 [°C]	[Q] Probe20_Structure_top_1 [°C]	[R] Probe21_Structure_top_2 [°C]	[S] Probe22_Structure_top_3 [°C]	[T] Probe23_Structure_top_4 [°C]	[U] Probe24_Structure_back_1 [°C]	[V] Probe25_Structure_back_2 [°C]	[W] Probe26_Structure_back_3 [°C]	[X] Probe27_Structure_back_4 [°C]	[Y] Probe28_Structure_back_5 [°C]	[Z] Probe29_Structure_back_6 [°C]	[AA] Probe9_Temperature_BearingTop [°C]	[AB] Probe10_Temperature_BearingBottom [°C]	[AC] Probe17_Temperature_Structure_lateral_3 [°C]	
1	1	1,	39,869	39,609	39,793	39,973	39,793	40,071	40,07	40,068	39,916	39,998	39,867	39,843	39,862	39,865	39,865	39,87	39,732	39,866	39,74	39,915	40,	39,933	39,923	39,928	39,918	39,863	39,997	39,98	39,866	
2	1	2,	39,789	39,376	39,684	39,958	39,684	40,109	40,107	40,104	39,857	39,995	39,788	39,672	39,782	39,786	39,785	39,792	39,579	39,788	39,59	39,875	40,	39,894	39,878	39,887	39,86	39,769	39,987	39,949	39,788	
3	1	3,	39,731	39,21	39,6	39,948	39,6	40,136	40,133	40,129	39,814	39,991	39,734	39,511	39,719	39,729	39,725	39,734	39,468	39,732	39,483	39,839	40,	39,86	39,84	39,85	39,804	39,636	39,973	39,912	39,73	
4	1	4,	39,685	39,078	39,526	39,938	39,526	40,158	40,154	40,148	39,779	39,986	39,692	39,325	39,664	39,681	39,674	39,686	39,375	39,686	39,397	39,804	40,	39,827	39,804	39,815	39,749	39,481	39,954	39,873	39,684	
5	1	5,	39,646	38,964	39,458	39,929	39,459	40,178	40,171	40,164	39,749	39,979	39,656	39,094	39,609	39,638	39,627	39,644	39,294	39,647	39,322	39,768	40,	39,795	39,769	39,781	39,694	39,295	39,932	39,83	39,643	
6	1	6,	39,611	38,863	39,394	39,92	39,395	40,196	40,186	40,175	39,723	39,972	39,624	38,82	39,552	39,598	39,583	39,604	39,218	39,611	39,255	39,733	40,	39,762	39,734	39,746	39,639	39,078	39,907	39,786	39,605	
7	1	7,	39,578	38,771	39,332	39,911	39,333	40,212	40,197	40,185	39,699	39,965	39,596	38,512	39,489	39,558	39,539	39,566	39,148	39,577	39,192	39,698	40,	39,73	39,7	39,711	39,585	38,835	39,88	39,74	39,568	
8	1	8,	39,548	38,686	39,272	39,902	39,274	40,228	40,207	40,191	39,677	39,957	39,57	38,183	39,418	39,52	39,496	39,528	39,081	39,545	39,132	39,664	39,999	39,698	39,666	39,674	39,531	38,575	39,851	39,694	39,533	
9	1	9,	39,519	38,606	39,214	39,892	39,216	40,242	40,215	40,196	39,656	39,948	39,545	37,842	39,337	39,481	39,453	39,491	39,017	39,514	39,075	39,632	39,999	39,666	39,632	39,637	39,478	38,304	39,82	39,647	39,499	
10	1	10,	39,492	38,53	39,158	39,881	39,159	40,256	40,222	40,199	39,636	39,94	39,523	37,498	39,246	39,442	39,411	39,453	38,955	39,485	39,02	39,6	39,999	39,635	39,599	39,598	39,426	38,026	39,789	39,599	39,465	
11	1	11,	39,465	38,457	39,102	39,87	39,104	40,27	40,227	40,2	39,618	39,931	39,501	37,155	39,144	39,403	39,368	39,415	38,895	39,455	38,966	39,57	39,999	39,603	39,566	39,558	39,374	37,747	39,756	39,551	39,431	
12	1	12,	39,439	38,387	39,048	39,859	39,049	40,283	40,231	40,2	39,6	39,922	39,481	36,817	39,03	39,364	39,326	39,376	38,837	39,427	38,914	39,54	39,999	39,572	39,533	39,515	39,323	37,467	39,723	39,503	39,398	
13	1	13,	39,414	38,319	38,995	39,847	38,995	40,296	40,233	40,199	39,582	39,913	39,462	36,487	38,906	39,325	39,283	39,337	38,781	39,399	38,863	39,512	39,999	39,541	39,5	39,47	39,272	37,19	39,688	39,455	39,365	
14	1	14,	39,389	38,254	38,943	39,835	38,942	40,309	40,235	40,196	39,566	39,904	39,443	36,166	38,771	39,286	39,241	39,297	38,726	39,371	38,812	39,484	39,999	39,51	39,468	39,422	39,222	36,917	39,654	39,407	39,331	
15	1	15,	39,364	38,19	38,892	39,822	38,889	40,321	40,235	40,193	39,55	39,894	39,425	35,855	38,627	39,247	39,199	39,257	38,672	39,343	38,763	39,457	39,999	39,479	39,435	39,372	39,172	36,649	39,618	39,359	39,298	
16	1	16,	39,34	38,128	38,841	39,81	38,836	40,333	40,235	40,188	39,534	39,885	39,408	35,554	38,474	39,208	39,157	39,217	38,619	39,316	38,715	39,431	39,999	39,448	39,403	39,32	39,123	36,387	39,583	39,311	39,265	
17	1	17,	39,317	38,068	38,791	39,796	38,784	40,346	40,234	40,183	39,519	39,875	39,391	35,264	38,314	39,168	39,116	39,176	38,567	39,288	38,667	39,405	39,999	39,418	39,371	39,264	39,074	36,131	39,547	39,264	39,232	
18	1	18,	39,293	38,009	38,742	39,783	38,732	40,358	40,232	40,177	39,504	39,865	39,374	34,983	38,147	39,129	39,074	39,135	38,516	39,261	38,62	39,381	39,999	39,387	39,34	39,206	39,026	35,88	39,51	39,216	39,199	
19	1	19,	39,27	37,951	38,694	39,769	38,679	40,37	40,23	40,17	39,489	39,855	39,358	34,713	37,975	39,089	39,032	39,094	38,466	39,234	38,574	39,357	39,998	39,357	39,308	39,145	38,979	35,636	39,474	39,168	39,166	
20	1	20,	39,247	37,895	38,646	39,755	38,627	40,381	40,226	40,163	39,475	39,845	39,342	34,452	37,798	39,05	38,991	39,053	38,417	39,208	38,528	39,333	39,998	39,327	39,277	39,082	38,931	35,399	39,437	39,121	39,133	
21	1	21,	39,224	37,839	38,599	39,74	38,574	40,393	40,223	40,155	39,461	39,834	39,327	34,201	37,616	39,01	38,95	39,011	38,369	39,181	38,482	39,31	39,998	39,296	39,245	39,016	38,885	35,167	39,4	39,074	39,1	
