	Steps	Time [s]	[A] Probe1_Carrier_center [°C]	[B] Probe2_Carrier_corner1 [°C]	[C] Probe3_GuideRail_top [°C]	[D] Probe4_GuideRail_middle [°C]	[E] Probe5_GuideRail_bottom [°C]	[F] Probe6_MotorBase_front [°C]	[G] Probe7_MotorBase_side [°C]	[H] Probe8_MotorBase_corner [°C]	[I] Probe11_Structure_front_1 [°C]	[J] Probe12_Structure_front_2 [°C]	[K] Probe13_Structure_front_3 [°C]	[L] Probe14_Structure_front_4 [°C]	[M] Probe15_Structure_lateral_1 [°C]	[N] Probe16_Structure_lateral_2 [°C]	[O] Probe18_Structure_lateral_4 [°C]	[P] Probe19_Structure_lateral_5 [°C]	[Q] Probe20_Structure_top_1 [°C]	[R] Probe21_Structure_top_2 [°C]	[S] Probe22_Structure_top_3 [°C]	[T] Probe23_Structure_top_4 [°C]	[U] Probe24_Structure_back_1 [°C]	[V] Probe25_Structure_back_2 [°C]	[W] Probe26_Structure_back_3 [°C]	[X] Probe27_Structure_back_4 [°C]	[Y] Probe28_Structure_back_5 [°C]	[Z] Probe29_Structure_back_6 [°C]	[AA] Probe9_Temperature_BearingTop [°C]	[AB] Probe10_Temperature_BearingBottom [°C]	[AC] Probe17_Temperature_Structure_lateral_3 [°C]	
1	1	1,	39,869	39,609	39,793	40,056	39,793	40,213	40,211	40,208	39,916	39,998	39,867	39,861	39,864	39,865	39,865	39,87	39,732	39,866	39,74	39,915	40,	39,933	39,923	39,928	39,918	39,891	40,	39,985	39,866	
2	1	2,	39,789	39,376	39,684	40,086	39,684	40,326	40,324	40,321	39,857	39,995	39,789	39,775	39,785	39,786	39,785	39,792	39,579	39,788	39,59	39,875	40,	39,894	39,878	39,887	39,86	39,819	39,994	39,959	39,788	
3	1	3,	39,731	39,21	39,6	40,11	39,6	40,408	40,405	40,4	39,814	39,991	39,735	39,711	39,727	39,729	39,725	39,734	39,468	39,732	39,483	39,839	40,	39,86	39,84	39,851	39,804	39,751	39,983	39,926	39,73	
4	1	4,	39,685	39,078	39,526	40,131	39,527	40,475	40,471	40,465	39,779	39,986	39,692	39,656	39,679	39,681	39,674	39,686	39,375	39,686	39,397	39,804	40,	39,827	39,804	39,816	39,749	39,685	39,966	39,889	39,684	
5	1	5,	39,646	38,964	39,458	40,15	39,459	40,534	40,527	40,519	39,749	39,979	39,657	39,603	39,636	39,638	39,627	39,644	39,294	39,647	39,322	39,768	40,	39,795	39,769	39,782	39,694	39,618	39,946	39,849	39,643	
6	1	6,	39,611	38,863	39,394	40,167	39,396	40,587	40,577	40,566	39,723	39,972	39,625	39,549	39,596	39,598	39,583	39,604	39,218	39,611	39,255	39,733	40,	39,762	39,734	39,749	39,639	39,55	39,923	39,807	39,605	
7	1	7,	39,578	38,771	39,332	40,183	39,335	40,637	40,621	40,608	39,699	39,965	39,597	39,496	39,557	39,558	39,539	39,566	39,148	39,577	39,192	39,698	40,	39,73	39,7	39,715	39,585	39,481	39,897	39,763	39,568	
8	1	8,	39,548	38,686	39,272	40,197	39,276	40,683	40,661	40,645	39,677	39,957	39,571	39,442	39,519	39,52	39,496	39,528	39,081	39,545	39,132	39,665	39,999	39,698	39,666	39,682	39,531	39,411	39,87	39,718	39,533	
9	1	9,	39,519	38,606	39,214	40,211	39,22	40,727	40,698	40,678	39,656	39,948	39,548	39,39	39,48	39,481	39,453	39,491	39,017	39,514	39,075	39,633	39,999	39,666	39,632	39,649	39,478	39,342	39,841	39,673	39,499	
10	1	10,	39,492	38,53	39,158	40,222	39,165	40,769	40,731	40,708	39,636	39,94	39,525	39,339	39,441	39,442	39,411	39,453	38,955	39,485	39,02	39,601	39,999	39,635	39,599	39,616	39,426	39,273	39,81	39,626	39,465	
