	Steps	Time [s]	[A] Probe1_Heat Flux_Carrier_center  (Total) [W/m²]	[B] Probe2_Heat Flux_Carrier_corner1  (Total) [W/m²]	[C] Probe3_Heat Flux_GuideRail_top  (Total) [W/m²]	[D] Probe4_Heat Flux_GuideRail_middle  (Total) [W/m²]	[E] Probe5_Heat Flux_GuideRail_bottom  (Total) [W/m²]	[F] Probe6_Heat Flux_MotorBase_front  (Total) [W/m²]	[G] Probe7_Heat Flux_MotorBase_side  (Total) [W/m²]	[H] Probe8_Heat Flux_MotorBase_corner  (Total) [W/m²]	[I] Probe9_Heat Flux_BearingTop  (Total) [W/m²]	[J] Probe10_Heat Flux_BearingBottom  (Total) [W/m²]	[K] Probe11_Heat Flux_Structure_front_1  (Total) [W/m²]	[L] Probe12_Heat Flux_Structure_front_2  (Total) [W/m²]	[M] Probe13_Heat Flux_Structure_front_3  (Total) [W/m²]	[N] Probe14_Heat Flux_Structure_front_4  (Total) [W/m²]	[O] Probe15_Heat Flux_Structure_lateral_1  (Total) [W/m²]	[P] Probe16_Heat Flux_Structure_lateral_2  (Total) [W/m²]	[Q] Probe17_Heat Flux_Structure_lateral_3  (Total) [W/m²]	[R] Probe18_Heat Flux_Structure_lateral_4  (Total) [W/m²]	[S] Probe19_Heat Flux_Structure_lateral_5  (Total) [W/m²]	[T] Probe20_Heat Flux_Structure_top_1  (Total) [W/m²]	[U] Probe21_Heat Flux_Structure_top_2  (Total) [W/m²]	[V] Probe22_Heat Flux_Structure_top_3  (Total) [W/m²]	[W] Probe23_Heat Flux_Structure_top_4  (Total) [W/m²]	[X] Probe24_Heat Flux_Structure_back_1  (Total) [W/m²]	[Y] Probe25_Heat Flux_Structure_back_2  (Total) [W/m²]	[Z] Probe26_Heat Flux_Structure_back_3  (Total) [W/m²]	[AA] Probe27_Heat Flux_Structure_back_4  (Total) [W/m²]	[AB] Probe28_Heat Flux_Structure_back_5  (Total) [W/m²]	[AC] Probe29_Heat Flux_Structure_back_6  (Total) [W/m²]	
1	1	1,	4,7855e-005	7,6635e-005	1,7938e-002	345,63	4,4682	352,45	352,22	351,93	33,701	41,127	2,1912e-004	6,6414e-008	1,9134	170,3	14,674	9,9445e-005	2,7649e-008	4,3207e-007	2,4746e-008	4,7843e-005	1,7631e-006	2,7257e-006	2,0313e-002	2,3074e-007	4,5087e-008	5,9527e-004	2,8668	7,8682e-008	351,96	
2	1	2,	4,8695e-005	4,1036e-005	1,5235e-002	401,02	6,7963	441,96	440,97	440,86	53,645	54,656	1,5637e-004	1,0883e-007	6,9666	588,69	18,37	7,613e-004	2,7412e-008	2,198e-007	4,3167e-008	3,302e-005	2,3725e-006	1,3074e-006	2,1272e-002	4,8672e-007	5,9607e-008	9,536e-004	3,7956	7,6122e-008	474,22	
3	1	3,	6,3861e-005	1,0098e-004	1,615e-002	414,16	3,5772	469,96	469,58	469,3	63,084	57,512	2,1711e-004	1,2183e-007	6,3613	983,8	49,309	1,096e-003	6,6819e-008	2,633e-007	3,9521e-008	1,0463e-005	4,347e-006	2,7693e-006	4,5319e-002	1,0234e-006	6,0619e-008	2,1515e-003	8,3989	7,9697e-008	1133,6	
4	1	4,	9,6135e-005	2,2858e-004	1,8226e-002	418,07	3,4395	481,29	481,39	480,84	67,521	57,618	3,3191e-004	1,0269e-007	6,9133	1486,9	85,087	2,4848e-003	1,3246e-007	7,6366e-007	5,302e-008	2,6441e-005	8,6904e-006	3,0442e-006	9,6849e-002	1,8145e-006	6,0579e-008	3,6444e-003	12,259	9,3344e-008	1838,7	
5	1	5,	1,4019e-004	4,3115e-004	2,3712e-002	419,35	3,2188	487,02	487,44	486,55	69,502	57,018	4,4488e-004	8,4206e-008	9,2314	2140,	138,02	4,856e-003	2,0664e-007	1,5558e-006	4,9546e-008	3,6576e-005	1,9431e-005	2,8984e-006	0,19066	2,8781e-006	6,1034e-008	5,4878e-003	15,013	1,0605e-007	2703,7	
6	1	6,	1,9176e-004	7,2344e-004	3,285e-002	419,75	3,0076	490,44	491,08	489,8	70,216	56,308	5,5259e-004	1,1079e-007	12,527	2903,6	211,67	8,1179e-003	2,9154e-007	2,4504e-006	3,4874e-008	4,4509e-005	4,0646e-005	1,7309e-006	0,34935	4,2215e-006	6,1198e-008	7,6274e-003	14,949	1,2143e-007	3681,2	
7	1	7,	2,4743e-004	1,1141e-003	4,4446e-002	419,84	2,8511	492,71	493,54	491,85	70,26	55,684	6,3797e-004	1,6739e-007	16,201	3716,5	307,79	1,2307e-002	3,785e-007	3,3788e-006	2,873e-008	5,2612e-005	7,6474e-005	2,4161e-006	0,6022	5,8648e-006	6,1572e-008	9,9095e-003	10,799	1,3565e-007	4683,7	
8	1	8,	3,0467e-004	1,6068e-003	5,7202e-002	419,81	2,769	494,33	495,34	493,22	69,951	55,206	6,776e-004	2,3274e-007	19,903	4525,7	428,49	1,7335e-002	4,6511e-007	4,3013e-006	6,2586e-008	6,1787e-005	1,3104e-004	7,9185e-006	0,98178	7,8481e-006	6,061e-008	1,2192e-002	13,046	1,4999e-007	5645,	
9	1	9,	3,6185e-004	2,2006e-003	7,0107e-002	419,72	2,7872	495,53	496,73	494,19	69,463	54,883	6,5262e-004	2,9232e-007	23,45	5295,6	575,28	2,2985e-002	5,4873e-007	5,1868e-006	1,1811e-007	7,2276e-005	2,0817e-004	1,6538e-005	1,52	1,023e-005	6,1364e-008	1,4382e-002	36,01	1,6404e-007	6527,8	
10	1	10,	4,18e-004	2,89e-003	8,2447e-002	419,6	2,9371	496,45	497,84	494,88	68,894	54,703	5,5516e-004	3,5134e-007	26,754	6005,8	748,1	2,8998e-002	6,2745e-007	6,0134e-006	1,8965e-007	8,4011e-005	3,1107e-004	2,8568e-005	2,2448	1,3087e-005	6,1101e-008	1,6434e-002	73,643	1,769e-007	7316,4	
