	Steps	Time [s]	[A] Probe1_Heat Flux_Carrier_center  (Total) [W/m²]	[B] Probe2_Heat Flux_Carrier_corner1  (Total) [W/m²]	[C] Probe3_Heat Flux_GuideRail_top  (Total) [W/m²]	[D] Probe4_Heat Flux_GuideRail_middle  (Total) [W/m²]	[E] Probe5_Heat Flux_GuideRail_bottom  (Total) [W/m²]	[F] Probe6_Heat Flux_MotorBase_front  (Total) [W/m²]	[G] Probe7_Heat Flux_MotorBase_side  (Total) [W/m²]	[H] Probe8_Heat Flux_MotorBase_corner  (Total) [W/m²]	[I] Probe9_Heat Flux_BearingTop  (Total) [W/m²]	[J] Probe10_Heat Flux_BearingBottom  (Total) [W/m²]	[K] Probe11_Heat Flux_Structure_front_1  (Total) [W/m²]	[L] Probe12_Heat Flux_Structure_front_2  (Total) [W/m²]	[M] Probe13_Heat Flux_Structure_front_3  (Total) [W/m²]	[N] Probe14_Heat Flux_Structure_front_4  (Total) [W/m²]	[O] Probe15_Heat Flux_Structure_lateral_1  (Total) [W/m²]	[P] Probe16_Heat Flux_Structure_lateral_2  (Total) [W/m²]	[Q] Probe17_Heat Flux_Structure_lateral_3  (Total) [W/m²]	[R] Probe18_Heat Flux_Structure_lateral_4  (Total) [W/m²]	[S] Probe19_Heat Flux_Structure_lateral_5  (Total) [W/m²]	[T] Probe20_Heat Flux_Structure_top_1  (Total) [W/m²]	[U] Probe21_Heat Flux_Structure_top_2  (Total) [W/m²]	[V] Probe22_Heat Flux_Structure_top_3  (Total) [W/m²]	[W] Probe23_Heat Flux_Structure_top_4  (Total) [W/m²]	[X] Probe24_Heat Flux_Structure_back_1  (Total) [W/m²]	[Y] Probe25_Heat Flux_Structure_back_2  (Total) [W/m²]	[Z] Probe26_Heat Flux_Structure_back_3  (Total) [W/m²]	[AA] Probe27_Heat Flux_Structure_back_4  (Total) [W/m²]	[AB] Probe28_Heat Flux_Structure_back_5  (Total) [W/m²]	[AC] Probe29_Heat Flux_Structure_back_6  (Total) [W/m²]	
1	1	1,	4,7804e-005	7,6117e-005	1,7893e-002	344,75	3,7117	352,45	352,22	351,93	33,696	41,093	2,194e-004	5,244e-008	1,579	140,12	11,976	1,9198e-004	3,9262e-008	3,1029e-007	1,4618e-008	4,1535e-005	1,7798e-006	2,7353e-006	2,033e-002	2,2965e-007	2,3871e-008	5,1017e-004	2,4253	4,5357e-008	290,44	
2	1	2,	4,8714e-005	4,0741e-005	1,5194e-002	399,47	5,7429	441,96	440,97	440,86	53,629	54,568	1,9057e-004	6,3486e-008	5,6527	479,42	14,978	1,2388e-003	2,2322e-008	2,1001e-007	3,9886e-008	3,787e-005	2,3941e-006	1,2862e-006	2,146e-002	4,8073e-007	3,1248e-008	8,1891e-004	3,2571	4,3471e-008	388,87	
3	1	3,	6,3951e-005	1,0007e-004	1,6121e-002	412,09	3,3699	469,96	469,58	469,3	63,054	57,368	2,298e-004	7,6541e-008	5,1411	800,6	40,159	1,9306e-003	4,8062e-008	1,7416e-007	1,4599e-008	2,1226e-005	4,3528e-006	2,8069e-006	4,5852e-002	1,017e-006	3,163e-008	1,803e-003	7,0466	4,0487e-008	924,4	
4	1	4,	9,6319e-005	2,2621e-004	1,8148e-002	415,55	3,4591	481,29	481,39	480,84	67,474	57,421	3,1665e-004	5,8578e-008	5,5715	1207,4	69,178	3,7156e-003	1,1588e-007	5,4735e-007	2,3499e-008	1,8711e-005	8,5646e-006	3,1251e-006	9,7813e-002	1,8102e-006	3,1636e-008	3,0187e-003	10,19	3,9025e-008	1493,8	
5	1	5,	1,4054e-004	4,2636e-004	2,3405e-002	416,42	3,3947	487,02	487,44	486,54	69,438	56,773	4,1976e-004	5,665e-008	7,4407	1734,7	112,03	6,2214e-003	1,7971e-007	1,155e-006	4,7767e-008	1,7426e-005	1,9076e-005	3,0328e-006	0,19186	2,8752e-006	3,164e-008	4,5134e-003	12,419	4,1707e-008	2190,5	
6	1	6,	1,924e-004	7,1482e-004	3,2091e-002	416,45	3,2665	490,44	491,08	489,8	70,134	56,021	5,2593e-004	1,1079e-007	10,105	2350,8	171,55	9,3704e-003	2,4582e-007	1,8536e-006	7,6327e-008	1,1522e-005	3,9975e-005	1,8953e-006	0,35019	4,216e-006	3,1096e-008	6,2448e-003	12,361	5,0422e-008	2976,7	
7	1	7,	2,4849e-004	1,0997e-003	4,3005e-002	416,18	3,1195	492,71	493,54	491,84	70,159	55,357	6,1696e-004	1,8089e-007	13,076	3006,3	249,09	1,3212e-002	3,1432e-007	2,5725e-006	1,1074e-007	1,6802e-006	7,5347e-005	2,1e-006	0,60168	5,8518e-006	3,0909e-008	8,0894e-003	8,962	6,0385e-008	3781,9	
8	1	8,	3,0631e-004	1,5844e-003	5,4831e-002	415,81	2,9721	494,33	495,34	493,21	69,831	54,842	6,741e-004	2,5024e-007	16,07	3658,4	346,33	1,7681e-002	3,8165e-007	3,2729e-006	1,5396e-007	1,2995e-005	1,2926e-004	7,4064e-006	0,97851	7,8206e-006	3,0873e-008	9,9324e-003	10,398	7,1877e-008	4552,9	
9	1	9,	3,6421e-004	2,1672e-003	6,6538e-002	415,39	2,8429	495,53	496,73	494,17	69,324	54,483	6,8821e-004	3,1431e-007	18,936	4278,5	464,43	2,2603e-002	4,4545e-007	3,9349e-006	2,0875e-007	2,8907e-005	2,0545e-004	1,5823e-005	1,5122	1,0179e-005	3,0633e-008	1,17e-002	28,748	8,2622e-008	5259,7	
10	1	10,	4,2123e-004	2,8426e-003	7,7408e-002	414,95	2,7594	496,45	497,84	494,86	68,735	54,268	6,7033e-004	3,7374e-007	21,604	4850,1	603,33	2,7772e-002	5,0392e-007	4,5478e-006	2,7722e-007	4,6167e-005	3,0707e-004	2,76e-005	2,2303	1,3002e-005	3,0779e-008	1,3354e-002	58,993	9,3244e-008	5890,1	
11	1	11,	4,7686e-004	3,601e-003	8,6997e-002	414,52	2,7552	497,17	498,75	495,36	68,12	54,177	6,6094e-004	4,271e-007	24,051	5366,2	761,65	3,2996e-002	5,5563e-007	5,1082e-006	3,6264e-007	6,4191e-005	4,3648e-004	4,3078e-005	3,1545	1,6378e-005	3,0677e-008	1,4886e-002	100,73	1,0256e-007	6442,5	
12	1	12,	5,3084e-004	4,4302e-003	9,5092e-002	414,09	2,8591	497,72	499,51	495,73	67,51	54,193	7,2232e-004	4,7498e-007	26,275	5825,4	936,96	3,8127e-002	6,0183e-007	5,6181e-006	4,6776e-007	8,2577e-005	5,952e-004	6,2532e-005	4,2996	2,0408e-005	3,0862e-008	1,6295e-002	154,27	1,1178e-007	6920,9	
