	Steps	Time [s]	[A] Probe1_Carrier_center [°C]	[B] Probe2_Carrier_corner1 [°C]	[C] Probe3_GuideRail_top [°C]	[D] Probe4_GuideRail_middle [°C]	[E] Probe5_GuideRail_bottom [°C]	[F] Probe6_MotorBase_front [°C]	[G] Probe7_MotorBase_side [°C]	[H] Probe8_MotorBase_corner [°C]	[I] Probe11_Structure_front_1 [°C]	[J] Probe12_Structure_front_2 [°C]	[K] Probe13_Structure_front_3 [°C]	[L] Probe14_Structure_front_4 [°C]	[M] Probe15_Structure_lateral_1 [°C]	[N] Probe16_Structure_lateral_2 [°C]	[O] Probe18_Structure_lateral_4 [°C]	[P] Probe19_Structure_lateral_5 [°C]	[Q] Probe20_Structure_top_1 [°C]	[R] Probe21_Structure_top_2 [°C]	[S] Probe22_Structure_top_3 [°C]	[T] Probe23_Structure_top_4 [°C]	[U] Probe24_Structure_back_1 [°C]	[V] Probe25_Structure_back_2 [°C]	[W] Probe26_Structure_back_3 [°C]	[X] Probe27_Structure_back_4 [°C]	[Y] Probe28_Structure_back_5 [°C]	[Z] Probe29_Structure_back_6 [°C]	[AA] Probe9_Temperature_BearingTop [°C]	[AB] Probe10_Temperature_BearingBottom [°C]	[AC] Probe17_Temperature_Structure_lateral_3 [°C]	
1	1	1,	20,	20,	20,	20,125	20,	20,213	20,211	20,21	20,	20,	20,	19,998	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	19,997	20,005	20,009	20,	
2	1	2,	20,	20,	20,	20,191	20,	20,326	20,325	20,325	20,	20,	20,	19,99	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	19,995	20,01	20,016	20,	
3	1	3,	20,	20,	20,	20,243	20,	20,408	20,407	20,407	20,	20,	20,	19,98	19,999	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	19,988	20,014	20,021	20,	
4	1	4,	20,	20,	20,	20,289	20,001	20,475	20,475	20,474	20,	20,	20,	19,967	19,998	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	19,98	20,018	20,025	20,	
5	1	5,	20,	20,	20,	20,331	20,001	20,534	20,534	20,533	20,	20,	20,	19,949	19,997	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	19,968	20,021	20,029	20,	
6	1	6,	20,	20,	20,	20,37	20,002	20,587	20,587	20,586	20,	20,	20,	19,927	19,996	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	19,953	20,024	20,032	20,	
7	1	7,	20,	20,	20,	20,408	20,003	20,637	20,635	20,635	20,	20,	20,	19,902	19,993	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	20,	19,935	20,026	20,034	20,	
8	1	8,	20,	20,	20,	20,444	20,004	20,683	20,681	20,68	20,	20,	20,	19,874	19,99	20,	20,	20,	20,	20,	20,	20,001	20,	20,	20,	19,999	20,	19,916	20,028	20,037	20,	
9	1	9,	20,	20,	20,	20,479	20,006	20,727	20,723	20,723	20,	20,	20,	19,845	19,986	20,	20,	20,	20,	20,	20,	20,001	20,	20,	20,	19,999	20,	19,896	20,03	20,039	20,	
10	1	10,	20,	20,	20,	20,512	20,007	20,769	20,764	20,763	20,	20,	20,	19,816	19,98	20,	20,	20,	20,	20,	20,	20,002	20,	20,	20,	19,998	20,	19,875	20,032	20,041	20,	
11	1	11,	20,	20,	20,001	20,544	20,009	20,81	20,802	20,801	20,	20,	20,	19,787	19,974	20,	20,	20,	20,	20,	20,	20,002	20,	20,	20,	19,997	20,	19,854	20,034	20,043	20,	
12	1	12,	20,	20,	20,001	20,576	20,011	20,85	20,839	20,838	20,	20,	20,	19,758	19,967	20,	20,	20,	20,	20,	20,	20,003	20,	20,	20,	19,996	20,	19,833	20,035	20,045	20,	
13	1	13,	20,	20,	20,001	20,606	20,013	20,888	20,874	20,873	20,	20,	20,	19,729	19,958	20,	20,	20,	20,	20,	20,	20,004	20,	20,	20,	19,995	20,	19,812	20,037	20,047	20,	
14	1	14,	20,	20,	20,001	20,636	20,015	20,926	20,908	20,907	20,	20,	20,	19,702	19,949	20,	20,	20,	20,	20,	20,	20,006	20,	20,	20,	19,994	20,	19,791	20,038	20,048	20,	
15	1	15,	20,	20,	20,002	20,664	20,017	20,963	20,941	20,94	20,	20,	20,	19,675	19,939	20,	20,	20,	20,	20,	20,	20,007	20,	20,	20,	19,992	20,	19,77	20,039	20,05	20,	
16	1	16,	20,	20,	20,002	20,692	20,019	21,	20,973	20,972	20,	20,	20,	19,649	19,928	20,	20,	20,	20,	20,	20,	20,009	20,	20,	20,	19,99	20,	19,75	20,04	20,051	20,	
17	1	17,	20,	20,	20,002	20,719	20,021	21,037	21,004	21,003	20,	20,	20,	19,624	19,916	20,	20,	20,	20,	20,	20,	20,011	20,	20,	20,	19,988	20,	19,731	20,042	20,053	20,	
18	1	18,	20,	20,	20,003	20,746	20,023	21,073	21,035	21,033	20,	20,	20,	19,6	19,903	20,	20,	20,	20,	20,	20,	20,013	20,	20,	20,	19,985	20,	19,711	20,043	20,054	20,	
19	1	19,	20,	20,	20,003	20,772	20,025	21,109	21,065	21,063	20,	20,	20,	19,576	19,89	20,	20,	20,	20,	20,	20,	20,015	20,	20,	20,	19,982	20,	19,693	20,044	20,056	20,	
20	1	20,	20,	20,	20,004	20,797	20,027	21,145	21,094	21,092	20,	20,	20,	19,554	19,877	20,	20,	20,	20,	20,	20,	20,018	20,	20,	20,	19,979	20,	19,675	20,045	20,057	20,	
21	1	21,	20,	20,	20,005	20,821	20,029	21,181	21,122	21,121	20,	20,	20,	19,532	19,863	20,	20,	20,	20,	20,	20,	20,021	20,	20,	20,	19,976	20,	19,657	20,046	20,059	20,	
22	1	22,	20,	20,	20,005	20,845	20,031	21,217	21,151	21,149	20,	20,	20,	19,511	19,849	20,	20,	20,	20,	20,	20,	20,023	20,	20,	20,	19,973	20,	19,64	20,047	20,06	20,	
23	1	23,	20,	20,	20,006	20,868	20,033	21,252	21,178	21,176	20,	20,	20,	19,491	19,835	20,	20,	20,	20,	20,	20,	20,027	20,	20,	20,	19,969	20,	19,623	20,048	20,062	20,	
24	1	24,	20,	20,	20,007	20,891	20,035	21,288	21,205	21,204	20,	20,	20,	19,472	19,82	20,	20,	20,	20,	20,	20,	20,03	20,	20,	20,	19,965	20,	19,607	20,049	20,063	20,	
25	1	25,	20,	20,	20,007	20,913	20,037	21,323	21,232	21,23	20,	20,	20,	19,453	19,805	20,	20,	20,	20,	20,	20,	20,033	20,	20,	20,	19,961	20,	19,591	20,05	20,064	20,	
26	1	26,	20,	20,	20,008	20,935	20,039	21,358	21,259	21,257	20,	20,	20,	19,435	19,79	20,	20,	20,	20,	20,	20,	20,037	20,	20,	20,	19,957	20,	19,576	20,05	20,066	20,	
27	1	27,	20,	20,	20,009	20,956	20,041	21,394	21,285	21,283	20,	20,	20,	19,417	19,775	20,	20,	20,	20,	20,	20,	20,041	20,	20,	20,	19,952	20,	19,561	20,051	20,067	20,	
28	1	28,	20,	20,	20,01	20,977	20,043	21,429	21,311	21,309	20,	20,	20,	19,4	19,76	20,	20,	20,	20,	20,	20,	20,045	20,	20,	20,	19,948	20,	19,546	20,052	20,068	20,	
29	1	29,	20,	20,	20,011	20,997	20,044	21,464	21,336	21,335	20,	20,	20,	19,384	19,745	20,	20,	20,	20,	20,	20,	20,049	20,	20,	20,	19,943	20,	19,532	20,053	20,069	20,	
30	1	30,	20,	20,	20,012	21,017	20,046	21,5	21,362	21,36	20,	20,	20,001	19,368	19,731	20,	20,	20,	20,	20,	20,	20,053	20,	20,	20,	19,938	20,	19,518	20,054	20,071	20,	
31	1	31,	20,	20,	20,012	21,036	20,048	21,535	21,387	21,385	20,	20,	20,001	19,352	19,716	20,	20,	20,	20,	20,	20,	20,057	20,	20,	20,	19,933	20,	19,505	20,055	20,072	20,	
32	1	32,	20,	20,	20,013	21,055	20,049	21,57	21,412	21,41	20,	20,	20,001	19,337	19,701	20,	20,	20,	20,	20,	20,	20,061	20,	20,	20,	19,928	20,	19,492	20,055	20,073	20,	
