	Steps	Time [s]	[A] Probe1_Carrier_center [°C]	[B] Probe2_Carrier_corner1 [°C]	[C] Probe3_GuideRail_top [°C]	[D] Probe4_GuideRail_middle [°C]	[E] Probe5_GuideRail_bottom [°C]	[F] Probe6_MotorBase_front [°C]	[G] Probe7_MotorBase_side [°C]	[H] Probe8_MotorBase_corner [°C]	[I] Probe11_Structure_front_1 [°C]	[J] Probe12_Structure_front_2 [°C]	[K] Probe13_Structure_front_3 [°C]	[L] Probe14_Structure_front_4 [°C]	[M] Probe15_Structure_lateral_1 [°C]	[N] Probe16_Structure_lateral_2 [°C]	[O] Probe18_Structure_lateral_4 [°C]	[P] Probe19_Structure_lateral_5 [°C]	[Q] Probe20_Structure_top_1 [°C]	[R] Probe21_Structure_top_2 [°C]	[S] Probe22_Structure_top_3 [°C]	[T] Probe23_Structure_top_4 [°C]	[U] Probe24_Structure_back_1 [°C]	[V] Probe25_Structure_back_2 [°C]	[W] Probe26_Structure_back_3 [°C]	[X] Probe27_Structure_back_4 [°C]	[Y] Probe28_Structure_back_5 [°C]	[Z] Probe29_Structure_back_6 [°C]	[AA] Probe9_Temperature_BearingTop [°C]	[AB] Probe10_Temperature_BearingBottom [°C]	[AC] Probe17_Temperature_Structure_lateral_3 [°C]	
1	1	1,	40,	40,	40,	40,042	40,	40,071	40,07	40,07	40,	40,	40,	39,98	39,998	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	39,969	40,002	40,003	40,	
2	1	2,	40,	40,	40,	40,064	40,	40,109	40,108	40,108	40,	40,	39,999	39,887	39,997	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	39,945	40,003	40,005	40,	
3	1	3,	40,	40,	40,	40,081	40,	40,136	40,136	40,136	40,	40,	39,999	39,779	39,991	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	39,872	40,005	40,007	40,	
4	1	4,	40,	40,	40,	40,097	40,	40,158	40,158	40,158	40,	40,	39,999	39,633	39,983	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	39,999	40,	39,773	40,006	40,008	40,	
5	1	5,	40,	40,	40,	40,111	40,001	40,178	40,178	40,178	40,	40,	39,999	39,435	39,97	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	39,998	40,	39,64	40,007	40,01	40,	
6	1	6,	40,	40,	40,	40,124	40,001	40,196	40,196	40,195	40,	40,	39,999	39,188	39,951	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	39,997	40,	39,474	40,008	40,011	40,	
7	1	7,	40,	40,	40,	40,137	40,001	40,212	40,212	40,212	40,	40,	39,998	38,904	39,924	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	39,995	40,	39,281	40,009	40,011	40,	
8	1	8,	40,	40,	40,	40,149	40,002	40,228	40,227	40,227	40,	40,	39,998	38,595	39,887	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	39,991	40,	39,067	40,009	40,012	40,	
9	1	9,	40,	40,	40,	40,16	40,002	40,242	40,241	40,241	40,	40,	39,998	38,272	39,84	40,	40,	40,	40,	40,	40,	40,	40,	40,	40,	39,987	40,	38,841	40,01	40,013	40,	
10	1	10,	40,	40,	40,	40,172	40,002	40,256	40,255	40,254	40,	40,	39,997	37,942	39,781	40,	40,	40,	40,	40,	40,	40,001	40,	40,	40,	39,98	40,	38,606	40,011	40,014	40,	
11	1	11,	40,	40,	40,	40,183	40,002	40,27	40,267	40,267	40,	40,	39,997	37,613	39,71	40,	40,	40,	40,	40,	40,	40,001	40,	40,	40,	39,971	40,	38,368	40,011	40,014	40,	
12	1	12,	40,	40,	40,	40,193	40,002	40,283	40,28	40,279	40,	40,	39,997	37,287	39,627	40,	40,	40,	40,	40,	40,	40,001	40,	40,	40,	39,96	40,	38,128	40,012	40,015	40,	
13	1	13,	40,	40,	40,	40,204	40,001	40,296	40,291	40,291	40,	40,	39,996	36,969	39,532	40,	40,	40,	40,	40,	40,	40,001	40,	40,	40,	39,946	40,	37,89	40,012	40,016	40,	
14	1	14,	40,	40,	40,	40,214	40,	40,309	40,303	40,302	40,	40,	39,996	36,658	39,426	40,	40,	40,	40,	40,	40,	40,002	40,	40,	40,	39,93	40,	37,654	40,013	40,016	40,	
15	1	15,	40,	40,	40,001	40,223	39,999	40,321	40,314	40,313	40,	40,	39,996	36,356	39,31	40,	40,	40,	40,	40,	40,	40,002	40,	40,	40,	39,91	40,	37,421	40,013	40,017	40,	
16	1	16,	40,	40,	40,001	40,233	39,997	40,333	40,324	40,324	40,	40,	39,996	36,064	39,185	40,	40,	40,	40,	40,	40,	40,003	40,	40,	40,	39,888	40,	37,194	40,014	40,017	40,	
17	1	17,	40,	40,	40,001	40,242	39,994	40,346	40,335	40,334	40,	40,	39,995	35,782	39,052	40,	40,	40,	40,	40,	40,	40,004	40,	40,	40,	39,862	40,	36,97	40,014	40,018	40,	
18	1	18,	40,	40,	40,001	40,251	39,991	40,358	40,345	40,344	40,	40,	39,995	35,509	38,912	40,	40,	40,	40,	40,	40,	40,004	40,	40,	40,	39,834	40,	36,752	40,014	40,018	40,	
19	1	19,	40,	40,	40,001	40,26	39,987	40,37	40,355	40,354	40,	40,	39,995	35,246	38,765	40,	40,	40,	40,	40,	40,	40,005	40,	40,	40,	39,803	40,	36,54	40,015	40,019	40,	
20	1	20,	40,	40,	40,001	40,268	39,983	40,382	40,365	40,364	40,	40,	39,995	34,992	38,612	40,	40,	40,	40,	40,	40,	40,006	40,	40,	40,	39,768	40,	36,332	40,015	40,019	40,	
21	1	21,	40,	40,	40,002	40,276	39,978	40,394	40,374	40,374	40,	40,	39,995	34,747	38,456	40,	40,	40,	40,	40,	40,	40,007	40,	40,	40,	39,731	40,	36,13	40,015	40,02	40,	
22	1	22,	40,	40,	40,002	40,285	39,972	40,406	40,384	40,383	40,	40,	39,995	34,51	38,295	40,	40,	40,	40,	40,	40,	40,008	40,	40,	40,	39,691	40,	35,933	40,016	40,02	40,	
23	1	23,	40,	40,	40,002	40,293	39,965	40,417	40,393	40,392	40,	40,	39,995	34,281	38,131	40,	40,	40,	40,	40,	40,	40,009	40,	40,	40,	39,649	40,	35,741	40,016	40,021	40,	
24	1	24,	40,	40,	40,002	40,3	39,958	40,429	40,402	40,401	40,	40,	39,995	34,061	37,965	40,	40,	40,	40,	40,	40,	40,01	40,	40,	40,	39,605	40,	35,554	40,016	40,021	40,	
25	1	25,	40,	40,	40,003	40,308	39,95	40,441	40,411	40,41	40,	40,	39,995	33,847	37,796	40,	40,	40,	40,	40,	40,	40,011	40,	40,	40,	39,558	40,	35,372	40,017	40,022	40,	
26	1	26,	40,	40,	40,003	40,315	39,941	40,453	40,42	40,419	40,	40,	39,995	33,641	37,627	40,	40,	40,	40,	40,	40,	40,013	40,	40,	40,	39,509	40,	35,195	40,017	40,022	40,	
27	1	27,	40,	40,	40,003	40,323	39,932	40,465	40,428	40,428	40,	40,	39,995	33,441	37,456	40,	40,	40,	40,	40,	40,	40,014	40,	40,	40,	39,458	40,	35,022	40,017	40,022	40,	
28	1	28,	40,	40,	40,003	40,33	39,921	40,476	40,437	40,437	40,	40,	39,995	33,248	37,285	40,	40,	40,	40,	40,	40,	40,015	40,	40,	40,	39,406	40,	34,854	40,017	40,023	40,	
