	Steps	Time [s]	[A] Probe1_Carrier_center [°C]	[B] Probe2_Carrier_corner1 [°C]	[C] Probe3_GuideRail_top [°C]	[D] Probe4_GuideRail_middle [°C]	[E] Probe5_GuideRail_bottom [°C]	[F] Probe6_MotorBase_front [°C]	[G] Probe7_MotorBase_side [°C]	[H] Probe8_MotorBase_corner [°C]	[I] Probe11_Structure_front_1 [°C]	[J] Probe12_Structure_front_2 [°C]	[K] Probe13_Structure_front_3 [°C]	[L] Probe14_Structure_front_4 [°C]	[M] Probe15_Structure_lateral_1 [°C]	[N] Probe16_Structure_lateral_2 [°C]	[O] Probe18_Structure_lateral_4 [°C]	[P] Probe19_Structure_lateral_5 [°C]	[Q] Probe20_Structure_top_1 [°C]	[R] Probe21_Structure_top_2 [°C]	[S] Probe22_Structure_top_3 [°C]	[T] Probe23_Structure_top_4 [°C]	[U] Probe24_Structure_back_1 [°C]	[V] Probe25_Structure_back_2 [°C]	[W] Probe26_Structure_back_3 [°C]	[X] Probe27_Structure_back_4 [°C]	[Y] Probe28_Structure_back_5 [°C]	[Z] Probe29_Structure_back_6 [°C]	[AA] Probe9_Temperature_BearingTop [°C]	[AB] Probe10_Temperature_BearingBottom [°C]	[AC] Probe17_Temperature_Structure_lateral_3 [°C]	
1	1	1,	20,026	20,079	20,042	20,055	20,042	20,071	20,07	20,07	20,017	20,	20,027	20,044	20,029	20,027	20,027	20,026	20,054	20,027	20,052	20,017	20,	20,013	20,015	20,014	20,017	20,047	20,003	20,008	20,027	
2	1	2,	20,043	20,127	20,064	20,085	20,064	20,109	20,109	20,109	20,029	20,001	20,043	20,136	20,046	20,043	20,043	20,042	20,085	20,043	20,083	20,025	20,	20,021	20,025	20,023	20,028	20,08	20,007	20,017	20,043	
3	1	3,	20,054	20,161	20,081	20,108	20,081	20,136	20,136	20,137	20,037	20,002	20,054	20,235	20,062	20,055	20,055	20,054	20,108	20,054	20,105	20,032	20,	20,028	20,032	20,03	20,039	20,153	20,011	20,026	20,054	
4	1	4,	20,064	20,189	20,096	20,128	20,096	20,158	20,159	20,16	20,045	20,003	20,063	20,363	20,079	20,064	20,066	20,063	20,127	20,063	20,123	20,04	20,	20,035	20,039	20,038	20,051	20,245	20,016	20,036	20,064	
5	1	5,	20,072	20,213	20,11	20,147	20,11	20,178	20,179	20,181	20,051	20,004	20,07	20,532	20,098	20,073	20,075	20,072	20,144	20,071	20,138	20,047	20,	20,041	20,047	20,045	20,062	20,365	20,022	20,046	20,072	
6	1	6,	20,079	20,234	20,123	20,165	20,124	20,196	20,198	20,199	20,056	20,006	20,077	20,741	20,121	20,082	20,085	20,08	20,16	20,079	20,152	20,054	20,	20,048	20,054	20,053	20,073	20,512	20,028	20,056	20,08	
7	1	7,	20,085	20,253	20,136	20,182	20,137	20,212	20,215	20,217	20,061	20,007	20,083	20,979	20,151	20,09	20,094	20,088	20,174	20,086	20,165	20,061	20,	20,054	20,061	20,062	20,084	20,681	20,035	20,066	20,088	
8	1	8,	20,092	20,272	20,148	20,198	20,15	20,228	20,231	20,234	20,065	20,009	20,089	21,237	20,188	20,098	20,102	20,096	20,188	20,092	20,178	20,068	20,	20,061	20,067	20,071	20,095	20,866	20,041	20,077	20,095	
9	1	9,	20,098	20,289	20,16	20,215	20,162	20,242	20,246	20,25	20,07	20,01	20,094	21,506	20,234	20,106	20,111	20,103	20,202	20,099	20,19	20,075	20,	20,067	20,074	20,082	20,106	21,061	20,048	20,087	20,102	
10	1	10,	20,103	20,305	20,172	20,23	20,175	20,256	20,261	20,265	20,074	20,012	20,099	21,78	20,289	20,114	20,12	20,111	20,215	20,105	20,201	20,082	20,	20,074	20,081	20,094	20,117	21,263	20,056	20,098	20,109	
