	Steps	Time [s]	[A] Probe1_Heat Flux_Carrier_center  (Total) [W/m²]	[B] Probe2_Heat Flux_Carrier_corner1  (Total) [W/m²]	[C] Probe3_Heat Flux_GuideRail_top  (Total) [W/m²]	[D] Probe4_Heat Flux_GuideRail_middle  (Total) [W/m²]	[E] Probe5_Heat Flux_GuideRail_bottom  (Total) [W/m²]	[F] Probe6_Heat Flux_MotorBase_front  (Total) [W/m²]	[G] Probe7_Heat Flux_MotorBase_side  (Total) [W/m²]	[H] Probe8_Heat Flux_MotorBase_corner  (Total) [W/m²]	[I] Probe9_Heat Flux_BearingTop  (Total) [W/m²]	[J] Probe10_Heat Flux_BearingBottom  (Total) [W/m²]	[K] Probe11_Heat Flux_Structure_front_1  (Total) [W/m²]	[L] Probe12_Heat Flux_Structure_front_2  (Total) [W/m²]	[M] Probe13_Heat Flux_Structure_front_3  (Total) [W/m²]	[N] Probe14_Heat Flux_Structure_front_4  (Total) [W/m²]	[O] Probe15_Heat Flux_Structure_lateral_1  (Total) [W/m²]	[P] Probe16_Heat Flux_Structure_lateral_2  (Total) [W/m²]	[Q] Probe17_Heat Flux_Structure_lateral_3  (Total) [W/m²]	[R] Probe18_Heat Flux_Structure_lateral_4  (Total) [W/m²]	[S] Probe19_Heat Flux_Structure_lateral_5  (Total) [W/m²]	[T] Probe20_Heat Flux_Structure_top_1  (Total) [W/m²]	[U] Probe21_Heat Flux_Structure_top_2  (Total) [W/m²]	[V] Probe22_Heat Flux_Structure_top_3  (Total) [W/m²]	[W] Probe23_Heat Flux_Structure_top_4  (Total) [W/m²]	[X] Probe24_Heat Flux_Structure_back_1  (Total) [W/m²]	[Y] Probe25_Heat Flux_Structure_back_2  (Total) [W/m²]	[Z] Probe26_Heat Flux_Structure_back_3  (Total) [W/m²]	[AA] Probe27_Heat Flux_Structure_back_4  (Total) [W/m²]	[AB] Probe28_Heat Flux_Structure_back_5  (Total) [W/m²]	[AC] Probe29_Heat Flux_Structure_back_6  (Total) [W/m²]	
1	1	1,	4,7853e-005	7,6634e-005	1,7938e-002	345,63	0,5064	352,45	352,22	351,93	33,701	41,127	2,1917e-004	5,2261e-008	0,18226	15,472	1,334	8,9328e-006	2,1384e-008	3,3211e-007	1,9338e-008	4,476e-005	1,7713e-006	2,7274e-006	2,0312e-002	2,276e-007	2,2382e-008	5,4118e-005	0,26062	4,7093e-008	31,996	
2	1	2,	4,8697e-005	4,1037e-005	1,5235e-002	401,02	0,60731	441,96	440,97	440,86	53,645	54,656	1,717e-004	6,39e-008	0,62987	53,518	1,67	6,8857e-005	1,6886e-008	2,2025e-007	4,2411e-008	3,5563e-005	2,3784e-006	1,3084e-006	2,1271e-002	4,7861e-007	2,9738e-008	8,6696e-005	0,34506	4,0226e-008	43,111	
3	1	3,	6,3864e-005	1,0098e-004	1,615e-002	414,16	0,35441	469,96	469,58	469,3	63,084	57,512	2,1123e-004	7,6496e-008	0,57403	89,435	4,4826	9,9413e-005	1,8909e-008	1,7309e-007	1,0874e-008	1,0106e-005	4,3458e-006	2,77e-006	4,5317e-002	1,0137e-006	3,0099e-008	1,956e-004	0,76354	3,8107e-008	103,06	
4	1	4,	9,6138e-005	2,2859e-004	1,8226e-002	418,07	0,35074	481,29	481,39	480,84	67,521	57,618	3,0469e-004	5,7726e-008	0,62306	135,17	7,7352	2,2557e-004	1,7202e-008	1,7196e-007	6,6981e-009	4,8203e-006	8,6634e-006	3,0484e-006	9,6845e-002	1,8063e-006	3,0147e-008	3,3131e-004	1,1144	4,1854e-008	167,15	
5	1	5,	1,4019e-004	4,3115e-004	2,3712e-002	419,35	0,38229	487,02	487,44	486,55	69,502	57,017	4,0651e-004	5,6124e-008	0,83257	194,55	12,548	4,4104e-004	2,2032e-008	2,4839e-007	1,8125e-008	9,3466e-006	1,9373e-005	2,9052e-006	0,19065	2,8725e-006	3,0366e-008	4,989e-004	1,3649	4,344e-008	245,79	
6	1	6,	1,9176e-004	7,2344e-004	3,285e-002	419,75	0,42201	490,44	491,08	489,8	70,216	56,308	5,0656e-004	1,119e-007	1,1306	263,97	19,242	7,3743e-004	3,1288e-008	3,4673e-007	4,2507e-008	1,6238e-005	4,0563e-005	1,7375e-006	0,34934	4,2179e-006	3,0274e-008	6,934e-004	1,359	4,4318e-008	334,65	
7	1	7,	2,4743e-004	1,1141e-003	4,4446e-002	419,84	0,45912	492,71	493,54	491,85	70,26	55,683	5,8567e-004	1,8022e-007	1,4625	337,86	27,981	1,1181e-003	4,0909e-008	4,5521e-007	7,5462e-008	2,5599e-005	7,6368e-005	2,402e-006	0,6022	5,8636e-006	3,0076e-008	9,0087e-004	0,98174	4,5418e-008	425,79	
8	1	8,	3,0467e-004	1,6068e-003	5,7202e-002	419,81	0,49388	494,33	495,34	493,22	69,951	55,205	6,2073e-004	2,4886e-007	1,7963	411,43	38,954	1,5749e-003	5,0937e-008	5,7063e-007	1,1808e-007	3,7179e-005	1,3092e-004	7,8997e-006	0,98178	7,8494e-006	3,0195e-008	1,1083e-003	1,186	4,6408e-008	513,19	
9	1	9,	3,6185e-004	2,2006e-003	7,0107e-002	419,72	0,52989	495,53	496,73	494,19	69,463	54,881	5,9444e-004	3,1261e-007	2,1155	481,41	52,298	2,0883e-003	6,1229e-008	6,8689e-007	1,7266e-007	5,0514e-005	2,0803e-004	1,6516e-005	1,52	1,0233e-005	3,0335e-008	1,3074e-003	3,2736	4,7832e-008	593,44	
10	1	10,	4,18e-004	2,89e-003	8,2447e-002	419,6	0,57048	496,45	497,84	494,88	68,894	54,701	5,0325e-004	3,7032e-007	2,4122	545,98	68,009	2,6345e-003	7,1391e-008	7,9834e-007	2,4147e-007	6,5156e-005	3,1092e-004	2,8542e-005	2,2447	1,3093e-005	3,0406e-008	1,494e-003	6,6948	4,8765e-008	665,12	
11	1	11,	4,7262e-004	3,6662e-003	9,3765e-002	419,47	0,61774	497,17	498,75	495,39	68,299	54,647	3,6987e-004	4,2353e-007	2,684	604,3	85,934	3,1923e-003	8,1879e-008	8,9899e-007	3,2763e-007	8,0726e-005	4,4198e-004	4,4329e-005	3,1781	1,652e-005	3,052e-008	1,6667e-003	11,417	4,962e-008	728,04	
12	1	12,	5,2545e-004	4,5171e-003	0,1038	419,33	0,67242	497,72	499,51	495,76	67,707	54,698	2,9511e-004	4,706e-007	2,931	656,24	105,8	3,7444e-003	9,1933e-008	9,8372e-007	4,3392e-007	9,6905e-005	6,0285e-004	6,4158e-005	4,335	2,0618e-005	3,052e-008	1,8259e-003	17,479	5,0038e-008	782,63	
13	1	13,	5,7639e-004	5,4293e-003	0,11246	419,2	0,73425	498,16	500,16	496,05	67,137	54,839	4,3733e-004	5,1289e-007	3,1547	702,01	127,26	4,2787e-003	1,0238e-007	1,0475e-006	5,6332e-007	1,1343e-004	7,9437e-004	8,8245e-005	5,7238	2,5492e-005	3,0466e-008	1,9725e-003	24,886	5,024e-008	829,66	
14	1	14,	6,2541e-004	6,3888e-003	0,11972	419,07	0,80229	498,51	500,73	496,26	66,597	55,052	7,1858e-004	5,5193e-007	3,357	742,07	149,97	4,7867e-003	1,1372e-007	1,0858e-006	7,1829e-007	1,301e-004	1,0168e-003	1,1676e-004	7,3467	3,1244e-005	3,0261e-008	2,1077e-003	33,605	5,0135e-008	869,96	
15	1	15,	6,7251e-004	7,382e-003	0,12564	418,95	0,87524	498,78	501,22	496,42	66,091	55,324	1,0481e-003	5,8732e-007	3,5403	776,95	173,55	5,2632e-003	1,2513e-007	1,0928e-006	9,004e-007	1,4674e-004	1,2699e-003	1,4983e-004	9,2008	3,797e-005	3,0136e-008	2,2325e-003	43,567	5,0109e-008	904,39	
16	1	16,	7,1772e-004	8,3973e-003	0,13034	418,84	0,95175	499,	501,65	496,54	65,62	55,645	1,3952e-003	6,2018e-007	3,7065	807,19	197,68	5,7052e-003	1,3793e-007	1,0636e-006	1,1121e-006	1,6322e-004	1,553e-003	1,8761e-004	11,279	4,5754e-005	3,0382e-008	2,348e-003	54,675	4,8302e-008	933,73	
17	1	17,	7,6108e-004	9,4252e-003	0,13392	418,73	1,0305	499,17	502,04	496,62	65,184	56,004	1,7481e-003	6,4886e-007	3,8578	833,34	222,06	6,1112e-003	1,5242e-007	9,9431e-007	1,3551e-006	1,7945e-004	1,8652e-003	2,303e-004	13,572	5,467e-005	3,0307e-008	2,4545e-003	66,82	4,7212e-008	958,68	
18	1	18,	8,0261e-004	1,046e-002	0,1365	418,64	1,1104	499,3	502,39	496,68	64,783	56,393	2,1042e-003	6,7619e-007	3,9961	855,89	246,46	6,4808e-003	1,6864e-007	8,8422e-007	1,6298e-006	1,9538e-004	2,2055e-003	2,7817e-004	16,067	6,4776e-005	3,0357e-008	2,552e-003	79,878	4,4763e-008	979,86	
19	1	19,	8,4237e-004	1,1499e-002	0,13822	418,55	1,1903	499,41	502,71	496,73	64,413	56,807	2,4675e-003	7,0104e-007	4,1228	875,28	270,65	6,8143e-003	1,8618e-007	7,4672e-007	1,9377e-006	2,1097e-004	2,5726e-003	3,3166e-004	18,751	7,612e-005	3,0573e-008	2,64e-003	93,724	4,2461e-008	997,81	
20	1	20,	8,8039e-004	1,2543e-002	0,1392	418,47	1,2696	499,49	503,	496,75	64,075	57,24	2,8472e-003	7,2438e-007	4,2396	891,92	294,48	7,1126e-003	2,0613e-007	6,4032e-007	2,2784e-006	2,2622e-004	2,9652e-003	3,9141e-004	21,611	8,8735e-005	3,0676e-008	2,7171e-003	108,23	4,0603e-008	1013,	
21	1	21,	9,1671e-004	1,36e-002	0,13953	418,4	1,3475	499,56	503,26	496,77	63,765	57,687	3,2574e-003	7,4589e-007	4,3477	906,14	317,8	7,3771e-003	2,2785e-007	7,117e-007	2,6525e-006	2,4115e-004	3,382e-003	4,583e-004	24,631	1,0265e-004	3,0475e-008	2,7811e-003	123,29	4,0103e-008	1025,7	
22	1	22,	9,5137e-004	1,4679e-002	0,13934	418,33	1,4236	499,61	503,51	496,78	63,483	58,146	3,715e-003	7,6564e-007	4,4483	918,26	340,52	7,6092e-003	2,5091e-007	1,0605e-006	3,061e-006	2,5579e-004	3,8216e-003	5,3353e-004	27,798	1,1786e-004	3,0331e-008	2,8284e-003	138,78	4,1952e-008	1036,4	
23	1	23,	9,844e-004	1,5792e-002	0,13871	418,28	1,4976	499,65	503,74	496,77	63,226	58,613	4,2391e-003	7,8649e-007	4,5423	928,55	362,56	7,8106e-003	2,7473e-007	1,6426e-006	3,5034e-006	2,7018e-004	4,2826e-003	6,1863e-004	31,099	1,3439e-004	3,0616e-008	2,8538e-003	154,61	4,7664e-008	1045,3	
24	1	24,	1,0158e-003	1,6958e-002	0,13774	418,23	1,5691	499,68	503,95	496,77	62,993	59,085	4,8495e-003	8,1054e-007	4,6308	937,23	383,85	7,9829e-003	2,9829e-007	2,4264e-006	3,9794e-006	2,8441e-004	4,7637e-003	7,1545e-004	34,519	1,5222e-004	3,0596e-008	2,8504e-003	170,67	5,7061e-008	1052,7	
25	1	25,	1,0457e-003	1,8195e-002	0,13652	418,2	1,638	499,71	504,15	496,75	62,782	59,562	5,5652e-003	8,392e-007	4,7145	944,5	404,36	8,1281e-003	3,2112e-007	3,4165e-006	4,49e-006	2,9855e-004	5,2634e-003	8,2609e-004	38,047	1,7134e-004	3,0375e-008	2,8086e-003	186,88	7,1205e-008	1058,7	
26	1	26,	1,0741e-003	1,9524e-002	0,13512	418,16	1,7042	499,73	504,34	496,74	62,593	60,042	6,4044e-003	8,7905e-007	4,7941	950,54	424,07	8,2478e-003	3,4191e-007	4,6342e-006	5,0355e-006	3,1268e-004	5,7805e-003	9,5288e-004	41,671	1,9173e-004	3,0276e-008	2,7161e-003	203,18	8,9025e-008	1063,6	
27	1	27,	1,1009e-003	2,0966e-002	0,13361	418,14	1,7677	499,74	504,52	496,72	62,422	60,523	7,3842e-003	9,3736e-007	4,8704	955,5	442,96	8,344e-003	3,5983e-007	6,11e-006	5,6164e-006	3,2691e-004	6,3137e-003	1,0982e-003	45,38	2,1336e-004	3,0093e-008	2,5569e-003	219,48	1,1161e-007	1067,4	
28	1	28,	1,1263e-003	2,2539e-002	0,13208	418,12	1,8284	499,75	504,69	496,7	62,27	61,005	8,5204e-003	1,0279e-006	4,9437	959,5	461,02	8,4183e-003	3,739e-007	7,8803e-006	6,2335e-006	3,4133e-004	6,8616e-003	1,2645e-003	49,163	2,362e-004	3,0647e-008	2,3112e-003	235,75	1,3726e-007	1070,4	
29	1	29,	1,1502e-003	2,4264e-002	0,13059	418,11	1,8863	499,76	504,85	496,67	62,135	61,487	9,8285e-003	1,1629e-006	5,0148	962,67	478,27	8,4726e-003	3,8749e-007	9,9878e-006	6,8882e-006	3,5605e-004	7,4231e-003	1,4539e-003	53,012	2,602e-004	3,0353e-008	1,9553e-003	251,92	1,6652e-007	1072,5	
30	1	30,	1,1727e-003	2,6155e-002	0,12921	418,1	1,9415	499,77	505,01	496,65	62,016	61,968	1,1323e-002	1,3589e-006	5,0841	965,1	494,7	8,5084e-003	4,0489e-007	1,2479e-005	7,5821e-006	3,7119e-004	7,9969e-003	1,6684e-003	56,918	2,8533e-004	3,0593e-008	1,4621e-003	267,95	2,0011e-007	1074,	
31	1	31,	1,1937e-003	2,8226e-002	0,128	418,1	1,994	499,78	505,15	496,62	61,912	62,45	1,302e-002	1,632e-006	5,152	966,87	510,34	8,5273e-003	4,3879e-007	1,5408e-005	8,3177e-006	3,8686e-004	8,5818e-003	1,9096e-003	60,873	3,1154e-004	3,0519e-008	8,1535e-004	283,81	2,372e-007	1074,9	
32	1	32,	1,2135e-003	3,0488e-002	0,12701	418,11	2,0439	499,78	505,29	496,59	61,821	62,93	1,4935e-002	1,9977e-006	5,2189	968,07	525,21	8,5308e-003	5,0657e-007	1,8833e-005	9,0964e-006	4,0317e-004	9,1767e-003	2,1787e-003	64,869	3,3879e-004	3,0231e-008	3,981e-004	299,46	2,7849e-007	1075,3	
33	1	33,	1,2318e-003	3,2948e-002	0,12632	418,11	2,0912	499,79	505,43	496,56	61,743	63,41	1,7081e-002	2,471e-006	5,2852	968,76	539,31	8,5205e-003	6,2801e-007	2,2818e-005	9,9215e-006	4,2023e-004	9,7805e-003	2,4764e-003	68,901	3,6701e-004	3,0508e-008	1,4063e-003	314,89	3,2439e-007	1075,1	
34	1	34,	1,2489e-003	3,561e-002	0,12596	418,12	2,1362	499,79	505,56	496,53	61,677	63,89	1,9477e-002	3,069e-006	5,3513	969,	552,69	8,4976e-003	8,1806e-007	2,743e-005	1,0796e-005	4,3816e-004	1,0392e-002	2,8031e-003	72,961	3,9615e-004	3,0397e-008	2,9014e-003	330,06	3,7411e-007	1074,6	
35	1	35,	1,2647e-003	3,8479e-002	0,12598	418,14	2,1787	499,79	505,69	496,5	61,623	64,369	2,2136e-002	3,8116e-006	5,4173	968,84	565,34	8,4635e-003	1,0863e-006	3,2746e-005	1,1724e-005	4,5706e-004	1,1011e-002	3,1584e-003	77,046	4,2616e-004	3,0264e-008	4,8147e-003	344,97	4,2829e-007	1073,7	
36	1	36,	1,2793e-003	4,1553e-002	0,12642	418,16	2,2189	499,79	505,81	496,47	61,578	64,848	2,5077e-002	4,7203e-006	5,4837	968,32	577,31	8,4193e-003	1,4433e-006	3,8845e-005	1,2708e-005	4,7705e-004	1,1635e-002	3,5418e-003	81,149	4,5698e-004	3,0498e-008	7,2126e-003	359,59	4,8725e-007	1072,5	
37	1	37,	1,2927e-003	4,4832e-002	0,12732	418,18	2,2569	499,79	505,93	496,44	61,544	65,327	2,8316e-002	5,8189e-006	5,5507	967,48	588,62	8,3661e-003	1,8984e-006	4,5812e-005	1,3753e-005	4,9822e-004	1,2264e-002	3,9521e-003	85,266	4,8855e-004	3,0591e-008	1,018e-002	373,91	5,503e-007	1070,9	
38	1	38,	1,3049e-003	4,8315e-002	0,12869	418,21	2,2928	499,79	506,04	496,41	61,518	65,806	3,1869e-002	7,1351e-006	5,6185	966,37	599,29	8,3052e-003	2,4633e-006	5,3735e-005	1,4862e-005	5,2067e-004	1,2897e-002	4,3876e-003	89,394	5,2081e-004	3,0607e-008	1,3811e-002	387,93	6,1878e-007	1069,1	
39	1	39,	1,3161e-003	5,1997e-002	0,13055	418,23	2,3267	499,79	506,15	496,38	61,501	66,286	3,5754e-002	8,6991e-006	5,6873	965,	609,35	8,2373e-003	3,1514e-006	6,271e-005	1,604e-005	5,445e-004	1,3533e-002	4,8462e-003	93,528	5,537e-004	3,0596e-008	1,8214e-002	401,65	6,9134e-007	1067,1	
40	1	40,	1,3263e-003	5,5876e-002	0,1329	418,26	2,3585	499,79	506,26	496,35	61,492	66,766	3,9987e-002	1,0545e-005	5,7574	963,42	618,81	8,1634e-003	3,9777e-006	7,2835e-005	1,7292e-005	5,6979e-004	1,4172e-002	5,3257e-003	97,665	5,8715e-004	3,0647e-008	2,3505e-002	415,05	7,688e-007	1064,9	
41	1	41,	1,3355e-003	5,9946e-002	0,13575	418,3	2,3885	499,8	506,37	496,32	61,489	67,248	4,4586e-002	1,2709e-005	5,8289	961,64	627,71	8,0844e-003	4,9584e-006	8,4213e-005	1,862e-005	5,9664e-004	1,4812e-002	5,8231e-003	101,8	6,211e-004	3,0829e-008	2,9812e-002	428,13	8,5093e-007	1062,5	
42	1	42,	1,3439e-003	6,4205e-002	0,13908	418,33	2,4167	499,8	506,47	496,29	61,494	67,73	4,9566e-002	1,5232e-005	5,902	959,68	636,08	8,001e-003	6,1097e-006	9,695e-005	2,0029e-005	6,2513e-004	1,5452e-002	6,3353e-003	105,94	6,555e-004	3,0778e-008	3,7271e-002	440,9	9,384e-007	1060,	
