	Steps	Time [s]	[A] Probe1_Carrier_center [°C]	[B] Probe2_Carrier_corner1 [°C]	[C] Probe3_GuideRail_top [°C]	[D] Probe4_GuideRail_middle [°C]	[E] Probe5_GuideRail_bottom [°C]	[F] Probe6_MotorBase_front [°C]	[G] Probe7_MotorBase_side [°C]	[H] Probe8_MotorBase_corner [°C]	[I] Probe11_Structure_front_1 [°C]	[J] Probe12_Structure_front_2 [°C]	[K] Probe13_Structure_front_3 [°C]	[L] Probe14_Structure_front_4 [°C]	[M] Probe15_Structure_lateral_1 [°C]	[N] Probe16_Structure_lateral_2 [°C]	[O] Probe18_Structure_lateral_4 [°C]	[P] Probe19_Structure_lateral_5 [°C]	[Q] Probe20_Structure_top_1 [°C]	[R] Probe21_Structure_top_2 [°C]	[S] Probe22_Structure_top_3 [°C]	[T] Probe23_Structure_top_4 [°C]	[U] Probe24_Structure_back_1 [°C]	[V] Probe25_Structure_back_2 [°C]	[W] Probe26_Structure_back_3 [°C]	[X] Probe27_Structure_back_4 [°C]	[Y] Probe28_Structure_back_5 [°C]	[Z] Probe29_Structure_back_6 [°C]	[AA] Probe9_Temperature_BearingTop [°C]	[AB] Probe10_Temperature_BearingBottom [°C]	[AC] Probe17_Temperature_Structure_lateral_3 [°C]	
1	1	1,	39,974	39,921	39,958	40,028	39,958	40,071	40,07	40,07	39,983	40,	39,973	39,971	39,972	39,973	39,973	39,974	39,946	39,973	39,948	39,983	40,	39,987	39,985	39,986	39,983	39,976	40,001	39,998	39,973	
2	1	2,	39,957	39,873	39,936	40,043	39,936	40,109	40,108	40,107	39,971	39,999	39,957	39,946	39,956	39,957	39,957	39,958	39,915	39,957	39,917	39,975	40,	39,979	39,975	39,977	39,972	39,96	40,	39,994	39,957	
3	1	3,	39,946	39,839	39,919	40,055	39,919	40,136	40,135	40,134	39,963	39,998	39,946	39,926	39,944	39,945	39,944	39,946	39,892	39,946	39,895	39,968	40,	39,972	39,968	39,97	39,961	39,941	39,998	39,988	39,946	
4	1	4,	39,936	39,811	39,904	40,065	39,904	40,158	40,157	40,156	39,955	39,997	39,938	39,904	39,934	39,936	39,934	39,937	39,873	39,937	39,877	39,96	40,	39,965	39,961	39,963	39,949	39,92	39,996	39,981	39,936	
5	1	5,	39,928	39,787	39,89	40,074	39,891	40,178	40,177	40,175	39,949	39,996	39,93	39,879	39,924	39,927	39,925	39,928	39,856	39,929	39,862	39,953	40,	39,959	39,953	39,956	39,938	39,897	39,992	39,973	39,928	
6	1	6,	39,921	39,766	39,877	40,083	39,878	40,196	40,194	40,191	39,944	39,994	39,924	39,85	39,915	39,918	39,915	39,92	39,84	39,921	39,848	39,946	40,	39,952	39,946	39,949	39,927	39,871	39,988	39,965	39,92	
7	1	7,	39,915	39,747	39,864	40,091	39,865	40,212	40,209	40,206	39,939	39,993	39,918	39,818	39,905	39,91	39,906	39,912	39,826	39,914	39,835	39,939	40,	39,946	39,939	39,942	39,916	39,842	39,983	39,957	39,912	
8	1	8,	39,908	39,728	39,852	40,099	39,853	40,228	40,223	40,22	39,935	39,991	39,913	39,785	39,894	39,902	39,898	39,904	39,812	39,908	39,822	39,932	40,	39,939	39,933	39,935	39,905	39,813	39,977	39,948	39,905	
9	1	9,	39,902	39,711	39,84	40,106	39,842	40,242	40,236	40,232	39,93	39,99	39,908	39,75	39,883	39,894	39,889	39,897	39,798	39,901	39,81	39,926	40,	39,933	39,926	39,928	39,894	39,782	39,972	39,939	39,898	
10	1	10,	39,897	39,695	39,828	40,113	39,83	40,256	40,248	40,243	39,926	39,988	39,903	39,716	39,871	39,886	39,88	39,889	39,785	39,895	39,799	39,919	40,	39,926	39,919	39,921	39,883	39,751	39,966	39,93	39,891	
11	1	11,	39,891	39,679	39,817	40,12	39,819	40,27	40,259	40,253	39,922	39,986	39,899	39,682	39,857	39,878	39,871	39,881	39,773	39,889	39,787	39,913	40,	39,92	39,912	39,914	39,873	39,719	39,96	39,921	39,884	
12	1	12,	39,886	39,664	39,805	40,126	39,809	40,283	40,27	40,263	39,919	39,984	39,895	39,648	39,843	39,87	39,862	39,873	39,76	39,883	39,776	39,907	40,	39,913	39,905	39,906	39,862	39,688	39,953	39,911	39,877	
